timestamp,callsign,icao24,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese,sessione_notturna
2026-09-15 02:25:58,UNKNOWN,02019d,RWY 10,Decollo,Ovest -> Est,228,105.39,1.02,Morocco,2026-09-14
2026-09-15 02:44:18,MASBA,424c9d,RWY 28,Atterraggio,Est -> Ovest,175,284.88,1.85,United Kingdom,2026-09-14
2026-09-15 03:49:38,SRR6402,45cf24,RWY 28,Atterraggio,Est -> Ovest,175,284.53,1.92,Denmark,2026-09-14
2026-09-15 04:18:17,OCN133,3c6569,N/D,Sorvolo,N/D,11582,343.56,8.81,Germany,2026-09-14
2026-09-15 04:32:31,DHK524,407c8a,N/D,Sorvolo,N/D,7086,79.75,7.27,United Kingdom,2026-09-14
2026-09-15 04:36:38,VND005I,300a18,N/D,Sorvolo,N/D,4450,174.55,10.13,N/D,2026-09-14
2026-09-15 05:17:35,AEG432,5110a5,N/D,Sorvolo,N/D,20000,325.0,13.2,N/D,2026-09-14
2026-09-15 05:19:36,WMT5GC,4d2022,N/D,Sorvolo,N/D,6179,83.83,12.01,Malta,2026-09-14
2026-09-15 05:27:44,ANE3087,344195,N/D,Sorvolo,N/D,11582,65.56,13.2,Spain,2026-09-14
2026-09-15 05:35:49,UNKNOWN,45cf23,N/D,Decollo,N/D,0,0.0,0.22,N/D,2026-09-14
2026-09-15 05:41:56,NOS8540,4cac36,N/D,Sorvolo,N/D,7231,64.59,13.24,Ireland,2026-09-14
