numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,status,scan_timestamp
FR 3659,Decollo,09:55,13:15,BRUXELLES CHARLEROI,IN RITARDO,2026-08-27 11:24:00
FR 2649,Decollo,10:50,11:30,MALAGA,IMBARCO CHIUSO,2026-08-27 11:24:00
FR 4201,Decollo,10:50,11:47,RHODES,IMBARCO IN CORSO,2026-08-27 11:24:00
FR 1417,Decollo,11:15,11:15,LAMEZIA,DECOLLATO,2026-08-27 11:24:00
FR 4650,Decollo,11:35,11:35,TRAPANI,IMBARCO ULTIMA CHIAMATA,2026-08-27 11:24:00
FR 1784,Decollo,11:35,12:27,COPENHAGEN,IN RITARDO,2026-08-27 11:24:00
FR 4658,Decollo,11:35,11:35,BARI,IMBARCO CHIUSO,2026-08-27 11:24:00
AZ 7048,Decollo,11:45,11:45,ISTANBUL S. GOKCEN,IMBARCO ULTIMA CHIAMATA,2026-08-27 11:24:00
FR 7324,Decollo,11:45,11:45,MALTA,IMBARCO IN CORSO,2026-08-27 11:24:00
PC 1212,Decollo,11:45,11:45,ISTANBUL S. GOKCEN,IMBARCO ULTIMA CHIAMATA,2026-08-27 11:24:00
FR 6257,Decollo,11:55,12:27,KRAKOW,IN RITARDO,2026-08-27 11:24:00
FR 2872,Decollo,12:05,12:05,VILNIUS,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 845,Decollo,12:05,12:05,CLUJ-NAPOCA,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 3450,Decollo,12:15,12:15,TANGIER,IMBARCO IN CORSO,2026-08-27 11:24:00
FR 2669,Decollo,12:45,12:45,BERLIN,IN RITARDO,2026-08-27 11:24:00
VF 062,Decollo,12:45,12:45,ISTANBUL S. GOKCEN,Operativo,2026-08-27 11:24:00
FR 3142,Decollo,12:55,13:28,BARCELONA EL PRAT,IN RITARDO,2026-08-27 11:24:00
FR 5139,Decollo,12:55,12:55,FARO,Operativo,2026-08-27 11:24:00
D8 3751,Decollo,12:55,12:55,COPENHAGEN,Operativo,2026-08-27 11:24:00
FR 3217,Decollo,13:05,13:38,MANCHESTER,IN RITARDO,2026-08-27 11:24:00
FR 6125,Decollo,13:20,13:45,DUBLIN,IN RITARDO,2026-08-27 11:24:00
FR 2697,Decollo,13:25,13:25,LONDON STANSTED,OPERATO DA MALTA AIR,2026-08-27 11:24:00
W4 3772,Decollo,13:25,14:25,CRAIOVA,IN RITARDO,2026-08-27 11:24:00
FR 2864,Decollo,13:25,13:25,BRINDISI,Operativo,2026-08-27 11:24:00
FR 5531,Decollo,13:30,13:30,COLOGNE,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FZ 1574,Decollo,13:40,14:10,DUBAI,IN RITARDO,2026-08-27 11:24:00
YW 8146,Decollo,13:40,13:40,PALMA DE MALLORCA,Operativo,2026-08-27 11:24:00
EK 2141,Decollo,13:40,14:10,DUBAI,IN RITARDO,2026-08-27 11:24:00
FR 4001,Decollo,13:50,13:50,LANZAROTE,Operativo,2026-08-27 11:24:00
F3 586,Decollo,14:00,14:00,RIYADH,Operativo,2026-08-27 11:24:00
SM 832,Decollo,14:25,14:25,SHARM EL SHEIKH,Operativo,2026-08-27 11:24:00
FR 2254,Decollo,14:25,14:25,ALGHERO,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 6513,Decollo,14:35,14:35,OLBIA,Operativo,2026-08-27 11:24:00
FR 219,Decollo,14:50,14:50,ALICANTE,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 3480,Decollo,14:55,14:55,CAGLIARI,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 3460,Decollo,14:55,14:55,EINDHOVEN,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 1903,Decollo,15:25,15:25,VARSAVIA MODLIN,Operativo,2026-08-27 11:24:00
FR 5980,Decollo,15:30,15:30,TOULOUSE,Operativo,2026-08-27 11:24:00
FR 3396,Decollo,15:35,15:35,CROTONE,OPERATO DA MALTA AIR,2026-08-27 11:24:00
FR 6703,Decollo,15:35,15:35,SKIATHOS,Operativo,2026-08-27 11:24:00
