numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,stato_destinazione,status,scan_timestamp
BZ 151,Decollo,19:10,22:10,TEL AVIV,Estero/Italia,IN RITARDO,2026-08-26 21:29:27
FR 4638,Decollo,19:50,21:30,PORTO,Estero/Italia,IMBARCO CHIUSO,2026-08-26 21:29:27
FR 3665,Decollo,20:10,21:35,NAPOLI,Estero/Italia,IMBARCO CHIUSO,2026-08-26 21:29:27
FR 3504,Decollo,20:25,21:09,KRAKOW,Estero/Italia,DECOL,2026-08-26 21:29:27
3F 248,Decollo,20:25,21:19,YEREVAN,Estero/Italia,DECOLLATO,2026-08-26 21:29:27
FR 5092,Decollo,20:50,21:24,LAMEZIA,Estero/Italia,DECOLLATO,2026-08-26 21:29:27
W4 3470,Decollo,21:00,21:00,TIRGU MURES,Estero/Italia,DECOLLATO,2026-08-26 21:29:27
FR 484,Decollo,21:20,21:38,DUSSELDORF - WEEZE,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 21:29:27
FR 4969,Decollo,21:25,21:25,PALERMO,Estero/Italia,DECOLLATO,2026-08-26 21:29:27
FR 3219,Decollo,21:30,22:26,MANCHESTER,Estero/Italia,IN RITARDO,2026-08-26 21:29:27
FR 3341,Decollo,21:30,22:12,VARSAVIA MODLIN,Estero/Italia,IN RITARDO,2026-08-26 21:29:27
NP 222,Decollo,21:30,21:30,CAIRO,Estero/Italia,IMBARCO CHIUSO,2026-08-26 21:29:27
FR 7324,Decollo,21:35,22:00,MALTA,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 21:29:27
W4 3136,Decollo,21:45,22:07,BUCHAREST OTOPENI,Estero/Italia,IMBARCO IN CORSO,2026-08-26 21:29:27
FR 4132,Decollo,21:45,22:57,BARI,Estero/Italia,IN RITARDO,2026-08-26 21:29:27
W4 5020,Decollo,21:45,22:13,TIRANA,Estero/Italia,OPERATO DA WIZZAIR HUNGARY,2026-08-26 21:29:27
E5 545,Decollo,22:00,22:00,CAIRO,Estero/Italia,Operativo,2026-08-26 21:29:27
