callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,stato_destinazione,scan_timestamp
W6 1432,D,WARSAW,08:40,23:10,IMBARCO CHIUSO,Estero/Italia,2026-08-28 18:07:02
FR 5655,D,PALMA DE MALLORCA,16:30,18:10,IMBARCO CHIUSO,Estero/Italia,2026-08-28 18:07:02
FR 4475,D,BRUXELLES CHARLEROI,17:00,17:49,DECOLLATO,Estero/Italia,2026-08-28 18:07:02
FR 3537,D,EINDHOVEN,17:00,19:00,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
FR 3559,D,BRISTOL,17:10,17:33,IMBARCO CHIUSO,Estero/Italia,2026-08-28 18:07:02
AZ 7058,D,ISTANBUL S. GOKCEN,17:15,17:43,DECOLLATO,Estero/Italia,2026-08-28 18:07:02
PC 1214,D,ISTANBUL S. GOKCEN,17:15,17:43,DECOLLATO,Estero/Italia,2026-08-28 18:07:02
FR 865,D,BUCHAREST OTOPENI,17:45,18:15,IMBARCO ULTIMA CHIAMATA,Estero/Italia,2026-08-28 18:07:02
FR 3402,D,MARRAKECH,17:55,17:55,IMBARCO CHIUSO,Estero/Italia,2026-08-28 18:07:02
FR 5092,D,LAMEZIA,18:05,18:05,IMBARCO CHIUSO,Estero/Italia,2026-08-28 18:07:02
BZ 155,D,TEL AVIV,18:15,20:28,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
NO 5596,D,KOS,18:20,18:20,IMBARCO ULTIMA CHIAMATA,Estero/Italia,2026-08-28 18:07:02
FR 3530,D,PRAGUE,18:30,18:30,IMBARCO IN CORSO,Estero/Italia,2026-08-28 18:07:02
FR 9050,D,CORK,18:30,18:30,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 18:07:02
FR 8511,D,BENI MELLAL,18:40,19:00,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
FR 3219,D,MANCHESTER,18:50,19:32,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
FR 1319,D,ATHENS,18:55,20:20,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
FR 8801,D,IBIZA,19:00,19:50,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
XC 9426,D,IZMIR,19:00,19:30,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
FR 1176,D,MENORCA,19:10,19:40,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
FR 4638,D,PORTO,19:15,19:15,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 18:07:02
FR 3398,D,MALAGA,19:20,20:15,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
FR 3867,D,POZNAN,19:25,20:05,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
FR 4548,D,CHANIA-CRETA,19:25,19:25,Operativo,Estero/Italia,2026-08-28 18:07:02
FR 3112,D,IASI,19:30,19:30,Operativo,Estero/Italia,2026-08-28 18:07:02
FR 5876,D,PARIS BEAUVAIS,19:35,19:35,Operativo,Estero/Italia,2026-08-28 18:07:02
FR 3480,D,CAGLIARI,19:40,20:35,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
FR 4631,D,VALENCIA,19:45,20:15,IN RIT,Estero/Italia,2026-08-28 18:07:02
3F 248,D,YEREVAN,20:25,22:40,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
W4 3608,D,SUCEAVA,20:30,21:00,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
FR 2735,D,LONDON STANSTED,20:30,20:30,Operativo,Estero/Italia,2026-08-28 18:07:02
FR 3561,D,NAPOLI,20:35,21:30,IN RITARDO,Estero/Italia,2026-08-28 18:07:02
W6 1434,D,WARSAW,20:40,20:40,OPERATO DA WIZZAIR MALTA,Estero/Italia,2026-08-28 18:07:02
FR 4235,D,VILNIUS,20:45,20:45,OPERATO DA BUZZ,Estero/Italia,2026-08-28 18:07:02
