flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
V7 1316,Decollo,19:55,21:23,OLBIA19:55 | 21:23Decollato,Decollato,2026-07-04 23:00:00
FR 3164,Decollo,20:05,21:25,BUDAPEST20:05 | 21:25Decollato,Decollato,2026-07-04 23:00:00
FR 7361,Decollo,20:20,22:57,VIENNA20:20 | 22:57Imbarco chiuso,Imbarco chiuso,2026-07-04 23:00:00
D8 3751,Decollo,20:25,21:45,COPENHAGEN20:25 | 21:45Decollato,Decollato,2026-07-04 23:00:00
FR 8800,Decollo,20:25,21:09,IBIZA20:25 | 21:09Decollato,Decollato,2026-07-04 23:00:00
W6 4774,Decollo,20:45,21:51,SKOPJE20:45 | 21:51Decollato,Decollato,2026-07-04 23:00:00
FR 4523,Decollo,21:00,21:00,BRUXELLES CHARLEROI21:00 | 21:00Decollato,Decollato,2026-07-04 23:00:00
FR 5531,Decollo,21:10,21:33,COLOGNE21:10 | 21:33Decollato,Decollato,2026-07-04 23:00:00
FR 4969,Decollo,21:20,23:03,PALERMO21:20 | 23:03Imbarco chiuso,Imbarco chiuso,2026-07-04 23:00:00
FR 484,Decollo,21:20,21:55,DUSSELDORF - WEEZE21:20 | 21:55Decollato,Decollato,2026-07-04 23:00:00
FR 3440,Decollo,21:25,22:08,LAMEZIA21:25 | 22:08Decollato,Decollato,2026-07-04 23:00:00
FR 5934,Decollo,21:25,21:25,DUBROVNIK21:25 | 21:25Decollato,Decollato,2026-07-04 23:00:00
SM 832,Decollo,21:25,21:25,SHARM EL SHEIKH21:25 | 21:25Decollato,Decollato,2026-07-04 23:00:00
FR 4650,Decollo,21:30,22:16,TRAPANI21:30 | 22:16Decollato,Decollato,2026-07-04 23:00:00
FR 6501,Decollo,21:35,22:16,OLBIA21:35 | 22:16Decollato,Decollato,2026-07-04 23:00:00
FR 4132,Decollo,21:35,21:55,BARI21:35 | 21:55Decollato,Decollato,2026-07-04 23:00:00
W4 3136,Decollo,21:45,21:45,BUCHAREST BANEASA21:45 | 21:45Decollato,Decollato,2026-07-04 23:00:00
W4 5020,Decollo,21:45,22:09,TIRANA21:45 | 22:09Decollato,Decollato,2026-07-04 23:00:00
W6 4508,Decollo,22:10,22:10,VARNA22:10 | 22:10Decollato,Decollato,2026-07-04 23:00:00
FR 6991,Decollo,22:10,22:10,RABAT22:10 | 22:10Decollato,Decollato,2026-07-04 23:00:00
FR 3280,Decollo,22:20,00:08,GDANSK - DANZICA22:20 | 00:08In ritardo,In ritardo,2026-07-04 23:00:00
G9 696,Decollo,22:50,22:50,SHARJAH22:50 | 22:50Imbarco chiuso,Imbarco chiuso,2026-07-04 23:00:00
FR 8844,Decollo,22:55,00:33,WROCLAW - BRESLAVIA22:55 | 00:33In ritardo,In ritardo,2026-07-04 23:00:00
FR 5999,Decollo,23:05,00:10,ZAGREB23:05 | 00:10In ritardo,In ritardo,2026-07-04 23:00:00
FR 3408,Decollo,23:10,23:35,KATOWICE23:10 | 23:35Imbarco in corso,Imbarco in corso,2026-07-04 23:00:00
FR 3535,Decollo,23:15,23:41,KRAKOW23:15 | 23:41Imbarco in corso,Imbarco in corso,2026-07-04 23:00:00
FR 6086,Decollo,05:45,05:45,KALAMATA05:45 | 05:45,nan,2026-07-04 23:00:00
FR 2830,Decollo,05:50,05:50,TENERIFE05:50 | 05:50Operato da Malta Air,Operato da Malta Air,2026-07-04 23:00:00
FR 2293,Decollo,05:55,05:55,PESCARA05:55 | 05:55Operato da Malta Air,Operato da Malta Air,2026-07-04 23:00:00
FR 8511,Decollo,05:55,05:55,BENI MELLAL05:55 | 05:55Operato da Malta Air,Operato da Malta Air,2026-07-04 23:00:00
FR 2254,Decollo,05:55,05:55,ALGHERO05:55 | 05:55,nan,2026-07-04 23:00:00
FR 3142,Decollo,06:00,06:00,BARCELONA EL PRAT06:00 | 06:00Operato da Malta Air,Operato da Malta Air,2026-07-04 23:00:00
FR 3200,Decollo,06:00,06:00,CAGLIARI06:00 | 06:00,nan,2026-07-04 23:00:00
FR 410,Decollo,06:05,06:05,LUXEMBOURG06:05 | 06:05Operato da Malta Air,Operato da Malta Air,2026-07-04 23:00:00
FR 8334,Decollo,06:05,06:05,IBIZA06:05 | 06:05,nan,2026-07-04 23:00:00
NO 7700,Decollo,06:15,06:15,CATANIA06:15 | 06:15,nan,2026-07-04 23:00:00
FR 5139,Decollo,06:15,06:15,FARO06:15 | 06:15,nan,2026-07-04 23:00:00
FR 3400,Decollo,06:30,06:30,SOFIA06:30 | 06:30,nan,2026-07-04 23:00:00
