callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 3561,D,NAPOLI,15:50,17:42,DECOLLATO,2026-09-13 18:00:26
FR 5113,D,CROTONE,16:20,17:42,DECOLLATO,2026-09-13 18:00:26
AP 3639,D,MARSA ALAM,16:50,17:58,IMBARCO CHIUSO,2026-09-13 18:00:26
FR 3319,D,BARCELONA EL PRAT,16:55,18:25,IMBARCO IN CORSO,2026-09-13 18:00:26
AZ 7058,D,ISTANBUL S. GOKCEN,17:15,18:00,IMBARCO CHIUSO,2026-09-13 18:00:26
PC 1214,D,ISTANBUL S. GOKCEN,17:15,18:00,IMBARCO CHIUSO,2026-09-13 18:00:26
FR 4845,D,DUBLIN,17:25,18:00,IMBARCO CHIUSO,2026-09-13 18:00:26
FR 3587,D,OSLO TORP,17:30,19:15,IN RITARDO,2026-09-13 18:00:26
FR 3649,D,PAPHOS,17:35,18:00,IMBARCO CHIUSO,2026-09-13 18:00:26
FR 6466,D,FARO,17:45,17:45,IMBARCO CHIUSO,2026-09-13 18:00:26
FR 7976,D,KOS,17:50,18:28,IMBARCO IN CORSO,2026-09-13 18:00:26
MT 1160,D,BRINDISI,17:50,17:50,DECOLLATO,2026-09-13 18:00:26
FR 1417,D,LAMEZIA,18:00,18:47,IN RITARDO,2026-09-13 18:00:26
FR 865,D,BUCHAREST OTOPENI,18:05,18:05,IMBARCO CHIUSO,2026-09-13 18:00:26
FR 2876,D,BRINDISI,18:05,19:30,IN RITARDO,2026-09-13 18:00:26
FR 7324,D,MALTA,18:15,18:15,IMBARCO IN CORSO,2026-09-13 18:00:26
FR 3250,D,SANTORINI / THIRA,18:30,19:30,IN RITARDO,2026-09-13 18:00:26
V7 1712,D,LAMPEDUSA,18:50,18:50,Operativo,2026-09-13 18:00:26
FR 6862,D,MALAGA,18:50,18:50,Operativo,2026-09-13 18:00:26
FR 461,D,NEWCASTLE,18:55,18:55,Operativo,2026-09-13 18:00:26
FR 3665,D,NAPOLI,19:00,19:22,IN RITARDO,2026-09-13 18:00:26
FR 4196,D,CORFU,19:05,19:05,OPERATO DA MALTA AIR,2026-09-13 18:00:26
BZ 151,D,TEL AVIV,19:10,19:10,Operativo,2026-09-13 18:00:26
FR 4663,D,VALENCIA,19:30,19:30,Operativo,2026-09-13 18:00:26
