flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
FR 3319,Decollo,20:40,22:40,BARCELONA EL PRAT20:40 | 22:40Imbarco chiuso,Imbarco chiuso,2026-01-05 23:00:00
FR 2990,Decollo,20:50,23:10,COPENHAGEN20:50 | 23:10Imbarco chiuso,Imbarco chiuso,2026-01-05 23:00:00
W6 1434,Decollo,20:55,00:35,WARSAW20:55 | 00:35,nan,2026-01-05 23:00:00
W4 3772,Decollo,20:55,22:46,CRAIOVA20:55 | 22:46Decollato,Decollato,2026-01-05 23:00:00
FR 7361,Decollo,20:55,22:34,VIENNA20:55 | 22:34Decollato,Decollato,2026-01-05 23:00:00
FR 2892,Decollo,21:00,22:00,CATANIA21:00 | 22:00Decollato,Decollato,2026-01-05 23:00:00
FR 4523,Decollo,21:00,22:42,BRUXELLES CHARLEROI21:00 | 22:42Decollato,Decollato,2026-01-05 23:00:00
FR 4188,Decollo,21:15,23:23,LONDON  STANSTED21:15 | 23:23Imbarco in corso,Imbarco in corso,2026-01-05 23:00:00
FR 8421,Decollo,21:20,21:20,TIRANA21:20 | 21:20Decollato,Decollato,2026-01-05 23:00:00
FR 3645,Decollo,21:20,21:20,EDINBURGH21:20 | 21:20Decollato,Decollato,2026-01-05 23:00:00
FR 4663,Decollo,21:30,23:29,VALENCIA21:30 | 23:29In ritardo,In ritardo,2026-01-05 23:00:00
FR 6149,Decollo,21:30,22:55,PALERMO21:30 | 22:55Imbarco chiuso,Imbarco chiuso,2026-01-05 23:00:00
FR 413,Decollo,21:35,21:35,THESSALONIKI21:35 | 21:35Decollato,Decollato,2026-01-05 23:00:00
W4 3136,Decollo,21:35,22:13,BUCHAREST OTOPENI21:35 | 22:13Decollato,Decollato,2026-01-05 23:00:00
FR 6501,Decollo,21:50,23:15,OLBIA21:50 | 23:15Imbarco in corso,Imbarco in corso,2026-01-05 23:00:00
FR 3893,Decollo,21:50,23:05,CAGLIARI21:50 | 23:05Imbarco chiuso,Imbarco chiuso,2026-01-05 23:00:00
FR 3164,Decollo,21:55,00:20,BUDAPEST21:55 | 00:20In ritardo,In ritardo,2026-01-05 23:00:00
W4 3608,Decollo,22:05,22:05,SUCEAVA22:05 | 22:05Decollato,Decollato,2026-01-05 23:00:00
FR 2698,Decollo,22:05,22:34,ALGHERO22:05 | 22:34Decollato,Decollato,2026-01-05 23:00:00
FR 219,Decollo,22:05,22:25,ALICANTE22:05 | 22:25Decollato,Decollato,2026-01-05 23:00:00
FR 2293,Decollo,22:10,23:15,PESCARA22:10 | 23:15Imbarco ultima chiamata,Imbarco ultima chiamata,2026-01-05 23:00:00
FR 6125,Decollo,22:10,22:50,DUBLIN22:10 | 22:50Imbarco chiuso,Imbarco chiuso,2026-01-05 23:00:00
