flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
FR 2289,Decollo,20:50,22:05,PALERMO20:50 | 22:05Decollato,Decollato,2026-03-04 23:00:00
FR 1784,Decollo,21:00,21:00,COPENHAGEN21:00 | 21:00Decollato,Decollato,2026-03-04 23:00:00
FR 3893,Decollo,21:05,21:05,CAGLIARI21:05 | 21:05Decollato,Decollato,2026-03-04 23:00:00
FR 3164,Decollo,21:30,21:30,BUDAPEST21:30 | 21:30Decollato,Decollato,2026-03-04 23:00:00
FR 4845,Decollo,22:00,22:00,DUBLIN22:00 | 22:00Decollato,Decollato,2026-03-04 23:00:00
FR 3142,Decollo,22:05,22:05,BARCELONA EL PRAT22:05 | 22:05Decollato,Decollato,2026-03-04 23:00:00
FR 888,Decollo,22:05,22:05,KRAKOW22:05 | 22:05Decollato,Decollato,2026-03-04 23:00:00
FZ 1832,Decollo,05:15,15:10,DUBAI05:15 | 15:10In ritardo,In ritardo,2026-03-04 23:00:00
FR 4037,Decollo,05:45,05:45,DUBLIN05:45 | 05:45Operato da Malta Air,Operato da Malta Air,2026-03-04 23:00:00
FR 1417,Decollo,06:10,06:10,LAMEZIA06:10 | 06:10,nan,2026-03-04 23:00:00
FR 076,Decollo,06:15,06:15,SEVILLA06:15 | 06:15Operato da Malta Air,Operato da Malta Air,2026-03-04 23:00:00
FR 1784,Decollo,06:15,06:15,COPENHAGEN06:15 | 06:15,nan,2026-03-04 23:00:00
FR 2697,Decollo,06:20,06:20,LONDON  STANSTED06:20 | 06:20,nan,2026-03-04 23:00:00
FR 3392,Decollo,06:25,06:25,HELSINKI06:25 | 06:25,nan,2026-03-04 23:00:00
FR 2872,Decollo,06:30,06:30,VILNIUS06:30 | 06:30,nan,2026-03-04 23:00:00
FR 2830,Decollo,06:30,06:30,TENERIFE06:30 | 06:30,nan,2026-03-04 23:00:00
FR 259,Decollo,06:35,06:35,BUCHAREST OTOPENI06:35 | 06:35Operato da BUZZ,Operato da BUZZ,2026-03-04 23:00:00
FR 3659,Decollo,06:40,06:40,BRUXELLES CHARLEROI06:40 | 06:40Operato da Malta Air,Operato da Malta Air,2026-03-04 23:00:00
FR 3112,Decollo,06:40,06:40,IASI06:40 | 06:40Operato da Malta Air,Operato da Malta Air,2026-03-04 23:00:00
FR 5120,Decollo,06:50,06:50,MADRID06:50 | 06:50,nan,2026-03-04 23:00:00
FR 4042,Decollo,06:55,06:55,PORTO06:55 | 06:55,nan,2026-03-04 23:00:00
FR 8355,Decollo,07:00,07:00,TIRANA07:00 | 07:00Operato da BUZZ,Operato da BUZZ,2026-03-04 23:00:00
FR 820,Decollo,07:10,07:10,LISBON07:10 | 07:10,nan,2026-03-04 23:00:00
FR 3319,Decollo,07:10,07:10,BARCELONA EL PRAT07:10 | 07:10Operato da Malta Air,Operato da Malta Air,2026-03-04 23:00:00
NO 4420,Decollo,07:30,07:30,DAKAR07:30 | 07:30,nan,2026-03-04 23:00:00
FR 859,Decollo,07:50,07:50,BRINDISI07:50 | 07:50Operato da Malta Air,Operato da Malta Air,2026-03-04 23:00:00
FR 4132,Decollo,07:50,07:50,BARI07:50 | 07:50Operato da BUZZ,Operato da BUZZ,2026-03-04 23:00:00
FR 3593,Decollo,07:55,07:55,POZNAN07:55 | 07:55Operato da Malta Air,Operato da Malta Air,2026-03-04 23:00:00
FR 3530,Decollo,08:00,08:00,PRAGUE08:00 | 08:00Operato da BUZZ,Operato da BUZZ,2026-03-04 23:00:00
FR 6149,Decollo,08:05,08:05,PALERMO08:05 | 08:05Operato da Malta Air,Operato da Malta Air,2026-03-04 23:00:00
W4 3672,Decollo,08:05,08:05,IASI08:05 | 08:05,nan,2026-03-04 23:00:00
W4 3382,Decollo,08:05,08:05,CLUJ-NAPOCA08:05 | 08:05,nan,2026-03-04 23:00:00
W4 3132,Decollo,08:10,08:10,BUCHAREST BANEASA08:10 | 08:10,nan,2026-03-04 23:00:00
