numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,stato_destinazione,status,scan_timestamp
FR 3440,Decollo,18:15,19:33,LAMEZIA,Estero/Italia,DECOLLATO,2026-08-27 19:35:34
FR 8511,Decollo,18:20,19:10,BENI MELLAL,Estero/Italia,DECOLLATO,2026-08-27 19:35:34
FR 3210,Decollo,18:45,19:23,SANTORINI / THIRA,Estero/Italia,DECOLLATO,2026-08-27 19:35:34
FR 3280,Decollo,19:00,19:24,GDANSK - DANZICA,Estero/Italia,DECOLLATO,2026-08-27 19:35:34
V7 1316,Decollo,19:25,20:00,OLBIA,Estero/Italia,IMBARCO IN CORSO,2026-08-27 19:35:34
BZ 151,Decollo,19:25,21:31,TEL AVIV,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
FR 4845,Decollo,19:25,19:25,DUBLIN,Estero/Italia,DECOLLATO,2026-08-27 19:35:34
FR 3535,Decollo,19:25,19:25,KRAKOW,Estero/Italia,DECOLLATO,2026-08-27 19:35:34
FR 5120,Decollo,19:30,19:30,MADRID,Estero/Italia,IMBARCO CHIUSO,2026-08-27 19:35:34
FR 8801,Decollo,19:30,19:30,IBIZA,Estero/Italia,IMBARCO CHIUSO,2026-08-27 19:35:34
FR 413,Decollo,19:55,19:55,THESSALONIKI,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-27 19:35:34
FR 3645,Decollo,20:00,21:45,EDINBURGH,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
FR 3300,Decollo,20:00,21:21,VITORIA,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
D8 2941,Decollo,20:15,20:15,HELSINKI,Estero/Italia,IMBARCO IN CORSO,2026-08-27 19:35:34
FR 3501,Decollo,20:25,20:25,PARIS BEAUVAIS,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 7361,Decollo,20:30,20:30,VIENNA,Estero/Italia,OPERATO DA LAUDA EUROPE,2026-08-27 19:35:34
W4 3470,Decollo,20:35,22:05,TIRGU MURES,Estero/Italia,OPERATO DA WIZZAIR HUNGARY,2026-08-27 19:35:34
FR 2739,Decollo,20:35,22:10,LONDON STANSTED,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
W6 1434,Decollo,20:40,20:40,WARSAW,Estero/Italia,OPERATO DA WIZZAIR MALTA,2026-08-27 19:35:34
FR 3219,Decollo,20:45,21:25,MANCHESTER,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
FR 4969,Decollo,20:50,20:50,PALERMO,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 3665,Decollo,21:05,21:30,NAPOLI,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
FR 8844,Decollo,21:10,21:36,WROCLAW - BRESLAVIA,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
DY 1847,Decollo,21:15,21:15,OSLO,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 3893,Decollo,21:15,21:15,CAGLIARI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 4523,Decollo,21:20,21:20,BRUXELLES CHARLEROI,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 859,Decollo,21:20,21:20,BRINDISI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
W6 4774,Decollo,21:25,22:00,SKOPJE,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
NP 224,Decollo,21:30,01:30,CAIRO,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
W4 3136,Decollo,21:45,21:45,BUCHAREST OTOPENI,Estero/Italia,OPERATO DA WIZZAIR HUNGARY,2026-08-27 19:35:34
W4 5020,Decollo,21:45,21:45,TIRANA,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
W4 3932,Decollo,21:50,21:50,CHISINAU,Estero/Italia,OPERATO DA WIZZAIR HUNGARY,2026-08-27 19:35:34
FR 2096,Decollo,21:50,22:16,LISBON,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
FR 3164,Decollo,22:00,22:00,BUDAPEST,Estero/Italia,OPERATO DA BUZZ,2026-08-27 19:35:34
W4 3382,Decollo,22:00,22:00,CLUJ-NAPOCA,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 9372,Decollo,22:05,22:05,BRNO,Estero/Italia,Operativo,2026-08-27 19:35:34
W6 4508,Decollo,22:10,22:28,VARNA,Estero/Italia,OPERATO DA WIZZAIR MALTA,2026-08-27 19:35:34
FR 9196,Decollo,22:15,22:15,TRAPANI,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 8479,Decollo,22:20,22:20,TIRANA,Estero/Italia,OPERATO DA BUZZ,2026-08-27 19:35:34
G9 696,Decollo,22:50,22:50,SHARJAH,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 2992,Decollo,22:55,22:55,COPENHAGEN,Estero/Italia,Operativo,2026-08-27 19:35:34
EK 2415,Decollo,23:25,00:02,DUBAI,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
FR 3413,Decollo,23:25,23:25,KATOWICE,Estero/Italia,OPERATO DA BUZZ,2026-08-27 19:35:34
FZ 1572,Decollo,23:25,00:02,DUBAI,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
W6 4124,Decollo,23:35,23:35,BELGRADE,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 2285,Decollo,05:45,05:45,NAPOLI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 2697,Decollo,05:45,05:45,LONDON STANSTED,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 3593,Decollo,05:45,05:45,POZNAN,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 5139,Decollo,05:50,05:50,FARO,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 2107,Decollo,06:00,06:00,BUDAPEST,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 7324,Decollo,06:05,06:05,MALTA,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 2872,Decollo,06:10,06:10,VILNIUS,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 3528,Decollo,06:15,06:15,PRAGUE,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 1533,Decollo,06:25,06:25,VIENNA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 4311,Decollo,06:30,06:30,ROVANIEMI,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 3432,Decollo,06:30,06:30,PARIS BEAUVAIS,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 259,Decollo,06:35,06:35,BUCHAREST OTOPENI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 2261,Decollo,06:40,06:40,CATANIA,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 3460,Decollo,06:40,06:40,EINDHOVEN,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 4993,Decollo,06:50,06:50,CEFALONIA,Estero/Italia,Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-08-27 19:35:34
FR 3440,Atterraggio,18:15,19:33,LAMEZIA,Estero/Italia,DECOLLATO,2026-08-27 19:35:34
FR 8511,Atterraggio,18:20,19:10,BENI MELLAL,Estero/Italia,DECOLLATO,2026-08-27 19:35:34
FR 3210,Atterraggio,18:45,19:23,SANTORINI / THIRA,Estero/Italia,DECOLLATO,2026-08-27 19:35:34
FR 3280,Atterraggio,19:00,19:24,GDANSK - DANZICA,Estero/Italia,DECOLLATO,2026-08-27 19:35:34
V7 1316,Atterraggio,19:25,20:00,OLBIA,Estero/Italia,IMBARCO IN CORSO,2026-08-27 19:35:34
BZ 151,Atterraggio,19:25,21:31,TEL AVIV,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
FR 4845,Atterraggio,19:25,19:25,DUBLIN,Estero/Italia,DECOLLATO,2026-08-27 19:35:34
FR 3535,Atterraggio,19:25,19:25,KRAKOW,Estero/Italia,DECOLLATO,2026-08-27 19:35:34
FR 5120,Atterraggio,19:30,19:30,MADRID,Estero/Italia,IMBARCO CHIUSO,2026-08-27 19:35:34
FR 8801,Atterraggio,19:30,19:30,IBIZA,Estero/Italia,IMBARCO CHIUSO,2026-08-27 19:35:34
FR 413,Atterraggio,19:55,19:55,THESSALONIKI,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-27 19:35:34
FR 3645,Atterraggio,20:00,21:45,EDINBURGH,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
FR 3300,Atterraggio,20:00,21:21,VITORIA,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
D8 2941,Atterraggio,20:15,20:15,HELSINKI,Estero/Italia,IMBARCO IN CORSO,2026-08-27 19:35:34
FR 3501,Atterraggio,20:25,20:25,PARIS BEAUVAIS,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 7361,Atterraggio,20:30,20:30,VIENNA,Estero/Italia,OPERATO DA LAUDA EUROPE,2026-08-27 19:35:34
W4 3470,Atterraggio,20:35,22:05,TIRGU MURES,Estero/Italia,OPERATO DA WIZZAIR HUNGARY,2026-08-27 19:35:34
FR 2739,Atterraggio,20:35,22:10,LONDON STANSTED,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
W6 1434,Atterraggio,20:40,20:40,WARSAW,Estero/Italia,OPERATO DA WIZZAIR MALTA,2026-08-27 19:35:34
FR 3219,Atterraggio,20:45,21:25,MANCHESTER,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
FR 4969,Atterraggio,20:50,20:50,PALERMO,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 3665,Atterraggio,21:05,21:30,NAPOLI,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
FR 8844,Atterraggio,21:10,21:36,WROCLAW - BRESLAVIA,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
DY 1847,Atterraggio,21:15,21:15,OSLO,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 3893,Atterraggio,21:15,21:15,CAGLIARI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
FR 4523,Atterraggio,21:20,21:20,BRUXELLES CHARLEROI,Estero/Italia,Operativo,2026-08-27 19:35:34
FR 859,Atterraggio,21:20,21:20,BRINDISI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 19:35:34
W6 4774,Atterraggio,21:25,22:00,SKOPJE,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
NP 224,Atterraggio,21:30,01:30,CAIRO,Estero/Italia,IN RITARDO,2026-08-27 19:35:34
