callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 2864,D,BRINDISI,08:15,23:40,IMBARCO ULTIMA CHIAMATA,2026-09-12 23:00:24
V7 1712,D,LAMPEDUSA,19:20,22:31,DECOLLATO,2026-09-12 23:00:24
W4 5020,D,TIRANA,21:45,23:29,IMBARCO IN CORSO,2026-09-12 23:00:24
FR 6991,D,RABAT,22:10,22:35,DECOLLATO,2026-09-12 23:00:24
SM 832,D,SHARM EL SHEIKH,22:20,22:55,IMBARCO CHIUSO,2026-09-12 23:00:24
FR 3280,D,GDANSK - DANZICA,22:20,22:57,DECOLLATO,2026-09-12 23:00:24
G9 696,D,SHARJAH,22:50,22:50,IMBARCO CHIUSO,2026-09-12 23:00:24
FR 8844,D,WROCLAW - BRESLAVIA,22:55,22:55,IMBARCO CHIUSO,2026-09-12 23:00:24
FR 5999,D,ZAGREB,23:05,23:05,IMBARCO ULTIMA CHIAMATA,2026-09-12 23:00:24
FR 3408,D,KATOWICE,23:10,23:10,IMBARCO ULTIMA CHIAMATA,2026-09-12 23:00:24
FR 3535,D,KRAKOW,23:15,23:15,IMBARCO IN CORSO,2026-09-12 23:00:24
NP 322,D,CAIRO,23:30,00:10,IN RITARDO,2026-09-12 23:00:24
FR 6086,D,KALAMATA,05:45,05:45,Operativo,2026-09-12 23:00:24
FR 2830,D,TENERIFE,05:50,05:50,Operativo,2026-09-12 23:00:24
FR 2293,D,PESCARA,05:55,05:55,OPERATO DA MALTA AIR,2026-09-12 23:00:24
FR 2254,D,ALGHERO,05:55,05:55,Operativo,2026-09-12 23:00:24
FR 8511,D,BENI MELLAL,05:55,05:55,Operativo,2026-09-12 23:00:24
FR 3142,D,BARCELONA EL PRAT,06:00,06:00,Operativo,2026-09-12 23:00:24
FR 3200,D,CAGLIARI,06:00,06:00,Operativo,2026-09-12 23:00:24
FR 410,D,LUXEMBOURG,06:05,06:05,OPERATO DA MALTA AIR,2026-09-12 23:00:24
FR 8334,D,IBIZA,06:05,06:05,Operativo,2026-09-12 23:00:24
NO 7700,D,CATANIA,06:15,06:15,Operativo,2026-09-12 23:00:24
FR 5139,D,FARO,06:15,06:15,OPERATO DA MALTA AIR,2026-09-12 23:00:24
FR 3400,D,SOFIA,06:30,06:30,Operativo,2026-09-12 23:00:24
FR 3392,D,HELSINKI,06:30,06:30,OPERATO DA MALTA AIR,2026-09-12 23:00:24
FR 3528,D,PRAGUE,06:35,06:35,Operativo,2026-09-12 23:00:24
FR 2285,D,NAPOLI,06:40,06:40,OPERATO DA MALTA AIR,2026-09-12 23:00:24
FR 8844,D,WROCLAW - BRESLAVIA,06:45,06:45,OPERATO DA MALTA AIR,2026-09-12 23:00:24
FR 9292,D,KAUNAS,06:45,06:45,Operativo,2026-09-12 23:00:24
MT 3140,D,MARSA ALAM,06:50,06:50,Operativo,2026-09-12 23:00:24
FR 2878,D,STOCKHOLM,07:00,07:00,Operativo,2026-09-12 23:00:24
AP 3637,D,SHARM EL SHEIKH,07:00,07:00,Operativo,2026-09-12 23:00:24
FR 9095,D,GDANSK - DANZICA,07:00,07:00,Operativo,2026-09-12 23:00:24
FR 9050,D,CORK,07:15,07:15,Operativo,2026-09-12 23:00:24
FR 3460,D,EINDHOVEN,07:20,07:20,Operativo,2026-09-12 23:00:24
W4 3132,D,BUCHAREST BANEASA,07:30,07:30,OPERATO DA WIZZAIR HUNGARY,2026-09-12 23:00:24
FR 8121,D,TIRANA,07:30,07:30,Operativo,2026-09-12 23:00:24
FR 6054,D,ZAGREB,07:40,07:40,OPERATO DA LAUDA EUROPE,2026-09-12 23:00:24
FR 4667,D,BARI,07:45,07:45,OPERATO DA MALTA AIR,2026-09-12 23:00:24
FR 5114,D,LAMEZIA,07:50,07:50,OPERATO DA MALTA AIR,2026-09-12 23:00:24
FR 2107,D,BUDAPEST,07:55,07:55,OPERATO DA BUZZ,2026-09-12 23:00:24
W4 3672,D,IASI,08:00,08:00,Operativo,2026-09-12 23:00:24
FR 3448,D,BRINDISI,08:00,08:00,Operativo,2026-09-12 23:00:24
FR 6458,D,PALERMO,08:10,08:10,Operativo,2026-09-12 23:00:24
W6 4352,D,SOFIA,08:10,08:10,Operativo,2026-09-12 23:00:24
FR 888,D,KRAKOW,08:15,08:15,OPERATO DA MALTA AIR,2026-09-12 23:00:24
FR 5120,D,MADRID,08:15,08:15,OPERATO DA MALTA AIR,2026-09-12 23:00:24
FR 3396,D,CROTONE,08:25,08:25,Operativo,2026-09-12 23:00:24
W4 3382,D,CLUJ-NAPOCA,08:25,08:25,OPERATO DA WIZZAIR HUNGARY,2026-09-12 23:00:24
XZ 354,D,TRIPOLI,08:30,08:30,OPERATO,2026-09-12 23:00:24
FR 4475,D,BRUXELLES CHARLEROI,08:40,08:40,Operativo,2026-09-12 23:00:24
W4 7691,D,ORADEA,08:40,08:40,Operativo,2026-09-12 23:00:24
W6 1432,D,WARSAW,08:40,08:40,OPERATO DA WIZZAIR MALTA,2026-09-12 23:00:24
FR 1533,D,VIENNA,09:10,09:10,OPERATO DA LAUDA EUROPE,2026-09-12 23:00:24
FR 1903,D,VARSAVIA MODLIN,09:10,09:10,OPERATO DA MALTA AIR,2026-09-12 23:00:24
FR 5148,D,ZADAR,09:15,09:15,Operativo,2026-09-12 23:00:24
FR 2735,D,LONDON STANSTED,09:20,09:20,Operativo,2026-09-12 23:00:24
FR 3217,D,MANCHESTER,09:30,09:30,OPERATO DA MALTA AIR,2026-09-12 23:00:24
FR 5531,D,COLOGNE,09:35,09:35,Operativo,2026-09-12 23:00:24
FR 3480,D,CAGLIARI,09:50,09:50,Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-09-12 23:00:24
