numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,stato_destinazione,status,scan_timestamp
FR 3545,Decollo,18:20,19:20,FEZ,Estero/Italia,DECOLLATO,2026-08-26 19:48:38
FR 3164,Decollo,18:25,19:33,BUDAPEST,Estero/Italia,DECOLLATO,2026-08-26 19:48:38
FR 3655,Decollo,18:35,19:24,STOCKHOLM,Estero/Italia,DECOLLATO,2026-08-26 19:48:38
BZ 151,Decollo,19:10,22:10,TEL AVIV,Estero/Italia,IN RITARDO,2026-08-26 19:48:38
FR 7976,Decollo,19:20,19:20,KOS,Estero/Italia,DECOLLATO,2026-08-26 19:48:38
FR 3398,Decollo,19:25,19:25,MALAGA,Estero/Italia,DECOLLATO,2026-08-26 19:48:38
FR 4638,Decollo,19:50,21:21,PORTO,Estero/Italia,IN RITARDO,2026-08-26 19:48:38
FR 2892,Decollo,20:05,20:05,CATANIA,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 19:48:38
FR 3665,Decollo,20:10,21:35,NAPOLI,Estero/Italia,IN RITARDO,2026-08-26 19:48:38
FR 3501,Decollo,20:10,20:10,PARIS BEAUVAIS,Estero/Italia,IMBARCO IN CORSO,2026-08-26 19:48:38
FR 859,Decollo,20:15,20:15,BRINDISI,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 19:48:38
FR 3504,Decollo,20:25,21:06,KRAKOW,Estero/Italia,IN RITARDO,2026-08-26 19:48:38
FR 3506,Decollo,20:25,20:25,ALICANTE,Estero/Italia,Operativo,2026-08-26 19:48:38
3F 248,Decollo,20:25,20:47,YEREVAN,Estero/Italia,OPERATO DA AVION EXPRESS,2026-08-26 19:48:38
W4 3608,Decollo,20:30,20:30,SUCEAVA,Estero/Italia,Operativo,2026-08-26 19:48:38
FR 4235,Decollo,20:35,20:35,VILNIUS,Estero/Italia,OPERATO DA BUZZ,2026-08-26 19:48:38
W6 1434,Decollo,20:40,20:40,WARSAW,Estero/Italia,Operativo,2026-08-26 19:48:38
FR 2254,Decollo,20:50,20:50,ALGHERO,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 19:48:38
FR 5092,Decollo,20:50,21:32,LAMEZIA,Estero/Italia,IN RITARDO,2026-08-26 19:48:38
FR 8349,Decollo,20:55,20:55,TIRANA,Estero/Italia,Operativo,2026-08-26 19:48:38
W4 3470,Decollo,21:00,21:00,TIRGU MURES,Estero/Italia,Operativo,2026-08-26 19:48:38
FR 484,Decollo,21:20,21:20,DUSSELDORF - WEEZE,Estero/Italia,Operativo,2026-08-26 19:48:38
FR 4969,Decollo,21:25,21:25,PALERMO,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 19:48:38
FR 3219,Decollo,21:30,22:10,MANCHESTER,Estero/Italia,IN RITARDO,2026-08-26 19:48:38
FR 3341,Decollo,21:30,22:10,VARSAVIA MODLIN,Estero/Italia,IN RITARDO,2026-08-26 19:48:38
NP 222,Decollo,21:30,21:30,CAIRO,Estero/Italia,Operativo,2026-08-26 19:48:38
FR 7324,Decollo,21:35,21:59,MALTA,Estero/Italia,IN RITARDO,2026-08-26 19:48:38
W4 3136,Decollo,21:45,22:06,BUCHAREST OTOPENI,Estero/Italia,OPERATO DA WIZZAIR HUNGARY,2026-08-26 19:48:38
FR 4132,Decollo,21:45,21:45,BARI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 19:48:38
W4 5020,Decollo,21:45,21:45,TIRANA,Estero/Italia,OPERATO DA WIZZAIR HUNGARY,2026-08-26 19:48:38
E5 545,Decollo,22:00,22:00,CAIRO,Estero/Italia,Operativo,2026-08-26 19:48:38
FR 6501,Decollo,22:10,23:25,OLBIA,Estero/Italia,IN RITARDO,2026-08-26 19:48:38
FR 2992,Decollo,22:15,22:15,COPENHAGEN,Estero/Italia,Operativo,2026-08-26 19:48:38
FR 5148,Decollo,22:20,22:20,ZADAR,Estero/Italia,OPERATO DA LAUDA EUROPE,2026-08-26 19:48:38
W4 3552,Decollo,22:20,22:40,TIMISOARA,Estero/Italia,IN RITARDO,2026-08-26 19:48:38
FR 2293,Decollo,22:25,22:50,PESCARA,Estero/Italia,IN RITARDO,2026-08-26 19:48:38
FR 7361,Decollo,22:25,22:55,VIENNA,Estero/Italia,IN RITARDO,2026-08-26 19:48:38
FR 9196,Decollo,22:35,22:35,TRAPANI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 19:48:38
FR 4188,Decollo,22:40,22:40,LONDON STANSTED,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 19:48:38
FZ 1572,Decollo,23:25,23:25,DUBAI,Estero/Italia,Operativo,2026-08-26 19:48:38
EK 2415,Decollo,23:25,23:25,DUBAI,Estero/Italia,Operativo,2026-08-26 19:48:38
W6 4124,Decollo,23:35,23:35,BELGRADE,Estero/Italia,OPERATO DA WIZZAIR MALTA,2026-08-26 19:48:38
FR 6846,Decollo,23:40,23:40,LIVERPOOL,Estero/Italia,Operativo,2026-08-26 19:48:38
FR 1703,Decollo,23:40,23:40,NOTTINGHAM EAST MIDLANDS,Estero/Italia,Operativo,2026-08-26 19:48:38
