callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,stato_destinazione,scan_timestamp
BZ 151,D,TEL AVIV,19:25,21:39,IMBARCO IN CORSO,Estero/Italia,2026-08-27 21:38:25
FR 3645,D,EDINBURGH,20:00,21:54,IMBARCO ULTIMA CHIAMATA,Estero/Italia,2026-08-27 21:38:25
FR 3300,D,VITORIA,20:00,21:18,IMBARCO CHIUSO,Estero/Italia,2026-08-27 21:38:25
W4 3470,D,TIRGU MURES,20:35,22:14,OPERATO DA WIZZAIR HUNGARY,Estero/Italia,2026-08-27 21:38:25
FR 2739,D,LONDON STANSTED,20:35,23:02,IN RITARDO,Estero/Italia,2026-08-27 21:38:25
FR 3219,D,MANCHESTER,20:45,22:45,IN RITARDO,Estero/Italia,2026-08-27 21:38:25
FR 3665,D,NAPOLI,21:05,21:36,IMBARCO CHIUSO,Estero/Italia,2026-08-27 21:38:25
FR 8844,D,WROCLAW - BRESLAVIA,21:10,22:31,IN RITARDO,Estero/Italia,2026-08-27 21:38:25
DY 1847,D,OSLO,21:15,21:15,DECOLLATO,Estero/Italia,2026-08-27 21:38:25
FR 3893,D,CAGLIARI,21:15,21:15,DECOLLATO,Estero/Italia,2026-08-27 21:38:25
FR 4523,D,BRUXELLES CHARLEROI,21:20,21:45,IMBARCO ULTIMA CHIAMATA,Estero/Italia,2026-08-27 21:38:25
FR 859,D,BRINDISI,21:20,21:20,DECOLLATO,Estero/Italia,2026-08-27 21:38:25
W6 4774,D,SKOPJE,21:25,22:30,IN RITARDO,Estero/Italia,2026-08-27 21:38:25
NP 224,D,CAIRO,21:30,01:55,IN RITARDO,Estero/Italia,2026-08-27 21:38:25
W4 3136,D,BUCHAREST OTOPENI,21:45,22:38,OPERATO DA WIZZAIR HUNGARY,Estero/Italia,2026-08-27 21:38:25
W4 5020,D,TIRANA,21:45,21:45,IMBARCO IN CORSO,Estero/Italia,2026-08-27 21:38:25
W4 3932,D,CHISINAU,21:50,21:50,OPERATO DA WIZZAIR HUNGARY,Estero/Italia,2026-08-27 21:38:25
FR 2096,D,LISBON,21:50,21:50,IMBARCO IN CORSO,Estero/Italia,2026-08-27 21:38:25
FR 3164,D,BUDAPEST,22:00,22:00,OPERATO DA BUZZ,Estero/Italia,2026-08-27 21:38:25
W4 3382,D,CLUJ-NAPOCA,22:00,22:00,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 9372,D,BRNO,22:05,22:05,Operativo,Estero/Italia,2026-08-27 21:38:25
W6 4508,D,VARNA,22:10,22:31,OPERATO DA WIZZAIR MALTA,Estero/Italia,2026-08-27 21:38:25
FR 9196,D,TRAPANI,22:15,22:15,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 8479,D,TIRANA,22:20,22:20,OPERATO DA BUZZ,Estero/Italia,2026-08-27 21:38:25
G9 696,D,SHARJAH,22:50,22:50,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 2992,D,COPENHAGEN,22:55,23:30,IN RITARDO,Estero/Italia,2026-08-27 21:38:25
EK 2415,D,DUBAI,23:25,00:30,IN RITARDO,Estero/Italia,2026-08-27 21:38:25
FR 3413,D,KATOWICE,23:25,23:25,OPERATO DA BUZZ,Estero/Italia,2026-08-27 21:38:25
FZ 1572,D,DUBAI,23:25,00:30,IN RITARDO,Estero/Italia,2026-08-27 21:38:25
W6 4124,D,BELGRADE,23:35,23:35,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 2285,D,NAPOLI,05:45,05:45,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 21:38:25
FR 2697,D,LONDON STANSTED,05:45,05:45,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 21:38:25
FR 3593,D,POZNAN,05:45,05:45,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 5139,D,FARO,05:50,05:50,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 2107,D,BUDAPEST,06:00,06:00,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 7324,D,MALTA,06:05,06:05,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 2872,D,VILNIUS,06:10,06:10,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 3528,D,PRAGUE,06:15,06:15,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 21:38:25
FR 1533,D,VIENNA,06:25,06:25,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 21:38:25
FR 4311,D,ROVANIEMI,06:30,06:30,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 3432,D,PARIS BEAUVAIS,06:30,06:30,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 21:38:25
FR 259,D,BUCHAREST OTOPENI,06:35,06:35,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 21:38:25
FR 2261,D,CATANIA,06:40,06:40,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 3460,D,EINDHOVEN,06:40,06:40,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 21:38:25
FR 4993,D,CEFALONIA,06:50,06:50,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 4650,D,TRAPANI,06:50,06:50,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 21:38:25
FR 6703,D,SKIATHOS,07:00,07:00,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 3653,D,BARI,07:10,07:10,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 076,D,SEVILLA,07:15,07:15,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 2293,D,PESCARA,07:20,07:20,Operativo,Estero/Italia,2026-08-27 21:38:25
FR 820,D,LISBON,07:20,07:20,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 21:38:25
FR 3400,D,SOFIA,07:30,07:30,OPERATO DA BUZZ,Estero/Italia,2026-08-27 21:38:25
W4 3132,D,BUCHAREST OTOPENI,07:30,07:30,OPERATO DA WIZZAIR HUNGARY,Estero/Italia,2026-08-27 21:38:25
FR 8121,D,TIRANA,07:35,07:35,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 21:38:25
FR 4706,D,CAGLIARI,07:55,07:55,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 21:38:25
V7 3511,D,ASTURIAS,07:55,07:55,Operativo,Estero/Italia,2026-08-27 21:38:25
W4 3672,D,IASI,08:00,08:00,OPERATO DA WIZZAIR HUNGARY,Estero/Italia,2026-08-27 21:38:25
FR 1417,D,LAMEZIA,08:00,08:00,OPERATO DA MALTA AIR,Estero/Italia,2026-08-27 21:38:25
W6 4352,D,SOFIA,08:10,08:10,OPERATO DA WIZZAIR MALTA,Estero/Italia,2026-08-27 21:38:25
FR 6149,D,PALERMO,08:10,08:10,Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,Estero/Italia,2026-08-27 21:38:25
