callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 2864,D,BRINDISI,08:15,22:50,IN RITARDO,2026-09-12 18:00:24
FR 2878,D,STOCKHOLM,17:05,17:40,DECOLLATO,2026-09-12 18:00:24
FR 3392,D,HELSINKI,17:05,18:26,IMBARCO IN CORSO,2026-09-12 18:00:24
FR 3653,D,BARI,17:15,17:53,DECOLLATO,2026-09-12 18:00:24
AZ 7058,D,ISTANBUL S. GOKCEN,17:15,18:08,IMBARCO CHIUSO,2026-09-12 18:00:24
FR 5102,D,BIRMINGHAM,17:15,17:59,IMBARCO CHIUSO,2026-09-12 18:00:24
PC 1214,D,ISTANBUL S. GOKCEN,17:15,18:08,IMBARCO CHIUSO,2026-09-12 18:00:24
FR 4044,D,VARSAVIA MODLIN,17:35,17:35,DECOLLATO,2026-09-12 18:00:24
FR 2992,D,COPENHAGEN,17:35,18:20,IMBARCO CHIUSO,2026-09-12 18:00:24
FR 2649,D,MALAGA,17:50,17:50,IMBARCO CHIUSO,2026-09-12 18:00:24
FR 2858,D,BRINDISI,18:10,19:00,IN RITARDO,2026-09-12 18:00:24
FR 5092,D,LAMEZIA,18:15,20:00,IN RITARDO,2026-09-12 18:00:24
AP 3223,D,LAMEZIA,18:20,18:55,IN RITARDO,2026-09-12 18:00:24
FR 4845,D,DUBLIN,18:20,18:20,OPERATO DA MALTA AIR,2026-09-12 18:00:24
FR 865,D,BUCHAREST OTOPENI,18:25,18:25,AIR HORIZONT,2026-09-12 18:00:24
HAT 4741,D,OLBIA,18:40,18:40,IMBARCO ULTIMA CHIAMATA,2026-09-12 18:00:24
FR 2428,D,SARAJEVO,18:50,19:12,IN RITARDO,2026-09-12 18:00:24
BZ 151,D,TEL AVIV,19:00,19:00,Operativo,2026-09-12 18:00:24
FR 3561,D,NAPOLI,19:00,19:00,IN RITARDO,2026-09-12 18:00:24
V7 1712,D,LAMPEDUSA,19:20,19:20,Operativo,2026-09-12 18:00:24
FR 3559,D,BRISTOL,19:20,19:20,Operativo,2026-09-12 18:00:24
FR 8349,D,TIRANA,19:35,19:35,Operativo,2026-09-12 18:00:24
FR 3893,D,CAGLIARI,19:45,19:45,OPERATO DA MALTA AIR,2026-09-12 18:00:24
V7 1316,D,OLBIA,19:55,19:55,Operativo,2026-09-12 18:00:24
3O 454,D,CASABLANCA,20:00,20:27,IN RITARDO,2026-09-12 18:00:24
FR 3217,D,MANCHESTER,20:00,20:20,IN RITARDO,2026-09-12 18:00:24
FR 2892,D,CATANIA,20:05,20:30,IN RITARDO,2026-09-12 18:00:24
DY 1849,D,BERGEN,20:05,21:01,IN RITARDO,2026-09-12 18:00:24
FR 3164,D,BUDAPEST,20:05,20:05,OPERATO DA BUZZ,2026-09-12 18:00:24
FR 3437,D,SOFIA,20:10,20:10,OPERATO DA MALTA AIR,2026-09-12 18:00:24
FR 7361,D,VIENNA,20:20,20:20,OPERATO DA LAUDA EUROPE,2026-09-12 18:00:24
VR 631,D,SAL - CABOVERDE,20:20,20:20,Operativo,2026-09-12 18:00:24
FR 8800,D,IBIZA,20:25,21:00,IN RITARDO,2026-09-12 18:00:24
YW 8366,D,MENORCA,20:30,20:30,Operativo,2026-09-12 18:00:24
W4 3470,D,TIRGU MURES,20:35,20:35,OPERATO DA WIZZAIR HUNGARY,2026-09-12 18:00:24
