numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,status,scan_timestamp
FR 259,Decollo,07:20,09:50,BUCHAREST OTOPENI,IMBARCO CHIUSO,2026-08-27 09:48:21
DN 422,Decollo,08:05,08:05,BACAU,CANCELLATO,2026-08-27 09:48:21
W4 7691,Decollo,08:40,09:38,ORADEA,DECOLLATO,2026-08-27 09:48:21
FR 2990,Decollo,09:20,09:20,COPENHAGEN,DECOLLATO,2026-08-27 09:48:21
FR 3657,Decollo,09:25,09:49,EDINBURGH,IMBARCO CHIUSO,2026-08-27 09:48:21
FR 3673,Decollo,09:25,09:45,LONDON STANSTED,IMBARCO CHIUSO,2026-08-27 09:48:21
FR 461,Decollo,09:40,09:40,NEWCASTLE,IMBARCO CHIUSO,2026-08-27 09:48:21
FR 888,Decollo,09:40,09:40,KRAKOW,DECOLLATO,2026-08-27 09:48:21
D8 3881,Decollo,09:40,09:40,BILLUND,DECOLLATO,2026-08-27 09:48:21
FR 4196,Decollo,09:50,10:30,CORFU,IN RITARDO,2026-08-27 09:48:21
FR 4714,Decollo,09:50,09:50,RIGA,DECOLLATO,2026-08-27 09:48:21
FR 3659,Decollo,09:55,12:50,BRUXELLES CHARLEROI,IN RITARDO,2026-08-27 09:48:21
FR 8355,Decollo,10:00,10:00,TIRANA,IMBARCO CHIUSO,2026-08-27 09:48:21
FR 4631,Decollo,10:15,10:15,VALENCIA,IMBARCO IN CORSO,2026-08-27 09:48:21
FR 1536,Decollo,10:25,10:25,CASTELLON DE LA PLANA,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 2888,Decollo,10:25,10:25,CATANIA,IMBARCO IN CORSO,2026-08-27 09:48:21
FR 8334,Decollo,10:30,10:30,IBIZA,Operativo,2026-08-27 09:48:21
FR 2087,Decollo,10:45,10:45,LISBON,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 2649,Decollo,10:50,10:50,MALAGA,Operativo,2026-08-27 09:48:21
FR 4201,Decollo,10:50,11:10,RHODES,IN RIT,2026-08-27 09:48:21
3O 458,Decollo,10:50,10:50,CASABLANCA,Operativo,2026-08-27 09:48:21
FR 1417,Decollo,11:15,11:15,LAMEZIA,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 4650,Decollo,11:35,11:35,TRAPANI,Operativo,2026-08-27 09:48:21
FR 1784,Decollo,11:35,11:35,COPENHAGEN,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 4658,Decollo,11:35,11:35,BARI,OPERATO DA MALTA AIR,2026-08-27 09:48:21
AZ 7048,Decollo,11:45,11:45,ISTANBUL S. GOKCEN,Operativo,2026-08-27 09:48:21
FR 7324,Decollo,11:45,11:45,MALTA,Operativo,2026-08-27 09:48:21
PC 1212,Decollo,11:45,11:45,ISTANBUL S. GOKCEN,Operativo,2026-08-27 09:48:21
FR 6257,Decollo,11:55,11:55,KRAKOW,OPERATO DA BUZZ,2026-08-27 09:48:21
FR 2872,Decollo,12:05,12:05,VILNIUS,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 845,Decollo,12:05,12:05,CLUJ-NAPOCA,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 3450,Decollo,12:15,12:15,TANGIER,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 2669,Decollo,12:45,12:45,BERLIN,OPERATO DA MALTA AIR,2026-08-27 09:48:21
VF 062,Decollo,12:45,12:45,ISTANBUL S. GOKCEN,Operativo,2026-08-27 09:48:21
FR 3142,Decollo,12:55,13:35,BARCELONA EL PRAT,IN RITARDO,2026-08-27 09:48:21
FR 5139,Decollo,12:55,12:55,FARO,Operativo,2026-08-27 09:48:21
D8 3751,Decollo,12:55,12:55,COPENHAGEN,Operativo,2026-08-27 09:48:21
FR 3217,Decollo,13:05,13:05,MANCHESTER,Operativo,2026-08-27 09:48:21
FR 6125,Decollo,13:20,13:20,DUBLIN,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 2697,Decollo,13:25,13:25,LONDON STANSTED,OPERATO DA MALTA AIR,2026-08-27 09:48:21
W4 3772,Decollo,13:25,14:25,CRAIOVA,IN RITARDO,2026-08-27 09:48:21
FR 2864,Decollo,13:25,13:25,BRINDISI,Operativo,2026-08-27 09:48:21
FR 5531,Decollo,13:30,13:30,COLOGNE,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FZ 1574,Decollo,13:40,14:10,DUBAI,IN RITARDO,2026-08-27 09:48:21
YW 8146,Decollo,13:40,13:40,PALMA DE MALLORCA,Operativo,2026-08-27 09:48:21
EK 2141,Decollo,13:40,14:10,DUBAI,IN RITARDO,2026-08-27 09:48:21
FR 4001,Decollo,13:50,13:50,LANZAROTE,Operativo,2026-08-27 09:48:21
F3 586,Decollo,14:00,14:00,RIYADH,Operativo,2026-08-27 09:48:21
SM 832,Decollo,14:25,14:25,SHARM EL SHEIKH,Operativo,2026-08-27 09:48:21
FR 2254,Decollo,14:25,14:25,ALGHERO,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 6513,Decollo,14:35,14:35,OLBIA,Operativo,2026-08-27 09:48:21
FR 219,Decollo,14:50,14:50,ALICANTE,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 3480,Decollo,14:55,14:55,CAGLIARI,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 3460,Decollo,14:55,14:55,EINDHOVEN,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 1903,Decollo,15:25,15:25,VARSAVIA MODLIN,Operativo,2026-08-27 09:48:21
FR 5980,Decollo,15:30,15:30,TOULOUSE,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 3396,Decollo,15:35,15:35,CROTONE,OPERATO DA MALTA AIR,2026-08-27 09:48:21
FR 6703,Decollo,15:35,15:35,SKIATHOS,Operativo,2026-08-27 09:48:21
W4 5018,Decollo,15:45,15:45,TIRANA,OPERATO DA WIZZAIR HUNGARY,2026-08-27 09:48:21
