numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,stato_destinazione,status,scan_timestamp
W6 1432,Decollo,08:40,13:45,WARSAW,Estero/Italia,IN RITARDO,2026-08-26 12:25:47
FR 3210,Decollo,11:35,12:12,SANTORINI / THIRA,Estero/Italia,DECOLLATO,2026-08-26 12:25:47
FR 2864,Decollo,12:00,12:31,BRINDISI,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 12:25:47
FR 3561,Decollo,12:05,12:05,NAPOLI,Estero/Italia,DECOLLATO,2026-08-26 12:25:47
FR 4523,Decollo,12:20,12:50,BRUXELLES CHARLEROI,Estero/Italia,IMBARCO IN CORSO,2026-08-26 12:25:47
E5 543,Decollo,12:20,12:20,CAIRO,Estero/Italia,IMBARCO CHIUSO,2026-08-26 12:25:47
FR 1319,Decollo,12:25,12:25,ATHENS,Estero/Italia,IMBARCO IN CORSO,2026-08-26 12:25:47
VF 062,Decollo,12:45,12:45,ISTANBUL S. GOKCEN,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 12:25:47
FR 8800,Decollo,12:50,12:50,IBIZA,Estero/Italia,IMBARCO IN CORSO,2026-08-26 12:25:47
FR 1853,Decollo,12:50,12:50,MARSEILLE,Estero/Italia,IMBARCO IN CORSO,2026-08-26 12:25:47
FR 3480,Decollo,13:00,13:00,CAGLIARI,Estero/Italia,IMBARCO IN CORSO,2026-08-26 12:25:47
FR 3587,Decollo,13:05,13:05,OSLO TORP,Estero/Italia,IMBARCO IN CORSO,2026-08-26 12:25:47
G9 794,Decollo,13:20,13:20,SHARJAH,Estero/Italia,Operativo,2026-08-26 12:25:47
3O 458,Decollo,13:35,13:35,CASABLANCA,Estero/Italia,Operativo,2026-08-26 12:25:47
EK 2141,Decollo,13:40,13:40,DUBAI,Estero/Italia,Operativo,2026-08-26 12:25:47
F3 820,Decollo,13:40,13:40,JEDDAH,Estero/Italia,Operativo,2026-08-26 12:25:47
FZ 1574,Decollo,13:40,13:40,DUBAI,Estero/Italia,Operativo,2026-08-26 12:25:47
DY 1843,Decollo,13:45,13:45,STAVANGER,Estero/Italia,Operativo,2026-08-26 12:25:47
DY 1849,Decollo,13:45,13:45,BERGEN,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 3867,Decollo,13:50,13:50,POZNAN,Estero/Italia,Operativo,2026-08-26 12:25:47
V7 1316,Decollo,14:00,14:00,OLBIA,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 2739,Decollo,14:10,14:10,LONDON STANSTED,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 5139,Decollo,14:15,14:15,FARO,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 3450,Decollo,14:25,14:25,TANGIER,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 2289,Decollo,14:30,14:57,PALERMO,Estero/Italia,IN RITARDO,2026-08-26 12:25:47
FR 1903,Decollo,14:30,14:55,VARSAVIA MODLIN,Estero/Italia,IN RITARDO,2026-08-26 12:25:47
FR 3645,Decollo,14:30,14:30,EDINBURGH,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 12:25:47
FR 3112,Decollo,14:45,14:45,IASI,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 9095,Decollo,14:55,14:55,GDANSK - DANZICA,Estero/Italia,OPERATO DA BUZZ,2026-08-26 12:25:47
FR 3530,Decollo,14:55,14:55,PRAGUE,Estero/Italia,AIR EXPLORE,2026-08-26 12:25:47
ED 8177,Decollo,15:00,15:00,KOSICE,Estero/Italia,Operativo,2026-08-26 12:25:47
W4 3772,Decollo,15:20,15:20,CRAIOVA,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 5531,Decollo,15:30,15:30,COLOGNE,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 12:25:47
FR 5655,Decollo,15:35,15:35,PALMA DE MALLORCA,Estero/Italia,OPERATO DA LAUDA EUROPE,2026-08-26 12:25:47
FR 2428,Decollo,15:40,15:40,SARAJEVO,Estero/Italia,Operativo,2026-08-26 12:25:47
W4 5018,Decollo,15:45,15:45,TIRANA,Estero/Italia,OPERATO DA WIZZAIR HUNGARY,2026-08-26 12:25:47
FR 6354,Decollo,15:45,15:45,BARCELONA EL PRAT,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 12:25:47
FR 1417,Decollo,15:55,15:55,LAMEZIA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 12:25:47
XZ 354,Decollo,16:00,16:00,TRIPOLI,Estero/Italia,CANCELLATO,2026-08-26 12:25:47
FR 1176,Decollo,16:00,16:00,MENORCA,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 5113,Decollo,16:05,16:05,CROTONE,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 219,Decollo,16:15,16:15,ALICANTE,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 12:25:47
FR 865,Decollo,16:15,16:15,BUCHAREST OTOPENI,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 4037,Decollo,16:15,16:15,DUBLIN,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 5934,Decollo,16:25,16:25,DUBROVNIK,Estero/Italia,OPERATO DA BUZZ,2026-08-26 12:25:47
FR 8355,Decollo,16:25,16:25,TIRANA,Estero/Italia,OPERATO DA BUZZ,2026-08-26 12:25:47
FR 5876,Decollo,16:30,16:30,PARIS BEAUVAIS,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 5102,Decollo,16:30,16:30,BIRMINGHAM,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 2876,Decollo,16:45,16:45,BRINDISI,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 6149,Decollo,16:55,16:55,PALERMO,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 12:25:47
FR 4475,Decollo,16:55,16:55,BRUXELLES CHARLEROI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 12:25:47
PC 1214,Decollo,17:15,17:15,ISTANBUL S. GOKCEN,Estero/Italia,Operativo,2026-08-26 12:25:47
AZ 7058,Decollo,17:15,17:15,ISTANBUL S. GOKCEN,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 3649,Decollo,17:20,17:20,PAPHOS,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 12:25:47
FR 3413,Decollo,17:35,17:35,KATOWICE,Estero/Italia,OPERATO DA BUZZ,2026-08-26 12:25:47
FR 413,Decollo,17:45,17:45,THESSALONIKI,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 3673,Decollo,17:50,17:50,LONDON STANSTED,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 12:25:47
FR 5494,Decollo,17:50,17:50,MADRID,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 6175,Decollo,18:00,18:00,CATANIA,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 3142,Decollo,18:05,18:05,BARCELONA EL PRAT,Estero/Italia,Operativo,2026-08-26 12:25:47
FR 4638,Decollo,19:50,21:15,PORTO,Estero/Italia,IN RITARDO Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-08-26 12:25:47
W6 1432,Atterraggio,08:40,13:45,WARSAW,Estero/Italia,IN RITARDO,2026-08-26 12:25:47
FR 3210,Atterraggio,11:35,12:12,SANTORINI / THIRA,Estero/Italia,DECOLLATO,2026-08-26 12:25:47
FR 2864,Atterraggio,12:00,12:31,BRINDISI,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 12:25:47
FR 3561,Atterraggio,12:05,12:05,NAPOLI,Estero/Italia,DECOLLATO,2026-08-26 12:25:47
FR 4523,Atterraggio,12:20,12:50,BRUXELLES CHARLEROI,Estero/Italia,IMBARCO IN CORSO,2026-08-26 12:25:47
E5 543,Atterraggio,12:20,12:20,CAIRO,Estero/Italia,IMBARCO CHIUSO,2026-08-26 12:25:47
FR 1319,Atterraggio,12:25,12:25,ATHENS,Estero/Italia,IMBARCO IN CORSO,2026-08-26 12:25:47
