flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
V7 1712,Decollo,18:50,22:27,LAMPEDUSA18:50 | 22:27Decollato,Decollato,2026-06-07 23:00:00
FR 7361,Decollo,20:15,21:11,VIENNA20:15 | 21:11Decollato,Decollato,2026-06-07 23:00:00
W4 3552,Decollo,20:25,22:37,TIMISOARA20:25 | 22:37Decollato,Decollato,2026-06-07 23:00:00
3F 248,Decollo,20:25,21:06,YEREVAN20:25 | 21:06Decollato,Decollato,2026-06-07 23:00:00
W6 1434,Decollo,20:40,22:04,WARSAW20:40 | 22:04Decollato,Decollato,2026-06-07 23:00:00
FR 3504,Decollo,20:40,21:25,KRAKOW20:40 | 21:25Decollato,Decollato,2026-06-07 23:00:00
XZ 2223,Decollo,20:45,22:54,FOGGIA20:45 | 22:54Imbarco chiuso,Imbarco chiuso,2026-06-07 23:00:00
FR 6304,Decollo,20:55,22:55,BARCELONA EL PRAT20:55 | 22:55Imbarco chiuso,Imbarco chiuso,2026-06-07 23:00:00
FR 5092,Decollo,21:00,21:00,LAMEZIA21:00 | 21:00Decollato,Decollato,2026-06-07 23:00:00
FR 6651,Decollo,21:05,22:35,CATANIA21:05 | 22:35Decollato,Decollato,2026-06-07 23:00:00
W6 4774,Decollo,21:10,21:40,SKOPJE21:10 | 21:40Decollato,Decollato,2026-06-07 23:00:00
DY 1849,Decollo,21:20,21:20,BERGEN21:20 | 21:20Decollato,Decollato,2026-06-07 23:00:00
FR 3893,Decollo,21:20,21:45,CAGLIARI21:20 | 21:45Decollato,Decollato,2026-06-07 23:00:00
NP 222,Decollo,21:30,21:56,CAIRO21:30 | 21:56Decollato,Decollato,2026-06-07 23:00:00
FR 2087,Decollo,21:30,21:30,LISBON21:30 | 21:30Decollato,Decollato,2026-06-07 23:00:00
FR 4786,Decollo,21:40,21:40,SALERNO21:40 | 21:40Decollato,Decollato,2026-06-07 23:00:00
FR 2990,Decollo,21:40,21:40,COPENHAGEN21:40 | 21:40Decollato,Decollato,2026-06-07 23:00:00
FR 4681,Decollo,21:45,23:46,STOCKHOLM21:45 | 23:46Imbarco in corso,Imbarco in corso,2026-06-07 23:00:00
W4 5020,Decollo,21:45,21:45,TIRANA21:45 | 21:45Decollato,Decollato,2026-06-07 23:00:00
W4 3136,Decollo,21:45,22:14,BUCHAREST BANEASA21:45 | 22:14Decollato,Decollato,2026-06-07 23:00:00
W4 3932,Decollo,22:00,22:25,CHISINAU22:00 | 22:25Decollato,Decollato,2026-06-07 23:00:00
FR 3164,Decollo,22:05,22:05,BUDAPEST22:05 | 22:05Decollato,Decollato,2026-06-07 23:00:00
FR 3341,Decollo,22:10,22:37,VARSAVIA MODLIN22:10 | 22:37Decollato,Decollato,2026-06-07 23:00:00
FR 6858,Decollo,22:10,22:10,OLBIA22:10 | 22:10Decollato,Decollato,2026-06-07 23:00:00
FR 413,Decollo,22:10,22:10,THESSALONIKI22:10 | 22:10Decollato,Decollato,2026-06-07 23:00:00
FR 8980,Decollo,22:40,23:30,TRAPANI22:40 | 23:30Imbarco in corso,Imbarco in corso,2026-06-07 23:00:00
FR 9065,Decollo,22:40,23:03,ALICANTE22:40 | 23:03Imbarco chiuso,Imbarco chiuso,2026-06-07 23:00:00
FR 3673,Decollo,22:45,22:45,LONDON  STANSTED22:45 | 22:45Decollato,Decollato,2026-06-07 23:00:00
FR 3219,Decollo,22:45,22:45,MANCHESTER22:45 | 22:45Imbarco chiuso,Imbarco chiuso,2026-06-07 23:00:00
FR 5700,Decollo,22:50,23:55,PALMA DE MALLORCA22:50 | 23:55In ritardo,In ritardo,2026-06-07 23:00:00
FR 5984,Decollo,22:50,22:50,MADRID22:50 | 22:50Imbarco chiuso,Imbarco chiuso,2026-06-07 23:00:00
G9 696,Decollo,23:00,23:00,SHARJAH23:00 | 23:00Imbarco chiuso,Imbarco chiuso,2026-06-07 23:00:00
FR 6846,Decollo,23:35,23:35,LIVERPOOL23:35 | 23:35Imbarco in corso,Imbarco in corso,2026-06-07 23:00:00
W6 4124,Decollo,23:40,23:40,BELGRADE23:40 | 23:40Imbarco in corso,Imbarco in corso,2026-06-07 23:00:00
V7 1316,Decollo,23:55,00:30,OLBIA23:55 | 00:30In ritardo,In ritardo,2026-06-07 23:00:00
FR 2261,Decollo,05:45,05:45,CATANIA05:45 | 05:45,nan,2026-06-07 23:00:00
FR 4650,Decollo,05:45,05:45,TRAPANI05:45 | 05:45,nan,2026-06-07 23:00:00
FR 7976,Decollo,05:50,05:50,KOS05:50 | 05:50,nan,2026-06-07 23:00:00
FR 4311,Decollo,06:00,06:00,ROVANIEMI06:00 | 06:00Operato da Malta Air,Operato da Malta Air,2026-06-07 23:00:00
FR 859,Decollo,06:00,06:00,BRINDISI06:00 | 06:00Operato da Malta Air,Operato da Malta Air,2026-06-07 23:00:00
FR 8334,Decollo,06:05,06:05,IBIZA06:05 | 06:05,nan,2026-06-07 23:00:00
FR 1417,Decollo,06:10,06:10,LAMEZIA06:10 | 06:10,nan,2026-06-07 23:00:00
FR 3402,Decollo,06:10,06:10,MARRAKECH06:10 | 06:10,nan,2026-06-07 23:00:00
FR 3659,Decollo,06:15,06:15,BRUXELLES CHARLEROI06:15 | 06:15,nan,2026-06-07 23:00:00
FR 2697,Decollo,06:25,06:25,LONDON  STANSTED06:25 | 06:25Operato da Malta Air,Operato da Malta Air,2026-06-07 23:00:00
FR 1319,Decollo,06:30,06:30,ATHENS06:30 | 06:30Operato da Malta Air,Operato da Malta Air,2026-06-07 23:00:00
FR 3200,Decollo,06:30,06:30,CAGLIARI06:30 | 06:30Operato da Malta Air,Operato da Malta Air,2026-06-07 23:00:00
FR 6501,Decollo,06:50,06:50,OLBIA06:50 | 06:50,nan,2026-06-07 23:00:00
FR 5531,Decollo,06:50,06:50,COLOGNE06:50 | 06:50,nan,2026-06-07 23:00:00
