timestamp,sessione_notturna,callsign,icao24,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese
2026-09-13 23:02:27,2026-09-13,WZZ6255,471d6b,RWY 28,Atterraggio,Est -> Ovest,182,284.96,1.86,Hungary
2026-09-13 23:04:28,2026-09-13,RYR5VM,4ca97c,N/D,Sorvolo,N/D,11277,237.87,8.87,Ireland
2026-09-13 23:04:28,2026-09-13,RYR54TQ,4d228f,RWY 28,Atterraggio,Est -> Ovest,175,285.29,1.87,Malta
2026-09-13 23:06:29,2026-09-13,RYR96MF,4cae8d,N/D,Sorvolo,N/D,11277,238.5,8.55,Ireland
2026-09-13 23:08:30,2026-09-13,RYR81PR,4cadfd,RWY 28,Atterraggio,Est -> Ovest,182,285.36,1.94,Ireland
2026-09-13 23:12:32,2026-09-13,DLH33P,3c65cb,N/D,Sorvolo,N/D,10668,218.49,10.05,Germany
2026-09-13 23:18:35,2026-09-13,RYR90RC,4d2245,RWY 28,Atterraggio,Est -> Ovest,182,284.51,1.91,Malta
2026-09-13 23:22:37,2026-09-13,RYR65ER,4d234e,N/D,Avvicinamento,Rotta 221.3°,937,221.31,8.39,Malta
2026-09-13 23:28:40,2026-09-13,TWY22,a4ef31,RWY 28,Atterraggio,Est -> Ovest,182,285.38,1.75,United States
2026-09-13 23:32:42,2026-09-13,RYR899T,4d224f,RWY 16,Avvicinamento,Nord -> Sud,807,160.29,7.21,Malta
2026-09-13 23:34:43,2026-09-13,RYR1KY,4cade2,N/D,Avvicinamento,Rotta 222.2°,1021,222.24,8.28,Ireland
2026-09-13 23:38:46,2026-09-13,WMT5CS,4d2145,N/D,Sorvolo,N/D,6141,84.45,10.8,Malta
2026-09-13 23:44:49,2026-09-13,RYR32NJ,4ca303,RWY 28,Atterraggio,Est -> Ovest,182,285.46,1.91,Ireland
2026-09-13 23:46:50,2026-09-13,RYR7UX,4ca805,RWY 28,Atterraggio,Est -> Ovest,175,285.39,1.87,Ireland
