flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
W6 1434,Decollo,20:50,21:54,WARSAW20:50 | 21:54Decollato,Decollato,2026-01-09 23:00:00
FR 2888,Decollo,21:00,21:00,CATANIA21:00 | 21:00Decollato,Decollato,2026-01-09 23:00:00
FR 3480,Decollo,21:05,21:05,CAGLIARI21:05 | 21:05Decollato,Decollato,2026-01-09 23:00:00
FR 9009,Decollo,21:10,22:15,EDINBURGH21:10 | 22:15Decollato,Decollato,2026-01-09 23:00:00
FR 8421,Decollo,21:15,21:35,TIRANA21:15 | 21:35Decollato,Decollato,2026-01-09 23:00:00
FR 4523,Decollo,21:20,23:00,BRUXELLES CHARLEROI21:20 | 23:00Imbarco chiuso,Imbarco chiuso,2026-01-09 23:00:00
FR 3501,Decollo,21:20,22:05,PARIS BEAUVAIS21:20 | 22:05Decollato,Decollato,2026-01-09 23:00:00
FR 3341,Decollo,21:25,21:45,VARSAVIA MODLIN21:25 | 21:45Decollato,Decollato,2026-01-09 23:00:00
FR 4650,Decollo,21:30,21:30,TRAPANI21:30 | 21:30Decollato,Decollato,2026-01-09 23:00:00
FR 6054,Decollo,21:30,21:30,ZAGREB21:30 | 21:30Decollato,Decollato,2026-01-09 23:00:00
W4 3136,Decollo,21:35,00:29,BUCHAREST OTOPENI21:35 | 00:29,nan,2026-01-09 23:00:00
FR 6501,Decollo,21:45,21:45,OLBIA21:45 | 21:45Decollato,Decollato,2026-01-09 23:00:00
FR 9416,Decollo,22:00,22:26,FEZ22:00 | 22:26Decollato,Decollato,2026-01-09 23:00:00
FR 2254,Decollo,22:05,22:25,ALGHERO22:05 | 22:25Decollato,Decollato,2026-01-09 23:00:00
W4 3608,Decollo,22:05,22:51,SUCEAVA22:05 | 22:51Decollato,Decollato,2026-01-09 23:00:00
FR 6304,Decollo,22:20,22:58,BARCELONA EL PRAT22:20 | 22:58Imbarco chiuso,Imbarco chiuso,2026-01-09 23:00:00
W4 3552,Decollo,22:20,00:31,TIMISOARA22:20 | 00:31In ritardo,In ritardo,2026-01-09 23:00:00
FR 5700,Decollo,22:20,22:45,PALMA DE MALLORCA22:20 | 22:45Imbarco chiuso,Imbarco chiuso,2026-01-09 23:00:00
W4 5020,Decollo,22:25,22:54,TIRANA22:25 | 22:54Imbarco chiuso,Imbarco chiuso,2026-01-09 23:00:00
FR 3535,Decollo,22:40,23:05,KRAKOW22:40 | 23:05Imbarco chiuso,Imbarco chiuso,2026-01-09 23:00:00
FR 4188,Decollo,22:40,22:57,LONDON  STANSTED22:40 | 22:57Decollato,Decollato,2026-01-09 23:00:00
FR 5984,Decollo,22:55,23:20,MADRID22:55 | 23:20Imbarco ultima chiamata,Imbarco ultima chiamata,2026-01-09 23:00:00
EK 2415,Decollo,23:00,23:00,DUBAI23:00 | 23:00Imbarco ultima chiamata,Imbarco ultima chiamata,2026-01-09 23:00:00
FZ 1572,Decollo,23:00,23:00,DUBAI23:00 | 23:00Imbarco ultima chiamata,Imbarco ultima chiamata,2026-01-09 23:00:00
3O 454,Decollo,23:40,00:02,CASABLANCA23:40 | 00:02In ritardo,In ritardo,2026-01-09 23:00:00
FR 3530,Decollo,23:45,23:45,PRAGUE23:45 | 23:45,nan,2026-01-09 23:00:00
FR 2878,Decollo,05:45,05:45,STOCKHOLM05:45 | 05:45Operato da Malta Air,Operato da Malta Air,2026-01-09 23:00:00
FR 2697,Decollo,05:55,05:55,LONDON  STANSTED05:55 | 05:55,nan,2026-01-09 23:00:00
FR 3154,Decollo,05:55,05:55,AMMAN05:55 | 05:55,nan,2026-01-09 23:00:00
FR 2872,Decollo,06:00,06:00,VILNIUS06:00 | 06:00Operato da BUZZ,Operato da BUZZ,2026-01-09 23:00:00
FR 259,Decollo,06:00,06:00,BUCHAREST OTOPENI06:00 | 06:00Operato da Malta Air,Operato da Malta Air,2026-01-09 23:00:00
