callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 7361,D,VIENNA,20:45,22:54,IMBARCO CHIUSO,2026-09-14 23:00:26
FR 3506,D,ALICANTE,21:25,23:20,IMBARCO ULTIMA CHIAMATA,2026-09-14 23:00:26
W4 3136,D,BUCHAREST BANEASA,22:35,23:47,OPERATO DA WIZZAIR HUNGARY,2026-09-14 23:00:26
W4 5020,D,TIRANA,22:45,22:45,DECOLLATO,2026-09-14 23:00:26
NP 322,D,CAIRO,23:30,23:30,OPERATO DA SKY VISION AIRLINES,2026-09-14 23:00:26
W6 4124,D,BELGRADE,23:35,23:35,IMBARCO IN CORSO,2026-09-14 23:00:26
RK 3219,D,MANCHESTER,23:45,23:45,GLOBAL REACH AVIATION,2026-09-14 23:00:26
GAV 907,D,X TRIESTE,00:30,00:30,Operativo,2026-09-14 23:00:26
3O 456,D,CASABLANCA,02:30,02:53,IN RITARDO,2026-09-14 23:00:26
FR 5148,D,ZADAR,05:45,05:45,Operativo,2026-09-14 23:00:26
FR 3398,D,MALAGA,05:45,05:45,OPERATO DA MALTA AIR,2026-09-14 23:00:26
FR 8334,D,IBIZA,05:50,05:50,Operativo,2026-09-14 23:00:26
FR 2293,D,PESCARA,05:50,05:50,Operativo,2026-09-14 23:00:26
FR 3273,D,AGADIR,05:50,05:50,Operativo,2026-09-14 23:00:26
FR 1417,D,LAMEZIA,05:55,05:55,Operativo,2026-09-14 23:00:26
FR 3142,D,BARCELONA EL PRAT,05:55,05:55,Operativo,2026-09-14 23:00:26
FR 2698,D,ALGHERO,05:55,05:55,Operativo,2026-09-14 23:00:26
FR 2878,D,STOCKHOLM,06:00,06:00,Operativo,2026-09-14 23:00:26
FR 2261,D,CATANIA,06:00,06:00,CANCELLATO,2026-09-14 23:00:26
FR 1319,D,ATHENS,06:05,06:05,Operativo,2026-09-14 23:00:26
FR 3200,D,CAGLIARI,06:05,06:05,Operativo,2026-09-14 23:00:26
FR 6086,D,KALAMATA,06:05,06:05,Operativo,2026-09-14 23:00:26
FR 461,D,NEWCASTLE,06:15,06:15,Operativo,2026-09-14 23:00:26
FR 2285,D,NAPOLI,06:30,06:30,OPERATO DA MALTA AIR,2026-09-14 23:00:26
FR 2107,D,BUDAPEST,06:40,06:40,OPERATO DA MALTA AIR,2026-09-14 23:00:26
FR 2087,D,LISBON,06:50,06:50,Operativo,2026-09-14 23:00:26
FR 6091,D,GRAN CANARIA,07:00,07:00,OPERATO DA MALTA AIR,2026-09-14 23:00:26
FR 1176,D,MENORCA,07:00,07:00,Operativo,2026-09-14 23:00:26
FR 497,D,VALENCIA,07:05,07:05,OPERATO DA MALTA AIR,2026-09-14 23:00:26
FR 3432,D,PARIS BEAUVAIS,07:15,07:15,OPERATO DA MALTA AIR,2026-09-14 23:00:26
FR 3657,D,EDINBURGH,07:20,07:20,Operativo,2026-09-14 23:00:26
FR 2669,D,BERLIN,07:25,07:25,Operativo,2026-09-14 23:00:26
W4 3132,D,BUCHAREST BANEASA,07:30,07:30,OPERATO DA WIZZAIR HUNGARY,2026-09-14 23:00:26
FR 1533,D,VIENNA,07:40,07:40,OPERATO DA LAUDA EUROPE,2026-09-14 23:00:26
FR 4667,D,BARI,07:40,07:40,OPERATO DA MALTA AIR,2026-09-14 23:00:26
FR 4993,D,CEFALONIA,07:45,07:45,Operativo,2026-09-14 23:00:26
FR 3408,D,KATOWICE,07:55,07:55,OPERATO DA BUZZ,2026-09-14 23:00:26
W4 3672,D,IASI,08:00,08:00,Operativo,2026-09-14 23:00:26
FR 3593,D,POZNAN,08:00,08:00,OPERATO DA BUZZ,2026-09-14 23:00:26
FR 6149,D,PALERMO,08:05,08:05,Operativo,2026-09-14 23:00:26
FR 9196,D,TRAPANI,08:05,08:05,OPERATO DA MALTA AIR,2026-09-14 23:00:26
DN 422,D,BACAU,08:05,08:05,Operativo,2026-09-14 23:00:26
W6 4352,D,SOFIA,08:10,08:10,Operativo,2026-09-14 23:00:26
FR 4523,D,BRUXELLES CHARLEROI,08:25,08:25,Operativo,2026-09-14 23:00:26
W6 1432,D,WARSAW,08:40,08:40,OPERATO DA WIZZAIR MALTA,2026-09-14 23:00:26
FR 2872,D,VILNIUS,08:50,08:50,OPERATO DA BUZZ,2026-09-14 23:00:26
FR 5120,D,MADRID,09:00,09:00,Operativo,2026-09-14 23:00:26
FR 2888,D,CATANIA,09:00,09:00,Operativo,2026-09-14 23:00:26
FR 2739,D,LONDON STANSTED,09:15,09:15,Operativo,2026-09-14 23:00:26
FR 888,D,KRAKOW,09:20,09:20,Operativo,2026-09-14 23:00:26
FR 3448,D,BRINDISI,09:35,09:35,Operativo,2026-09-14 23:00:26
FR 4845,D,DUBLIN,09:45,09:45,OPERATO DA MALTA AIR,2026-09-14 23:00:26
FR 3460,D,EINDHOVEN,09:55,09:55,Operativo,2026-09-14 23:00:26
FR 6451,D,PALERMO,10:05,10:05,Operativo,2026-09-14 23:00:26
FR 3528,D,PRAGUE,10:10,10:10,Operativo,2026-09-14 23:00:26
FR 1746,D,KNOCK,10:10,10:10,OPERATO DA MALTA AIR,2026-09-14 23:00:26
