callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 2864,D,BRINDISI,08:15,13:50,IN RITARDO,2026-09-12 12:00:25
FR 9292,D,KAUNAS,11:05,12:00,IMBARCO CHIUSO,2026-09-12 12:00:25
FR 6125,D,DUBLIN,11:35,12:05,IMBARCO ULTIMA CHIAMATA,2026-09-12 12:00:25
FR 5655,D,PALMA DE MALLORCA,11:40,11:40,DECOLLATO,2026-09-12 12:00:25
PC 1212,D,ISTANBUL S. GOKCEN,11:45,11:45,IMBARCO CHIUSO,2026-09-12 12:00:25
AZ 7048,D,ISTANBUL S. GOKCEN,11:45,11:45,IMBARCO CHIUSO,2026-09-12 12:00:25
FR 3450,D,TANGIER,11:45,12:05,IMBARCO IN CORSO,2026-09-12 12:00:25
FR 3460,D,EINDHOVEN,12:00,12:00,IMBARCO ULTIMA CHIAMATA,2026-09-12 12:00:25
DY 1843,D,STAVANGER,12:10,12:10,IMBARCO CHIUSO,2026-09-12 12:00:25
FR 3210,D,SANTORINI / THIRA,12:25,12:50,IN RITARDO,2026-09-12 12:00:25
FR 9372,D,BRNO,12:30,12:30,IMBARCO IN CORSO,2026-09-12 12:00:25
VF 062,D,ISTANBUL S. GOKCEN,12:45,12:45,Operativo,2026-09-12 12:00:25
FR 3587,D,OSLO TORP,12:50,12:50,OPERATO DA MALTA AIR,2026-09-12 12:00:25
MT 3144,D,MARSA ALAM/SHARM EL SHEIKH,13:05,13:05,Operativo,2026-09-12 12:00:25
FR 4402,D,ZAKINTHOS,13:05,13:05,Operativo,2026-09-12 12:00:25
FR 3530,D,PRAGUE,13:05,13:05,Operativo,2026-09-12 12:00:25
FR 847,D,BARCELONA EL PRAT,13:10,13:10,Operativo,2026-09-12 12:00:25
FR 6451,D,PALERMO,13:20,13:38,IN RITARDO,2026-09-12 12:00:25
FR 2872,D,VILNIUS,13:30,13:30,OPERATO DA BUZZ,2026-09-12 12:00:25
EK 2141,D,DUBAI,13:40,13:40,Operativo,2026-09-12 12:00:25
