flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
FR 4523,Decollo,20:45,21:45,BRUXELLES CHARLEROI20:45 | 21:45Decollato,Decollato,2026-03-21 23:00:00
FR 8846,Decollo,21:05,21:43,MARRAKECH21:05 | 21:43Decollato,Decollato,2026-03-21 23:00:00
FR 4658,Decollo,21:05,21:05,BARI21:05 | 21:05Decollato,Decollato,2026-03-21 23:00:00
FR 8844,Decollo,21:05,21:05,WROCLAW - BRESLAVIA21:05 | 21:05Decollato,Decollato,2026-03-21 23:00:00
FR 2892,Decollo,21:05,21:05,CATANIA21:05 | 21:05Decollato,Decollato,2026-03-21 23:00:00
W4 3552,Decollo,21:30,21:50,TIMISOARA21:30 | 21:50Decollato,Decollato,2026-03-21 23:00:00
W4 3136,Decollo,21:35,21:35,BUCHAREST OTOPENI21:35 | 21:35Decollato,Decollato,2026-03-21 23:00:00
FR 3341,Decollo,21:45,21:45,VARSAVIA MODLIN21:45 | 21:45Decollato,Decollato,2026-03-21 23:00:00
FR 4845,Decollo,21:45,21:45,DUBLIN21:45 | 21:45Decollato,Decollato,2026-03-21 23:00:00
FR 4706,Decollo,21:45,22:29,CAGLIARI21:45 | 22:29Decollato,Decollato,2026-03-21 23:00:00
W4 3932,Decollo,22:00,02:00,CHISINAU22:00 | 02:00In ritardo,In ritardo,2026-03-21 23:00:00
FR 1689,Decollo,22:10,22:10,FRANKFURT - HAHN22:10 | 22:10Decollato,Decollato,2026-03-21 23:00:00
W6 4508,Decollo,22:10,22:10,VARNA22:10 | 22:10Decollato,Decollato,2026-03-21 23:00:00
FR 2649,Decollo,22:20,22:20,MALAGA22:20 | 22:20Decollato,Decollato,2026-03-21 23:00:00
FR 5531,Decollo,22:20,22:20,COLOGNE22:20 | 22:20Decollato,Decollato,2026-03-21 23:00:00
W4 5020,Decollo,22:25,22:25,TIRANA22:25 | 22:25Decollato,Decollato,2026-03-21 23:00:00
