flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
FR 7976,Decollo,19:20,21:38,KOS19:20 | 21:38Decollato,Decollato,2026-06-03 23:00:00
FR 4638,Decollo,19:50,22:57,PORTO19:50 | 22:57Imbarco chiuso,Imbarco chiuso,2026-06-03 23:00:00
FR 3665,Decollo,20:10,21:08,NAPOLI20:10 | 21:08Decollato,Decollato,2026-06-03 23:00:00
FR 859,Decollo,20:15,21:20,BRINDISI20:15 | 21:20Decollato,Decollato,2026-06-03 23:00:00
FR 3504,Decollo,20:25,22:24,KRAKOW20:25 | 22:24Decollato,Decollato,2026-06-03 23:00:00
FR 2254,Decollo,20:50,21:50,ALGHERO20:50 | 21:50Decollato,Decollato,2026-06-03 23:00:00
FR 5092,Decollo,20:50,22:49,LAMEZIA20:50 | 22:49Decollato,Decollato,2026-06-03 23:00:00
FR 484,Decollo,21:20,22:10,DUSSELDORF - WEEZE21:20 | 22:10Decollato,Decollato,2026-06-03 23:00:00
FR 4969,Decollo,21:25,21:56,PALERMO21:25 | 21:56Decollato,Decollato,2026-06-03 23:00:00
FR 3341,Decollo,21:30,22:05,VARSAVIA MODLIN21:30 | 22:05Decollato,Decollato,2026-06-03 23:00:00
FR 3219,Decollo,21:30,21:30,MANCHESTER21:30 | 21:30Decollato,Decollato,2026-06-03 23:00:00
NP 222,Decollo,21:30,22:40,CAIRO21:30 | 22:40Imbarco chiuso,Imbarco chiuso,2026-06-03 23:00:00
FR 7324,Decollo,21:35,00:39,MALTA21:35 | 00:39In ritardo,In ritardo,2026-06-03 23:00:00
FR 4132,Decollo,21:45,22:52,BARI21:45 | 22:52Imbarco chiuso,Imbarco chiuso,2026-06-03 23:00:00
W4 5020,Decollo,21:45,22:53,TIRANA21:45 | 22:53Decollato,Decollato,2026-06-03 23:00:00
W4 3136,Decollo,21:45,22:14,BUCHAREST BANEASA21:45 | 22:14Decollato,Decollato,2026-06-03 23:00:00
E5 545,Decollo,22:00,23:15,CAIRO22:00 | 23:15Imbarco chiuso,Imbarco chiuso,2026-06-03 23:00:00
W4 3830,Decollo,22:00,22:38,SIBIU22:00 | 22:38Decollato,Decollato,2026-06-03 23:00:00
FR 6501,Decollo,22:10,00:00,OLBIA22:10 | 00:00In ritardo,In ritardo,2026-06-03 23:00:00
FR 2992,Decollo,22:15,22:15,COPENHAGEN22:15 | 22:15Decollato,Decollato,2026-06-03 23:00:00
FR 5148,Decollo,22:20,22:40,ZADAR22:20 | 22:40Decollato,Decollato,2026-06-03 23:00:00
W4 3552,Decollo,22:20,22:20,TIMISOARA22:20 | 22:20Decollato,Decollato,2026-06-03 23:00:00
FR 2293,Decollo,22:25,22:56,PESCARA22:25 | 22:56Imbarco chiuso,Imbarco chiuso,2026-06-03 23:00:00
FR 7361,Decollo,22:25,22:47,VIENNA22:25 | 22:47Decollato,Decollato,2026-06-03 23:00:00
FR 9196,Decollo,22:35,22:35,TRAPANI22:35 | 22:35Decollato,Decollato,2026-06-03 23:00:00
FR 4188,Decollo,22:40,00:36,LONDON  STANSTED22:40 | 00:36In ritardo,In ritardo,2026-06-03 23:00:00
W6 4124,Decollo,23:35,00:30,BELGRADE23:35 | 00:30In ritardo,In ritardo,2026-06-03 23:00:00
FR 6846,Decollo,23:40,23:40,LIVERPOOL23:40 | 23:40Operato da Malta Air,Operato da Malta Air,2026-06-03 23:00:00
FR 1703,Decollo,23:40,23:40,NOTTINGHAM EAST MIDLANDS23:40 | 23:40Imbarco in corso,Imbarco in corso,2026-06-03 23:00:00
NO 2474,Decollo,00:40,00:40,DAKAR00:40 | 00:40,nan,2026-06-03 23:00:00
FR 3528,Decollo,05:45,05:45,PRAGUE05:45 | 05:45,nan,2026-06-03 23:00:00
FR 9065,Decollo,05:45,05:45,ALICANTE05:45 | 05:45Operato da Malta Air,Operato da Malta Air,2026-06-03 23:00:00
FR 3432,Decollo,05:45,05:45,PARIS BEAUVAIS05:45 | 05:45,nan,2026-06-03 23:00:00
FR 2830,Decollo,05:50,05:50,TENERIFE05:50 | 05:50,nan,2026-06-03 23:00:00
FR 3200,Decollo,05:50,05:50,CAGLIARI05:50 | 05:50,nan,2026-06-03 23:00:00
FR 2261,Decollo,05:50,05:50,CATANIA05:50 | 05:50,nan,2026-06-03 23:00:00
FR 5655,Decollo,05:55,05:55,PALMA DE MALLORCA05:55 | 05:55,nan,2026-06-03 23:00:00
FR 8121,Decollo,06:00,06:00,TIRANA06:00 | 06:00Operato da Malta Air,Operato da Malta Air,2026-06-03 23:00:00
FR 266,Decollo,06:05,06:05,FUERTEVENTURA06:05 | 06:05,nan,2026-06-03 23:00:00
FR 3545,Decollo,06:05,06:05,FEZ06:05 | 06:05,nan,2026-06-03 23:00:00
FR 3400,Decollo,06:15,06:15,SOFIA06:15 | 06:15,nan,2026-06-03 23:00:00
