flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
PC 1212,Decollo,11:45,05:00,ISTANBUL S. GOKCEN11:45 | 05:00Imbarco chiuso,Imbarco chiuso,2026-03-29 23:00:00
AZ 7048,Decollo,11:45,05:00,ISTANBUL S. GOKCEN11:45 | 05:00Imbarco chiuso,Imbarco chiuso,2026-03-29 23:00:00
FR 7361,Decollo,20:15,21:48,VIENNA20:15 | 21:48Decollato,Decollato,2026-03-29 23:00:00
W4 3608,Decollo,20:30,21:04,SUCEAVA20:30 | 21:04Decollato,Decollato,2026-03-29 23:00:00
FR 3501,Decollo,20:50,21:08,PARIS BEAUVAIS20:50 | 21:08Decollato,Decollato,2026-03-29 23:00:00
FR 5092,Decollo,21:00,21:00,LAMEZIA21:00 | 21:00Decollato,Decollato,2026-03-29 23:00:00
FR 6651,Decollo,21:05,21:05,CATANIA21:05 | 21:05Decollato,Decollato,2026-03-29 23:00:00
W4 3064,Decollo,21:10,21:10,BUCHAREST OTOPENI21:10 | 21:10Decollato,Decollato,2026-03-29 23:00:00
W6 4774,Decollo,21:10,21:35,SKOPJE21:10 | 21:35Decollato,Decollato,2026-03-29 23:00:00
FR 3893,Decollo,21:20,22:46,CAGLIARI21:20 | 22:46Imbarco chiuso,Imbarco chiuso,2026-03-29 23:00:00
FR 2087,Decollo,21:30,22:23,LISBON21:30 | 22:23Decollato,Decollato,2026-03-29 23:00:00
NP 222,Decollo,21:30,00:30,CAIRO21:30 | 00:30In ritardo,In ritardo,2026-03-29 23:00:00
FR 4786,Decollo,21:40,21:40,SALERNO21:40 | 21:40Decollato,Decollato,2026-03-29 23:00:00
FR 2990,Decollo,21:40,22:14,COPENHAGEN21:40 | 22:14Decollato,Decollato,2026-03-29 23:00:00
W4 3136,Decollo,21:45,21:45,BUCHAREST BANEASA21:45 | 21:45Decollato,Decollato,2026-03-29 23:00:00
FR 4681,Decollo,21:45,21:45,STOCKHOLM21:45 | 21:45Decollato,Decollato,2026-03-29 23:00:00
FR 3341,Decollo,21:50,21:50,VARSAVIA MODLIN21:50 | 21:50Decollato,Decollato,2026-03-29 23:00:00
FR 3164,Decollo,21:55,21:55,BUDAPEST21:55 | 21:55Decollato,Decollato,2026-03-29 23:00:00
W4 3932,Decollo,22:00,23:00,CHISINAU22:00 | 23:00Imbarco chiuso,Imbarco chiuso,2026-03-29 23:00:00
W4 5020,Decollo,22:05,22:32,TIRANA22:05 | 22:32Decollato,Decollato,2026-03-29 23:00:00
FR 6858,Decollo,22:10,22:10,OLBIA22:10 | 22:10Decollato,Decollato,2026-03-29 23:00:00
