flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
FR 3450,Decollo,20:10,23:35,TANGIER20:10 | 23:35Imbarco in corso,Imbarco in corso,2026-02-13 23:00:00
FR 4663,Decollo,20:15,21:27,VALENCIA20:15 | 21:27Decollato,Decollato,2026-02-13 23:00:00
NP 222,Decollo,20:45,23:00,CAIRO20:45 | 23:00Imbarco chiuso,Imbarco chiuso,2026-02-13 23:00:00
FR 3440,Decollo,20:55,21:12,LAMEZIA20:55 | 21:12Decollato,Decollato,2026-02-13 23:00:00
FR 2888,Decollo,21:00,21:41,CATANIA21:00 | 21:41Decollato,Decollato,2026-02-13 23:00:00
FR 3480,Decollo,21:05,21:05,CAGLIARI21:05 | 21:05Decollato,Decollato,2026-02-13 23:00:00
W4 3772,Decollo,21:10,16:35,CRAIOVA21:10 | 16:35In ritardo,In ritardo,2026-02-13 23:00:00
FR 9009,Decollo,21:10,21:48,EDINBURGH21:10 | 21:48Decollato,Decollato,2026-02-13 23:00:00
FR 8421,Decollo,21:15,21:15,TIRANA21:15 | 21:15Decollato,Decollato,2026-02-13 23:00:00
FR 3501,Decollo,21:20,21:50,PARIS BEAUVAIS21:20 | 21:50Decollato,Decollato,2026-02-13 23:00:00
FR 4523,Decollo,21:20,23:00,BRUXELLES CHARLEROI21:20 | 23:00Imbarco chiuso,Imbarco chiuso,2026-02-13 23:00:00
FR 3341,Decollo,21:25,21:25,VARSAVIA MODLIN21:25 | 21:25Decollato,Decollato,2026-02-13 23:00:00
FR 4650,Decollo,21:30,21:30,TRAPANI21:30 | 21:30Decollato,Decollato,2026-02-13 23:00:00
FR 6054,Decollo,21:30,21:30,ZAGREB21:30 | 21:30Decollato,Decollato,2026-02-13 23:00:00
W4 3136,Decollo,21:35,21:35,BUCHAREST OTOPENI21:35 | 21:35Decollato,Decollato,2026-02-13 23:00:00
FR 6501,Decollo,21:45,21:45,OLBIA21:45 | 21:45Decollato,Decollato,2026-02-13 23:00:00
FR 9416,Decollo,22:00,22:00,FEZ22:00 | 22:00Decollato,Decollato,2026-02-13 23:00:00
FR 2254,Decollo,22:05,22:05,ALGHERO22:05 | 22:05Decollato,Decollato,2026-02-13 23:00:00
W4 3608,Decollo,22:05,01:03,SUCEAVA22:05 | 01:03,nan,2026-02-13 23:00:00
FR 6304,Decollo,22:20,23:10,BARCELONA EL PRAT22:20 | 23:10Imbarco chiuso,Imbarco chiuso,2026-02-13 23:00:00
W4 3552,Decollo,22:20,22:50,TIMISOARA22:20 | 22:50Imbarco chiuso,Imbarco chiuso,2026-02-13 23:00:00
