timestamp,sessione_notturna,callsign,icao24,modello_aereo,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,a_terra,paese
2026-08-27 18:56:18,2026-08-27,RYR3SG,4d251d,N/D,RWY 28,Atterraggio,Est -> Ovest,754,285.17,4.03,False,Malta
2026-08-27 18:56:18,2026-08-27,RYR64SP,4cadc4,N/D,N/D,Atterraggio,Rotta 317.2°,220,317.25,2.05,False,Ireland
2026-08-27 18:56:18,2026-08-27,IORYO,30037b,N/D,RWY 28,Atterraggio,Est -> Ovest,243,299.22,1.26,False,Italy
