callsign,tipo_movimento,is_scheduled,destinazione_finale,compagnia_aerea,modello_aereo,orario_schedulato,timestamp,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese,matched_score
BCS7515,Cargo/Non Schedulato,False,Austria,Compagnia BCS,N/D,,2026-09-10 23:01:20,N/D,Sorvolo,N/D,8275,292.9,11.33,Austria,0
RYR58MU,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-10 23:01:20,N/D,Sorvolo,N/D,1790,166.09,11.88,Ireland,0
RYR372Y,Cargo/Non Schedulato,False,Malta,Ryanair,Boeing 737-800,,2026-09-10 23:01:20,RWY 28,Atterraggio,Est -> Ovest,228,285.08,1.91,Malta,0
AEE5IN,Cargo/Non Schedulato,False,Greece,Compagnia AEE,N/D,,2026-09-10 23:01:34,N/D,Sorvolo,N/D,6309,107.67,19.07,Greece,0
FIN7052,Cargo/Non Schedulato,False,Finland,Compagnia FIN,N/D,,2026-09-10 23:01:34,RWY 10,Avvicinamento,Ovest -> Est,3718,70.58,4.16,Finland,0
RYR9Z,Cargo/Non Schedulato,False,Poland,Ryanair,Boeing 737-800,,2026-09-10 23:01:34,N/D,Sorvolo,N/D,807,285.0,12.78,Poland,0
BCS7515,Cargo/Non Schedulato,False,Austria,Compagnia BCS,N/D,,2026-09-10 23:01:34,N/D,Sorvolo,N/D,8397,292.79,13.14,Austria,0
RYR58MU,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-10 23:01:34,N/D,Sorvolo,N/D,1935,142.08,12.31,Ireland,0
AEE5IN,Cargo/Non Schedulato,False,Greece,Compagnia AEE,N/D,,2026-09-10 23:03:21,N/D,Sorvolo,N/D,7269,107.94,15.88,Greece,0
FIN7052,Cargo/Non Schedulato,False,Finland,Compagnia FIN,N/D,,2026-09-10 23:03:21,N/D,Sorvolo,N/D,5044,70.98,17.15,Finland,0
RYR9Z,Cargo/Non Schedulato,False,Poland,Ryanair,Boeing 737-800,,2026-09-10 23:03:21,RWY 28,Atterraggio,Est -> Ovest,312,284.78,3.58,Poland,0
RYR58MU,Cargo/Non Schedulato,False,Ireland,Ryanair,Boeing 737-800,,2026-09-10 23:03:21,N/D,Sorvolo,N/D,3215,79.29,10.05,Ireland,0
