numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,stato_destinazione,status,scan_timestamp
FR 9890,Decollo,07:35,07:35,LODZ,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 3962,Decollo,07:55,07:55,MARRAKECH,Estero/Italia,Operativo,2026-08-26 22:12:28
W4 3552,Decollo,07:55,07:55,TIMISOARA,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 3408,Decollo,07:55,07:55,KATOWICE,Estero/Italia,OPERATO DA BUZZ,2026-08-26 22:12:28
FR 2107,Decollo,08:00,08:00,BUDAPEST,Estero/Italia,OPERATO DA BUZZ,2026-08-26 22:12:28
W4 3672,Decollo,08:00,08:00,IASI,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 1746,Decollo,08:00,08:00,KNOCK,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 5092,Decollo,08:05,08:05,LAMEZIA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 847,Decollo,08:05,08:05,BARCELONA EL PRAT,Estero/Italia,Operativo,2026-08-26 22:12:28
DN 422,Decollo,08:05,08:05,BACAU,Estero/Italia,Operativo,2026-08-26 22:12:28
W6 4352,Decollo,08:10,08:10,SOFIA,Estero/Italia,OPERATO DA WIZZAIR MALTA,2026-08-26 22:12:28
FR 6451,Decollo,08:25,08:25,PALERMO,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 22:12:28
FR 1533,Decollo,08:30,08:30,VIENNA,Estero/Italia,OPERATO DA LAUDA EUROPE,2026-08-26 22:12:28
FR 3341,Decollo,08:30,08:30,VARSAVIA MODLIN,Estero/Italia,OPERATO DA BUZZ Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-08-26 22:12:28
BZ 151,Atterraggio,19:10,22:20,TEL AVIV,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 22:12:28
FR 484,Atterraggio,21:20,21:45,DUSSELDORF - WEEZE,Estero/Italia,DECOLLATO,2026-08-26 22:12:28
FR 3219,Atterraggio,21:30,22:24,MANCHESTER,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 22:12:28
FR 3341,Atterraggio,21:30,22:17,VARSAVIA MODLIN,Estero/Italia,IMBARCO CHIUSO,2026-08-26 22:12:28
FR 7324,Atterraggio,21:35,22:02,MALTA,Estero/Italia,DECOLLATO,2026-08-26 22:12:28
W4 3136,Atterraggio,21:45,22:04,BUCHAREST OTOPENI,Estero/Italia,DECOLLATO,2026-08-26 22:12:28
FR 4132,Atterraggio,21:45,22:59,BARI,Estero/Italia,IN RITARDO,2026-08-26 22:12:28
W4 5020,Atterraggio,21:45,22:18,TIRANA,Estero/Italia,IMBARCO CHIUSO,2026-08-26 22:12:28
E5 545,Atterraggio,22:00,22:20,CAIRO,Estero/Italia,IMBARCO CHIUSO,2026-08-26 22:12:28
FR 6501,Atterraggio,22:10,23:11,OLBIA,Estero/Italia,IN RITARDO,2026-08-26 22:12:28
FR 2992,Atterraggio,22:15,22:15,COPENHAGEN,Estero/Italia,DECOLLATO,2026-08-26 22:12:28
FR 5148,Atterraggio,22:20,22:20,ZADAR,Estero/Italia,IMBARCO CHIUSO,2026-08-26 22:12:28
W4 3552,Atterraggio,22:20,22:40,TIMISOARA,Estero/Italia,IMBARCO IN CORSO,2026-08-26 22:12:28
FR 2293,Atterraggio,22:25,22:59,PESCARA,Estero/Italia,IN RITARDO,2026-08-26 22:12:28
FR 7361,Atterraggio,22:25,23:15,VIENNA,Estero/Italia,IN RITARDO,2026-08-26 22:12:28
FR 9196,Atterraggio,22:35,22:35,TRAPANI,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 22:12:28
FR 4188,Atterraggio,22:40,22:40,LONDON STANSTED,Estero/Italia,IMBARCO IN CORSO,2026-08-26 22:12:28
FZ 1572,Atterraggio,23:25,23:25,DUBAI,Estero/Italia,Operativo,2026-08-26 22:12:28
EK 2415,Atterraggio,23:25,23:25,DUBAI,Estero/Italia,Operativo,2026-08-26 22:12:28
W6 4124,Atterraggio,23:35,23:54,BELGRADE,Estero/Italia,OPERATO DA WIZZAIR MALTA,2026-08-26 22:12:28
FR 6846,Atterraggio,23:40,23:40,LIVERPOOL,Estero/Italia,Operativo,2026-08-26 22:12:28
FR 1703,Atterraggio,23:40,23:40,NOTTINGHAM EAST MIDLANDS,Estero/Italia,Operativo,2026-08-26 22:12:28
