callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 6178,D,FUERTEVENTURA,05:45,05:45,Operativo,2026-09-23 02:00:24
FR 2830,D,TENERIFE,05:45,05:45,Operativo,2026-09-23 02:00:24
FR 2261,D,CATANIA,05:50,05:50,Operativo,2026-09-23 02:00:24
FR 3402,D,MARRAKECH,05:50,05:50,Operativo,2026-09-23 02:00:24
FR 2669,D,BERLIN,05:55,05:55,Operativo,2026-09-23 02:00:24
FR 3200,D,CAGLIARI,05:55,05:55,Operativo,2026-09-23 02:00:24
FR 3528,D,PRAGUE,06:00,06:00,Operativo,2026-09-23 02:00:24
FR 3273,D,AGADIR,06:00,06:00,OPERATO DA MALTA AIR,2026-09-23 02:00:24
FR 3988,D,PREVEZA,06:05,06:05,Operativo,2026-09-23 02:00:24
FR 2087,D,LISBON,06:05,06:05,Operativo,2026-09-23 02:00:24
FR 8334,D,IBIZA,06:05,06:05,Operativo,2026-09-23 02:00:24
FR 9890,D,LODZ,06:10,06:10,OPERATO DA MALTA AIR,2026-09-23 02:00:24
FR 888,D,KRAKOW,06:10,06:10,Operativo,2026-09-23 02:00:24
FR 3659,D,BRUXELLES CHARLEROI,06:25,06:25,Operativo,2026-09-23 02:00:24
FR 2285,D,NAPOLI,06:45,06:45,Operativo,2026-09-23 02:00:24
FR 6304,D,BARCELONA EL PRAT,06:45,06:45,Operativo,2026-09-23 02:00:24
FR 4042,D,PORTO,06:50,06:50,Operativo,2026-09-23 02:00:24
FR 3653,D,BARI,07:10,07:10,OPERATO DA MALTA AIR,2026-09-23 02:00:24
FR 1533,D,VIENNA,07:35,07:35,OPERATO DA LAUDA EUROPE,2026-09-23 02:00:24
FR 3432,D,PARIS BEAUVAIS,07:40,07:40,Operativo,2026-09-23 02:00:24
FR 5551,D,COLOGNE,07:40,07:40,OPERATO DA MALTA AIR,2026-09-23 02:00:24
FR 3593,D,POZNAN,07:40,07:40,Operativo,2026-09-23 02:00:24
FR 2858,D,BRINDISI,07:50,07:50,Operativo,2026-09-23 02:00:24
FR 4400,D,HERAKLION,07:55,07:55,Operativo,2026-09-23 02:00:24
FR 9604,D,BELFAST,07:55,07:55,OPERATO DA MALTA AIR,2026-09-23 02:00:24
W4 3672,D,IASI,08:00,08:00,Operativo,2026-09-23 02:00:24
FR 3408,D,KATOWICE,08:00,08:00,OPERATO DA BUZZ,2026-09-23 02:00:24
FR 8121,D,TIRANA,08:00,08:00,Operativo,2026-09-23 02:00:24
FR 4698,D,TRAPANI,08:05,08:05,OPERATO DA MALTA AIR,2026-09-23 02:00:24
FR 6451,D,PALERMO,08:10,08:10,Operativo,2026-09-23 02:00:24
W6 4352,D,SOFIA,08:10,08:10,OPERATO DA WIZZAIR MALTA,2026-09-23 02:00:24
W4 3382,D,CLUJ-NAPOCA,08:25,08:25,OPERATO DA WIZZAIR HUNGARY,2026-09-23 02:00:24
FR 5114,D,LAMEZIA,08:30,08:30,OPERATO DA MALTA AIR,2026-09-23 02:00:24
FR 3396,D,CROTONE,08:30,08:30,Operativo,2026-09-23 02:00:24
FR 2107,D,BUDAPEST,08:30,08:30,OPERATO DA BUZZ,2026-09-23 02:00:24
W6 1432,D,WARSAW,08:40,08:40,Operativo,2026-09-23 02:00:24
NO 3865,D,BOAVISTA/SAL - CABOVERDE,08:40,08:40,Operativo,2026-09-23 02:00:24
FR 8844,D,WROCLAW - BRESLAVIA,08:50,08:50,OPERATO DA BUZZ,2026-09-23 02:00:24
BQ 2301,D,BELGRADE,09:00,09:00,Operativo,2026-09-23 02:00:24
FR 2697,D,LONDON STANSTED,09:15,09:15,Operativo,2026-09-23 02:00:24
FR 1784,D,COPENHAGEN,09:20,09:20,AIR SERBIA,2026-09-23 02:00:24
JU 9043,D,BELGRADE,09:20,09:20,Operativo,2026-09-23 02:00:24
FR 845,D,CLUJ-NAPOCA,09:40,09:40,Operativo,2026-09-23 02:00:24
FR 2888,D,CATANIA,09:45,09:45,Operativo,2026-09-23 02:00:24
FR 2878,D,STOCKHOLM,10:00,10:00,Operativo,2026-09-23 02:00:24
FR 259,D,BUCHAREST OTOPENI,10:10,10:10,Operativo,2026-09-23 02:00:24
FR 4845,D,DUBLIN,10:10,10:10,Operativo,2026-09-23 02:00:24
FR 3437,D,SOFIA,10:25,10:25,Operativo,2026-09-23 02:00:24
FR 3448,D,BRINDISI,10:30,10:30,Operativo,2026-09-23 02:00:24
FR 5999,D,ZAGREB,10:40,10:40,Operativo,2026-09-23 02:00:24
FR 3502,D,ZARAGOZA,10:50,10:50,Operativo,2026-09-23 02:00:24
FR 497,D,VALENCIA,10:55,10:55,Operativo,2026-09-23 02:00:24
FR 4980,D,CORFU,11:00,11:00,Operativo,2026-09-23 02:00:24
FR 2649,D,MALAGA,11:10,11:10,Operativo,2026-09-23 02:00:24
FR 3217,D,MANCHESTER,11:20,11:20,OPERATO DA MALTA AIR,2026-09-23 02:00:24
FR 4548,D,CHANIA-CRETA,11:25,11:25,OPERATO DA MALTA AIR,2026-09-23 02:00:24
FR 3210,D,SANTORINI / THIRA,11:35,11:35,Operativo,2026-09-23 02:00:24
FR 2864,D,BRINDISI,12:00,12:00,Operativo,2026-09-23 02:00:24
FR 3561,D,NAPOLI,12:05,12:05,OPERATO DA MALTA AIR,2026-09-23 02:00:24
FR 4523,D,BRUXELLES CHARLEROI,12:20,12:20,Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-09-23 02:00:24
