callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 3962,D,MARRAKECH,11:00,11:51,DECOLLATO,2026-09-20 12:00:25
FR 4042,D,PORTO,11:05,11:43,DECOLLATO,2026-09-20 12:00:25
FR 2649,D,MALAGA,11:25,11:53,IMBARCO CHIUSO,2026-09-20 12:00:25
FR 3273,D,AGADIR,11:25,11:57,IMBARCO CHIUSO,2026-09-20 12:00:25
PC 1212,D,ISTANBUL S. GOKCEN,11:45,11:45,DECOLLATO,2026-09-20 12:00:25
AZ 7048,D,ISTANBUL S. GOKCEN,11:45,11:45,DECOLLATO,2026-09-20 12:00:25
FR 2888,D,CATANIA,11:55,12:15,IMBARCO ULTIMA CHIAMATA,2026-09-20 12:00:25
FR 847,D,BARCELONA EL PRAT,11:55,11:55,IMBARCO CHIUSO,2026-09-20 12:00:25
FR 497,D,VALENCIA,12:00,13:05,IN RITARDO,2026-09-20 12:00:25
FR 5102,D,BIRMINGHAM,12:05,12:05,IMBARCO CHIUSO,2026-09-20 12:00:25
E5 543,D,CAIRO,12:20,12:20,IMBARCO ULTIMA CHIAMATA,2026-09-20 12:00:25
FR 845,D,CLUJ-NAPOCA,12:20,12:20,IMBARCO IN CORSO,2026-09-20 12:00:25
FR 5980,D,TOULOUSE,12:30,12:55,IN RITARDO,2026-09-20 12:00:25
FR 2872,D,VILNIUS,12:35,14:15,IN RITARDO,2026-09-20 12:00:25
FR 2697,D,LONDON STANSTED,12:45,12:45,Operativo,2026-09-20 12:00:25
VF 062,D,ISTANBUL S. GOKCEN,12:45,13:10,IN RITARDO,2026-09-20 12:00:25
FR 1784,D,COPENHAGEN,12:50,12:50,Operativo,2026-09-20 12:00:25
W4 3552,D,TIMISOARA,12:55,12:55,Operativo,2026-09-20 12:00:25
D8 3751,D,COPENHAGEN,13:00,13:00,Operativo,2026-09-20 12:00:25
NO 7700,D,CATANIA,13:00,13:00,Operativo,2026-09-20 12:00:25
FR 3593,D,POZNAN,13:00,13:50,IN RITARDO,2026-09-20 12:00:25
FR 2858,D,BRINDISI,13:15,13:15,Operativo,2026-09-20 12:00:25
FR 1319,D,ATHENS,13:15,13:15,Operativo,2026-09-20 12:00:25
G9 794,D,SHARJAH,13:20,13:20,Operativo,2026-09-20 12:00:25
FR 8801,D,IBIZA,13:20,13:20,OPERATO DA MALTA AIR,2026-09-20 12:00:25
W4 3770,D,CRAIOVA,13:25,13:25,Operativo,2026-09-20 12:00:25
EK 2141,D,DUBAI,13:40,13:40,Operativo,2026-09-20 12:00:25
FZ 1574,D,DUBAI,13:40,13:40,Operativo,2026-09-20 12:00:25
FR 1176,D,MENORCA,13:55,13:55,Operativo,2026-09-20 12:00:25
FR 3112,D,IASI,14:10,14:10,OPERATO DA MALTA AIR,2026-09-20 12:00:25
FR 6513,D,OLBIA,14:20,14:20,Operativo,2026-09-20 12:00:25
FR 2289,D,PALERMO,14:30,14:30,Operativo,2026-09-20 12:00:25
FR 4001,D,LANZAROTE,14:40,15:30,IN RITARDO,2026-09-20 12:00:25
FR 2669,D,BERLIN,14:45,14:45,Operativo,2026-09-20 12:00:25
FR 3645,D,EDINBURGH,14:55,14:55,OPERATO DA MALTA AIR,2026-09-20 12:00:25
FR 2739,D,LONDON STANSTED,15:00,15:00,OPERATO DA MALTA AIR,2026-09-20 12:00:25
A9 732,D,TBILISI,15:00,15:25,IN RITARDO,2026-09-20 12:00:25
FR 219,D,ALICANTE,15:05,15:05,Operativo,2026-09-20 12:00:25
FR 5407,D,PRAGUE,15:10,15:10,OPERATO DA MALTA AIR,2026-09-20 12:00:25
FR 3413,D,KATOWICE,15:20,16:20,IN RITARDO,2026-09-20 12:00:25
FR 3988,D,PREVEZA,15:25,15:25,OPERATO DA MALTA AIR,2026-09-20 12:00:25
W4 3772,D,CRAIOVA,15:30,15:30,Operativo,2026-09-20 12:00:25
FR 1853,D,MARSEILLE,15:30,15:30,Operativo,2026-09-20 12:00:25
FR 2864,D,BRINDISI,15:35,15:35,Operativo,2026-09-20 12:00:25
W4 5018,D,TIRANA,15:45,15:45,OPERATO DA WIZZAIR HUNGARY,2026-09-20 12:00:25
FR 3561,D,NAPOLI,15:50,15:50,Operativo,2026-09-20 12:00:25
D8 3881,D,BILLUND,16:00,16:00,Operativo,2026-09-20 12:00:25
FR 3537,D,EINDHOVEN,16:05,16:05,Operativo,2026-09-20 12:00:25
FR 3559,D,BRISTOL,16:05,16:05,Operativo,2026-09-20 12:00:25
FR 6175,D,CATANIA,16:10,16:10,OPERATO DA MALTA AIR,2026-09-20 12:00:25
FR 1703,D,NOTTINGHAM EAST MIDLANDS,16:15,16:35,IN RITARDO,2026-09-20 12:00:25
FR 5113,D,CROTONE,16:20,16:20,OPERATO DA MALTA AIR,2026-09-20 12:00:25
FR 8349,D,TIRANA,16:20,16:20,OPERATO DA BUZZ,2026-09-20 12:00:25
XZ 2824,D,CATANIA,16:30,16:30,Operativo,2026-09-20 12:00:25
FR 484,D,DUSSELDORF - WEEZE,16:30,16:30,Operativo,2026-09-20 12:00:25
AP 3639,D,MARSA ALAM,16:50,16:50,Operativo,2026-09-20 12:00:25
FR 3319,D,BARCELONA EL PRAT,16:55,16:55,OPERATO DA MALTA AIR,2026-09-20 12:00:25
FR 6257,D,KRAKOW,17:10,17:10,OPERATO DA BUZZ,2026-09-20 12:00:25
PC 1214,D,ISTANBUL S. GOKCEN,17:15,17:15,Operativo,2026-09-20 12:00:25
AZ 7058,D,ISTANBUL S. GOKCEN,17:15,17:15,Operativo,2026-09-20 12:00:25
FR 7976,D,KOS,17:50,18:25,IN RITARDO,2026-09-20 12:00:25
FR 4196,D,CORFU,19:05,20:15,IN RITARDO Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-09-20 12:00:25
