timestamp,callsign,icao24,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese,sessione_notturna
2026-09-19 23:01:07,RYR9JX,4d2237,RWY 28,Atterraggio,Est -> Ovest,152,284.98,1.85,Malta,2026-09-19
2026-09-19 23:13:17,RYR61TF,48c22f,RWY 28,Atterraggio,Est -> Ovest,160,284.6,1.89,Poland,2026-09-19
2026-09-19 23:15:18,RYR1WF,4d2269,RWY 28,Atterraggio,Est -> Ovest,152,284.98,1.87,Malta,2026-09-19
2026-09-19 23:19:21,IGT1202,5140c6,N/D,Sorvolo,N/D,1249,96.53,11.79,Georgia,2026-09-19
2026-09-19 23:21:22,THY6AM,4bb262,N/D,Sorvolo,N/D,5577,247.2,10.32,Turkey,2026-09-19
2026-09-19 23:23:23,ABY696,896745,RWY 10,Avvicinamento,Ovest -> Est,769,118.95,5.95,United Arab Emirates,2026-09-19
2026-09-19 23:31:27,NSZ5123,4aca99,N/D,Sorvolo,N/D,11277,225.17,12.82,Sweden,2026-09-19
2026-09-19 23:31:27,RYR1JK,4caea0,RWY 28,Atterraggio,Est -> Ovest,152,285.05,1.93,Ireland,2026-09-19
2026-09-19 23:33:28,RYR8HM,4ca701,RWY 28,Atterraggio,Est -> Ovest,152,284.78,1.87,Ireland,2026-09-19
2026-09-19 23:35:29,RYR885,48c2af,RWY 28,Atterraggio,Est -> Ovest,160,284.83,1.89,Poland,2026-09-19
2026-09-19 23:41:32,RYR7HH,48c12f,RWY 16,Avvicinamento,Nord -> Sud,762,163.35,7.36,Poland,2026-09-19
2026-09-19 23:43:33,RYR55WG,48c131,N/D,Avvicinamento,Rotta 157.3°,853,157.26,7.77,Poland,2026-09-19
2026-09-19 23:51:41,RYR8X,4d2270,RWY 28,Atterraggio,Est -> Ovest,152,284.42,1.89,Malta,2026-09-19
2026-09-19 23:57:44,RYR30DK,48c2b7,RWY 28,Atterraggio,Est -> Ovest,152,284.52,1.91,Poland,2026-09-19
2026-09-19 23:57:44,MMO3144,501c39,RWY 28,Atterraggio,Est -> Ovest,160,284.74,1.98,Croatia,2026-09-19
2026-09-20 00:01:47,RYR86CZ,4d22b3,RWY 10,Decollo,Ovest -> Est,533,104.04,3.5,Malta,2026-09-19
2026-09-20 00:01:47,RYR13GV,4d2248,RWY 28,Avvicinamento,Est -> Ovest,4968,279.32,7.58,Malta,2026-09-19
2026-09-20 00:07:50,NIA322,0102b4,N/D,Avvicinamento,Rotta 215.2°,1120,215.19,7.31,Egypt,2026-09-19
2026-09-20 00:15:58,RYR7RD,4caa5a,RWY 28,Atterraggio,Est -> Ovest,160,284.88,1.93,Ireland,2026-09-19
2026-09-20 00:24:04,RYR9MV,4cadf2,RWY 28,Atterraggio,Est -> Ovest,160,284.88,1.98,Ireland,2026-09-19
2026-09-20 00:30:07,RYR41CG,4d23fc,RWY 28,Atterraggio,Est -> Ovest,152,285.19,1.85,Malta,2026-09-19
2026-09-20 00:30:07,SUA8P,49d676,N/D,Sorvolo,N/D,5448,86.59,12.07,Czech Republic,2026-09-19
2026-09-20 00:42:15,RYR7UX,4cadef,RWY 28,Atterraggio,Est -> Ovest,160,284.91,2.04,Ireland,2026-09-19
2026-09-20 00:46:17,RYR5DN,4cade5,RWY 28,Atterraggio,Est -> Ovest,160,285.36,1.96,Ireland,2026-09-19
2026-09-20 00:48:18,RYR5935,4ca700,RWY 28,Atterraggio,Est -> Ovest,152,284.51,1.87,Ireland,2026-09-19
2026-09-20 00:50:19,RYR184,48c2ae,RWY 28,Atterraggio,Est -> Ovest,152,285.37,1.94,Poland,2026-09-19
2026-09-20 00:52:20,WMT952,471efa,N/D,Sorvolo,N/D,5737,261.47,11.5,Hungary,2026-09-19
2026-09-20 00:54:21,RYR307R,4ca4ee,RWY 28,Atterraggio,Est -> Ovest,160,285.08,1.94,Ireland,2026-09-19
2026-09-20 00:56:22,RYR22ED,4cae6b,RWY 28,Atterraggio,Est -> Ovest,152,284.67,1.95,Ireland,2026-09-19
2026-09-20 01:06:31,P4GKF,484354,N/D,Sorvolo,N/D,13106,40.94,13.76,Kingdom of the Netherlands,2026-09-19
2026-09-20 01:16:40,RYR765L,4d2235,RWY 28,Atterraggio,Est -> Ovest,160,284.91,2.0,Malta,2026-09-19
2026-09-20 01:24:45,RYR90EJ,4cae99,RWY 28,Atterraggio,Est -> Ovest,167,284.78,2.13,Ireland,2026-09-19
2026-09-20 01:43:01,RYR52TC,4d234c,RWY 28,Atterraggio,Est -> Ovest,152,285.19,1.87,Malta,2026-09-19
2026-09-20 01:51:05,RYR4LN,4ca64e,RWY 28,Atterraggio,Est -> Ovest,152,284.8,1.85,Ireland,2026-09-19
2026-09-20 02:13:32,RYR451P,4d2350,RWY 28,Atterraggio,Est -> Ovest,144,284.88,1.85,Malta,2026-09-19
2026-09-20 02:33:51,RYR7PV,4d2385,RWY 28,Atterraggio,Est -> Ovest,152,285.15,1.95,Malta,2026-09-19
2026-09-20 02:35:52,RYR13LL,4ca245,RWY 28,Atterraggio,Est -> Ovest,144,284.69,1.85,Ireland,2026-09-19
2026-09-20 02:54:09,RYR87RR,4cae6d,RWY 28,Atterraggio,Est -> Ovest,144,284.78,1.85,Ireland,2026-09-19
2026-09-20 03:00:12,RYR13PK,4d2257,RWY 28,Atterraggio,Est -> Ovest,152,284.88,1.84,Malta,2026-09-19
2026-09-20 03:06:17,MASBA,424c9d,RWY 28,Atterraggio,Est -> Ovest,160,285.64,1.85,United Kingdom,2026-09-19
2026-09-20 03:51:09,RYR2PG,4caf29,RWY 28,Atterraggio,Est -> Ovest,152,285.03,1.86,Ireland,2026-09-19
2026-09-20 04:09:31,DLH1327,3c65c2,N/D,Sorvolo,N/D,11590,357.89,14.43,Germany,2026-09-19
