numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,stato_destinazione,status,scan_timestamp
FR 259,Decollo,07:20,09:00,BUCHAREST OTOPENI,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-27 08:58:03
DN 422,Decollo,08:05,08:05,BACAU,Estero/Italia,CANCELLATO,2026-08-27 08:58:03
W6 4352,Decollo,08:10,08:50,SOFIA,Estero/Italia,IMBARCO CHIUSO,2026-08-27 08:58:03
FR 1533,Decollo,08:30,08:30,VIENNA,Estero/Italia,DECOLLATO,2026-08-27 08:58:03
FR 3341,Decollo,08:30,08:30,VARSAVIA MODLIN,Estero/Italia,DECOLLATO,2026-08-27 08:58:03
W4 7691,Decollo,08:40,09:40,ORADEA,Estero/Italia,IN RITARDO,2026-08-27 08:58:03
W6 1432,Decollo,08:40,08:40,WARSAW,Estero/Italia,DECOLLATO,2026-08-27 08:58:03
FR 2858,Decollo,09:00,09:00,BRINDISI,Estero/Italia,DECOLLATO,2026-08-27 08:58:03
FR 2990,Decollo,09:20,09:20,COPENHAGEN,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-27 08:58:03
FR 3657,Decollo,09:25,09:25,EDINBURGH,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 3673,Decollo,09:25,09:25,LONDON STANSTED,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 461,Decollo,09:40,09:40,NEWCASTLE,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 888,Decollo,09:40,09:40,KRAKOW,Estero/Italia,IMBARCO IN CORSO,2026-08-27 08:58:03
D8 3881,Decollo,09:40,09:40,BILLUND,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 4196,Decollo,09:50,09:50,CORFU,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 4714,Decollo,09:50,09:50,RIGA,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 3659,Decollo,09:55,12:50,BRUXELLES CHARLEROI,Estero/Italia,IN RITARDO,2026-08-27 08:58:03
FR 8355,Decollo,10:00,10:00,TIRANA,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 4631,Decollo,10:15,10:15,VALENCIA,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 1536,Decollo,10:25,10:25,CASTELLON DE LA PLANA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 2888,Decollo,10:25,10:25,CATANIA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 8334,Decollo,10:30,10:30,IBIZA,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 2087,Decollo,10:45,10:45,LISBON,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 2649,Decollo,10:50,10:50,MALAGA,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 4201,Decollo,10:50,11:10,RHODES,Estero/Italia,IN RIT,2026-08-27 08:58:03
3O 458,Decollo,10:50,10:50,CASABLANCA,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 1417,Decollo,11:15,11:15,LAMEZIA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 4650,Decollo,11:35,11:35,TRAPANI,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 1784,Decollo,11:35,11:35,COPENHAGEN,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 4658,Decollo,11:35,11:35,BARI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
AZ 7048,Decollo,11:45,11:45,ISTANBUL S. GOKCEN,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 7324,Decollo,11:45,11:45,MALTA,Estero/Italia,Operativo,2026-08-27 08:58:03
PC 1212,Decollo,11:45,11:45,ISTANBUL S. GOKCEN,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 6257,Decollo,11:55,11:55,KRAKOW,Estero/Italia,OPERATO DA BUZZ,2026-08-27 08:58:03
FR 2872,Decollo,12:05,12:05,VILNIUS,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 845,Decollo,12:05,12:05,CLUJ-NAPOCA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 3450,Decollo,12:15,12:15,TANGIER,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 2669,Decollo,12:45,13:35,BERLIN,Estero/Italia,IN RITARDO,2026-08-27 08:58:03
VF 062,Decollo,12:45,12:45,ISTANBUL S. GOKCEN,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 3142,Decollo,12:55,12:55,BARCELONA EL PRAT,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 5139,Decollo,12:55,12:55,FARO,Estero/Italia,Operativo,2026-08-27 08:58:03
D8 3751,Decollo,12:55,12:55,COPENHAGEN,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 3217,Decollo,13:05,13:05,MANCHESTER,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 6125,Decollo,13:20,13:20,DUBLIN,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 2697,Decollo,13:25,13:25,LONDON STANSTED,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
W4 3772,Decollo,13:25,14:25,CRAIOVA,Estero/Italia,IN RITARDO,2026-08-27 08:58:03
FR 2864,Decollo,13:25,13:25,BRINDISI,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 5531,Decollo,13:30,13:30,COLOGNE,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FZ 1574,Decollo,13:40,13:40,DUBAI,Estero/Italia,Operativo,2026-08-27 08:58:03
YW 8146,Decollo,13:40,13:40,PALMA DE MALLORCA,Estero/Italia,Operativo,2026-08-27 08:58:03
EK 2141,Decollo,13:40,13:40,DUBAI,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 4001,Decollo,13:50,13:50,LANZAROTE,Estero/Italia,Operativo,2026-08-27 08:58:03
F3 586,Decollo,14:00,14:00,RIYADH,Estero/Italia,Operativo,2026-08-27 08:58:03
SM 832,Decollo,14:25,14:25,SHARM EL SHEIKH,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 2254,Decollo,14:25,14:25,ALGHERO,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 6513,Decollo,14:35,14:35,OLBIA,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 219,Decollo,14:50,14:50,ALICANTE,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 3480,Decollo,14:55,14:55,CAGLIARI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 3460,Decollo,14:55,14:55,EINDHOVEN,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 1903,Decollo,15:25,15:25,VARSAVIA MODLIN,Estero/Italia,Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-08-27 08:58:03
FR 259,Atterraggio,07:20,09:00,BUCHAREST OTOPENI,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-27 08:58:03
DN 422,Atterraggio,08:05,08:05,BACAU,Estero/Italia,CANCELLATO,2026-08-27 08:58:03
W6 4352,Atterraggio,08:10,08:50,SOFIA,Estero/Italia,IMBARCO CHIUSO,2026-08-27 08:58:03
FR 1533,Atterraggio,08:30,08:30,VIENNA,Estero/Italia,DECOLLATO,2026-08-27 08:58:03
FR 3341,Atterraggio,08:30,08:30,VARSAVIA MODLIN,Estero/Italia,DECOLLATO,2026-08-27 08:58:03
W4 7691,Atterraggio,08:40,09:40,ORADEA,Estero/Italia,IN RITARDO,2026-08-27 08:58:03
W6 1432,Atterraggio,08:40,08:40,WARSAW,Estero/Italia,DECOLLATO,2026-08-27 08:58:03
FR 2858,Atterraggio,09:00,09:00,BRINDISI,Estero/Italia,DECOLLATO,2026-08-27 08:58:03
FR 2990,Atterraggio,09:20,09:20,COPENHAGEN,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-27 08:58:03
FR 3657,Atterraggio,09:25,09:25,EDINBURGH,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 3673,Atterraggio,09:25,09:25,LONDON STANSTED,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 461,Atterraggio,09:40,09:40,NEWCASTLE,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 888,Atterraggio,09:40,09:40,KRAKOW,Estero/Italia,IMBARCO IN CORSO,2026-08-27 08:58:03
D8 3881,Atterraggio,09:40,09:40,BILLUND,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 4196,Atterraggio,09:50,09:50,CORFU,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 4714,Atterraggio,09:50,09:50,RIGA,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 3659,Atterraggio,09:55,12:50,BRUXELLES CHARLEROI,Estero/Italia,IN RITARDO,2026-08-27 08:58:03
FR 8355,Atterraggio,10:00,10:00,TIRANA,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 4631,Atterraggio,10:15,10:15,VALENCIA,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 1536,Atterraggio,10:25,10:25,CASTELLON DE LA PLANA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 2888,Atterraggio,10:25,10:25,CATANIA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 8334,Atterraggio,10:30,10:30,IBIZA,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 2087,Atterraggio,10:45,10:45,LISBON,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 2649,Atterraggio,10:50,10:50,MALAGA,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 4201,Atterraggio,10:50,11:10,RHODES,Estero/Italia,IN RIT,2026-08-27 08:58:03
3O 458,Atterraggio,10:50,10:50,CASABLANCA,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 1417,Atterraggio,11:15,11:15,LAMEZIA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 4650,Atterraggio,11:35,11:35,TRAPANI,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 1784,Atterraggio,11:35,11:35,COPENHAGEN,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
FR 4658,Atterraggio,11:35,11:35,BARI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
AZ 7048,Atterraggio,11:45,11:45,ISTANBUL S. GOKCEN,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 7324,Atterraggio,11:45,11:45,MALTA,Estero/Italia,Operativo,2026-08-27 08:58:03
PC 1212,Atterraggio,11:45,11:45,ISTANBUL S. GOKCEN,Estero/Italia,Operativo,2026-08-27 08:58:03
FR 6257,Atterraggio,11:55,11:55,KRAKOW,Estero/Italia,OPERATO DA BUZZ,2026-08-27 08:58:03
FR 2872,Atterraggio,12:05,12:05,VILNIUS,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 08:58:03
