callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,stato_destinazione,scan_timestamp
FR 5139,D,FARO,05:50,07:30,DECOLLATO,Estero/Italia,2026-08-28 07:57:13
FR 3400,D,SOFIA,07:30,07:30,DECOLLATO,Estero/Italia,2026-08-28 07:57:13
W4 3132,D,BUCHAREST OTOPENI,07:30,07:30,DECOLLATO,Estero/Italia,2026-08-28 07:57:13
FR 8121,D,TIRANA,07:35,07:35,DECOLLATO,Estero/Italia,2026-08-28 07:57:13
FR 4706,D,CAGLIARI,07:55,07:55,DECOLLATO,Estero/Italia,2026-08-28 07:57:13
V7 3511,D,ASTURIAS,07:55,07:55,IMBARCO CHIUSO,Estero/Italia,2026-08-28 07:57:13
W4 3672,D,IASI,08:00,08:00,IMBARCO CHIUSO,Estero/Italia,2026-08-28 07:57:13
FR 1417,D,LAMEZIA,08:00,08:00,IMBARCO CHIUSO,Estero/Italia,2026-08-28 07:57:13
W6 4352,D,SOFIA,08:10,08:10,IMBARCO ULTIMA CHIAMATA,Estero/Italia,2026-08-28 07:57:13
FR 6149,D,PALERMO,08:10,09:35,IN RITARDO,Estero/Italia,2026-08-28 07:57:13
FR 3396,D,CROTONE,08:20,08:20,IMBARCO ULTIMA CHIAMATA,Estero/Italia,2026-08-28 07:57:13
FR 847,D,BARCELONA EL PRAT,08:20,08:20,IMBARCO ULTIMA CHIAMATA,Estero/Italia,2026-08-28 07:57:13
FR 4523,D,BRUXELLES CHARLEROI,08:20,08:39,IN RITARDO,Estero/Italia,2026-08-28 07:57:13
W4 3382,D,CLUJ-NAPOCA,08:25,08:25,IMBARCO IN CORSO,Estero/Italia,2026-08-28 07:57:13
FR 2428,D,SARAJEVO,08:35,08:35,IMBARCO IN CORSO,Estero/Italia,2026-08-28 07:57:13
FR 9194,D,WROCLAW - BRESLAVIA,08:40,08:40,OPERATO DA BUZZ,Estero/Italia,2026-08-28 07:57:13
W6 1432,D,WARSAW,08:40,10:02,OPERATO DA WIZZAIR MALTA,Estero/Italia,2026-08-28 07:57:13
FR 1784,D,COPENHAGEN,09:05,09:05,Operativo,Estero/Italia,2026-08-28 07:57:13
BQ 1989,D,MOSTAR,09:10,09:10,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 4402,D,ZAKINTHOS,09:25,09:25,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 07:57:13
FR 2864,D,BRINDISI,09:35,10:35,IN RITARDO,Estero/Italia,2026-08-28 07:57:13
FR 8044,D,BRUXELLES CHARLEROI,09:50,09:50,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 888,D,KRAKOW,09:55,09:55,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 07:57:13
FR 3502,D,ZARAGOZA,10:05,10:05,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 6860,D,OSLO TORP,10:05,10:05,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 07:57:13
FR 410,D,LUXEMBOURG,10:10,10:10,Operativo,Estero/Italia,2026-08-28 07:57:13
D8 3751,D,COPENHAGEN,10:10,10:35,IN RITARDO,Estero/Italia,2026-08-28 07:57:13
FR 4037,D,DUBLIN,10:25,10:45,IN RITARDO,Estero/Italia,2026-08-28 07:57:13
FR 2878,D,STOCKHOLM,10:30,10:30,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 4132,D,BARI,10:40,10:40,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 07:57:13
FR 3319,D,BARCELONA EL PRAT,10:45,10:45,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 07:57:13
FR 3217,D,MANCHESTER,10:45,11:30,IN RIT,Estero/Italia,2026-08-28 07:57:13
3O 452,D,CASABLANCA,10:50,10:50,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 5102,D,BIRMINGHAM,11:00,11:00,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 07:57:13
NO 5680,D,KARPATHOS,11:00,11:00,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 497,D,VALENCIA,11:05,11:05,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 07:57:13
FR 2669,D,BERLIN,11:10,11:10,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 9890,D,LODZ,11:15,11:15,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 3645,D,EDINBURGH,11:15,11:15,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 8334,D,IBIZA,11:20,11:20,Operativo,Estero/Italia,2026-08-28 07:57:13
XC 9428,D,ANKARA,11:30,11:49,IN RITARDO,Estero/Italia,2026-08-28 07:57:13
AZ 7048,D,ISTANBUL S. GOKCEN,11:45,11:45,Operativo,Estero/Italia,2026-08-28 07:57:13
PC 1212,D,ISTANBUL S. GOKCEN,11:45,11:45,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 2254,D,ALGHERO,11:55,11:55,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 4786,D,SALERNO,12:00,12:00,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 2649,D,MALAGA,12:00,12:25,IN RITARDO,Estero/Italia,2026-08-28 07:57:13
FR 4042,D,PORTO,12:20,12:20,Operativo,Estero/Italia,2026-08-28 07:57:13
E5 543,D,CAIRO,12:20,12:20,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 9429,D,DUBLIN,12:25,12:25,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 07:57:13
FR 4196,D,CORFU,12:40,12:40,Operativo,Estero/Italia,2026-08-28 07:57:13
VF 062,D,ISTANBUL S. GOKCEN,12:45,12:45,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 4400,D,HERAKLION,12:55,12:55,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 4201,D,RHODES,12:55,12:55,Operativo,Estero/Italia,2026-08-28 07:57:13
FR 5531,D,COLOGNE,13:15,13:15,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 07:57:13
FR 2289,D,PALERMO,13:20,13:20,Operativo,Estero/Italia,2026-08-28 07:57:13
