flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
FR 8193,Decollo,20:45,21:53,VIENNA20:45 | 21:53Decollato,Decollato,2026-03-28 23:00:00
FR 8846,Decollo,21:05,21:56,MARRAKECH21:05 | 21:56Decollato,Decollato,2026-03-28 23:00:00
FR 2892,Decollo,21:05,21:05,CATANIA21:05 | 21:05Decollato,Decollato,2026-03-28 23:00:00
FR 8844,Decollo,21:05,21:05,WROCLAW - BRESLAVIA21:05 | 21:05Decollato,Decollato,2026-03-28 23:00:00
FR 4658,Decollo,21:05,21:05,BARI21:05 | 21:05Decollato,Decollato,2026-03-28 23:00:00
W4 3552,Decollo,21:30,21:30,TIMISOARA21:30 | 21:30Decollato,Decollato,2026-03-28 23:00:00
W4 3136,Decollo,21:35,21:35,BUCHAREST OTOPENI21:35 | 21:35Decollato,Decollato,2026-03-28 23:00:00
FR 4706,Decollo,21:45,21:45,CAGLIARI21:45 | 21:45Decollato,Decollato,2026-03-28 23:00:00
FR 3341,Decollo,21:45,21:45,VARSAVIA MODLIN21:45 | 21:45Decollato,Decollato,2026-03-28 23:00:00
FR 4845,Decollo,21:45,21:45,DUBLIN21:45 | 21:45Decollato,Decollato,2026-03-28 23:00:00
W4 3932,Decollo,22:00,22:00,CHISINAU22:00 | 22:00Decollato,Decollato,2026-03-28 23:00:00
W6 4508,Decollo,22:10,22:10,VARNA22:10 | 22:10Decollato,Decollato,2026-03-28 23:00:00
FR 1689,Decollo,22:10,22:10,FRANKFURT - HAHN22:10 | 22:10Decollato,Decollato,2026-03-28 23:00:00
FR 2649,Decollo,22:20,22:20,MALAGA22:20 | 22:20Decollato,Decollato,2026-03-28 23:00:00
FR 5531,Decollo,22:20,22:20,COLOGNE22:20 | 22:20Decollato,Decollato,2026-03-28 23:00:00
W4 5020,Decollo,22:25,22:25,TIRANA22:25 | 22:25Decollato,Decollato,2026-03-28 23:00:00
G9 696,Decollo,22:35,22:53,SHARJAH22:35 | 22:53Imbarco chiuso,Imbarco chiuso,2026-03-28 23:00:00
FR 4191,Decollo,22:40,22:57,LONDON  STANSTED22:40 | 22:57Decollato,Decollato,2026-03-28 23:00:00
FR 6653,Decollo,23:05,23:05,CATANIA23:05 | 23:05Imbarco ultima chiamata,Imbarco ultima chiamata,2026-03-28 23:00:00
FR 3220,Decollo,23:10,00:14,MANCHESTER23:10 | 00:14In ritardo,In ritardo,2026-03-28 23:00:00
FR 3535,Decollo,23:10,23:10,KRAKOW23:10 | 23:10Imbarco ultima chiamata,Imbarco ultima chiamata,2026-03-28 23:00:00
3O 454,Decollo,01:05,01:46,CASABLANCA01:05 | 01:46In ritardo,In ritardo,2026-03-28 23:00:00
FR 3400,Decollo,05:45,05:45,SOFIA05:45 | 05:45Operato da Malta Air,Operato da Malta Air,2026-03-28 23:00:00
FR 2830,Decollo,05:50,05:50,TENERIFE05:50 | 05:50Operato da Malta Air,Operato da Malta Air,2026-03-28 23:00:00
FR 8511,Decollo,05:55,05:55,BENI MELLAL05:55 | 05:55,nan,2026-03-28 23:00:00
FR 2293,Decollo,05:55,05:55,PESCARA05:55 | 05:55Operato da Malta Air,Operato da Malta Air,2026-03-28 23:00:00
FR 2254,Decollo,05:55,05:55,ALGHERO05:55 | 05:55,nan,2026-03-28 23:00:00
MT 3140,Decollo,06:00,06:00,MARSA ALAM06:00 | 06:00,nan,2026-03-28 23:00:00
FR 3142,Decollo,06:00,06:00,BARCELONA EL PRAT06:00 | 06:00Operato da Malta Air,Operato da Malta Air,2026-03-28 23:00:00
FR 3200,Decollo,06:00,06:00,CAGLIARI06:00 | 06:00,nan,2026-03-28 23:00:00
FR 410,Decollo,06:05,06:05,LUXEMBOURG06:05 | 06:05,nan,2026-03-28 23:00:00
FR 8334,Decollo,06:05,06:05,IBIZA06:05 | 06:05Operato da Malta Air,Operato da Malta Air,2026-03-28 23:00:00
FR 5139,Decollo,06:15,06:15,FARO06:15 | 06:15Operato da Malta Air,Operato da Malta Air,2026-03-28 23:00:00
FR 3392,Decollo,06:30,06:30,HELSINKI06:30 | 06:30,nan,2026-03-28 23:00:00
FR 4631,Decollo,06:30,06:30,VALENCIA06:30 | 06:30,nan,2026-03-28 23:00:00
FR 3528,Decollo,06:35,06:35,PRAGUE06:35 | 06:35Operato da Malta Air,Operato da Malta Air,2026-03-28 23:00:00
FR 9292,Decollo,06:45,06:45,KAUNAS06:45 | 06:45,nan,2026-03-28 23:00:00
FR 9050,Decollo,07:15,07:15,CORK07:15 | 07:15Operato da Malta Air,Operato da Malta Air,2026-03-28 23:00:00
FR 3460,Decollo,07:20,07:20,EINDHOVEN07:20 | 07:20,nan,2026-03-28 23:00:00
W4 3132,Decollo,07:30,07:30,BUCHAREST BANEASA07:30 | 07:30,nan,2026-03-28 23:00:00
FR 8121,Decollo,07:30,07:30,TIRANA07:30 | 07:30Operato da Malta Air,Operato da Malta Air,2026-03-28 23:00:00
FR 2285,Decollo,07:35,07:35,NAPOLI07:35 | 07:35,nan,2026-03-28 23:00:00
FR 6054,Decollo,07:40,07:40,ZAGREB07:40 | 07:40Operato da Lauda Europe,Operato da Lauda Europe,2026-03-28 23:00:00
FR 4667,Decollo,07:45,07:45,BARI07:45 | 07:45Operato da Malta Air,Operato da Malta Air,2026-03-28 23:00:00
FR 5114,Decollo,07:50,07:50,LAMEZIA07:50 | 07:50,nan,2026-03-28 23:00:00
FR 2107,Decollo,07:55,07:55,BUDAPEST07:55 | 07:55Operato da BUZZ,Operato da BUZZ,2026-03-28 23:00:00
FR 3448,Decollo,08:00,08:00,BRINDISI08:00 | 08:00,nan,2026-03-28 23:00:00
W4 3672,Decollo,08:00,08:00,IASI08:00 | 08:00,nan,2026-03-28 23:00:00
W6 4352,Decollo,08:10,08:10,SOFIA08:10 | 08:10,nan,2026-03-28 23:00:00
FR 6458,Decollo,08:10,08:10,PALERMO08:10 | 08:10,nan,2026-03-28 23:00:00
FR 888,Decollo,08:15,08:15,KRAKOW08:15 | 08:15,nan,2026-03-28 23:00:00
FR 5120,Decollo,08:15,08:15,MADRID08:15 | 08:15Operato da Malta Air,Operato da Malta Air,2026-03-28 23:00:00
W4 3382,Decollo,08:25,08:25,CLUJ-NAPOCA08:25 | 08:25,nan,2026-03-28 23:00:00
FR 3396,Decollo,08:25,08:25,CROTONE08:25 | 08:25Operato da Malta Air,Operato da Malta Air,2026-03-28 23:00:00
W6 1432,Decollo,08:40,08:40,WARSAW08:40 | 08:40,nan,2026-03-28 23:00:00
FR 4475,Decollo,08:40,08:40,BRUXELLES CHARLEROI08:40 | 08:40,nan,2026-03-28 23:00:00
W4 5024,Decollo,08:45,08:45,TIRANA08:45 | 08:45,nan,2026-03-28 23:00:00
FR 1903,Decollo,09:10,09:10,VARSAVIA MODLIN09:10 | 09:10Operato da Malta Air,Operato da Malta Air,2026-03-28 23:00:00
FR 1533,Decollo,09:10,09:10,VIENNA09:10 | 09:10Operato da Lauda Europe,Operato da Lauda Europe,2026-03-28 23:00:00
FR 3593,Decollo,09:15,09:15,POZNAN09:15 | 09:15,nan,2026-03-28 23:00:00
