flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
FR 3300,Decollo,20:00,21:08,VITORIA20:00 | 21:08Decollato,Decollato,2026-06-18 23:00:00
FR 3645,Decollo,20:00,21:12,EDINBURGH20:00 | 21:12Decollato,Decollato,2026-06-18 23:00:00
D8 2941,Decollo,20:15,21:03,HELSINKI20:15 | 21:03Decollato,Decollato,2026-06-18 23:00:00
FR 3501,Decollo,20:25,21:45,PARIS BEAUVAIS20:25 | 21:45Decollato,Decollato,2026-06-18 23:00:00
FR 3219,Decollo,20:45,21:21,MANCHESTER20:45 | 21:21Decollato,Decollato,2026-06-18 23:00:00
FR 4969,Decollo,20:50,21:56,PALERMO20:50 | 21:56Decollato,Decollato,2026-06-18 23:00:00
FR 3665,Decollo,21:05,21:52,NAPOLI21:05 | 21:52Decollato,Decollato,2026-06-18 23:00:00
FR 8844,Decollo,21:10,21:10,WROCLAW - BRESLAVIA21:10 | 21:10Decollato,Decollato,2026-06-18 23:00:00
DY 1847,Decollo,21:15,21:15,OSLO21:15 | 21:15Decollato,Decollato,2026-06-18 23:00:00
FR 3893,Decollo,21:15,22:26,CAGLIARI21:15 | 22:26Decollato,Decollato,2026-06-18 23:00:00
FR 4523,Decollo,21:20,21:20,BRUXELLES CHARLEROI21:20 | 21:20Decollato,Decollato,2026-06-18 23:00:00
FR 859,Decollo,21:20,22:57,BRINDISI21:20 | 22:57Decollato,Decollato,2026-06-18 23:00:00
W6 4774,Decollo,21:25,22:03,SKOPJE21:25 | 22:03Decollato,Decollato,2026-06-18 23:00:00
W4 5020,Decollo,21:45,23:44,TIRANA21:45 | 23:44Imbarco in corso,Imbarco in corso,2026-06-18 23:00:00
W4 3136,Decollo,21:45,21:45,BUCHAREST BANEASA21:45 | 21:45Decollato,Decollato,2026-06-18 23:00:00
W4 3932,Decollo,21:50,22:16,CHISINAU21:50 | 22:16Decollato,Decollato,2026-06-18 23:00:00
FR 2096,Decollo,21:50,21:50,LISBON21:50 | 21:50Decollato,Decollato,2026-06-18 23:00:00
FR 3164,Decollo,22:00,22:42,BUDAPEST22:00 | 22:42Decollato,Decollato,2026-06-18 23:00:00
FR 9372,Decollo,22:05,22:41,BRNO22:05 | 22:41Decollato,Decollato,2026-06-18 23:00:00
W6 4508,Decollo,22:10,22:10,VARNA22:10 | 22:10Decollato,Decollato,2026-06-18 23:00:00
FR 9196,Decollo,22:15,22:15,TRAPANI22:15 | 22:15Decollato,Decollato,2026-06-18 23:00:00
FR 8479,Decollo,22:20,22:20,TIRANA22:20 | 22:20Decollato,Decollato,2026-06-18 23:00:00
G9 696,Decollo,22:50,22:50,SHARJAH22:50 | 22:50Decollato,Decollato,2026-06-18 23:00:00
FR 2992,Decollo,22:55,23:30,COPENHAGEN22:55 | 23:30Imbarco in corso,Imbarco in corso,2026-06-18 23:00:00
FR 3413,Decollo,23:25,00:02,KATOWICE23:25 | 00:02In ritardo,In ritardo,2026-06-18 23:00:00
W6 4124,Decollo,23:35,23:35,BELGRADE23:35 | 23:35Imbarco in corso,Imbarco in corso,2026-06-18 23:00:00
BZ 151,Decollo,23:55,03:00,TEL AVIV23:55 | 03:00In ritardo,In ritardo,2026-06-18 23:00:00
MT 1150,Decollo,05:00,05:00,THESSALONIKI05:00 | 05:00,nan,2026-06-18 23:00:00
FR 2697,Decollo,05:45,05:45,LONDON  STANSTED05:45 | 05:45,nan,2026-06-18 23:00:00
FR 2285,Decollo,05:45,05:45,NAPOLI05:45 | 05:45,nan,2026-06-18 23:00:00
FR 3593,Decollo,05:45,05:45,POZNAN05:45 | 05:45,nan,2026-06-18 23:00:00
FR 5139,Decollo,05:50,05:50,FARO05:50 | 05:50,nan,2026-06-18 23:00:00
FR 2107,Decollo,06:00,06:00,BUDAPEST06:00 | 06:00,nan,2026-06-18 23:00:00
FR 7324,Decollo,06:05,06:05,MALTA06:05 | 06:05,nan,2026-06-18 23:00:00
FR 2872,Decollo,06:10,06:10,VILNIUS06:10 | 06:10,nan,2026-06-18 23:00:00
FR 3528,Decollo,06:15,06:15,PRAGUE06:15 | 06:15,nan,2026-06-18 23:00:00
FR 1533,Decollo,06:25,06:25,VIENNA06:25 | 06:25Operato da Malta Air,Operato da Malta Air,2026-06-18 23:00:00
FR 3432,Decollo,06:30,06:30,PARIS BEAUVAIS06:30 | 06:30,nan,2026-06-18 23:00:00
FR 4311,Decollo,06:30,06:30,ROVANIEMI06:30 | 06:30,nan,2026-06-18 23:00:00
FR 259,Decollo,06:35,06:35,BUCHAREST OTOPENI06:35 | 06:35Operato da Malta Air,Operato da Malta Air,2026-06-18 23:00:00
FR 3460,Decollo,06:40,06:40,EINDHOVEN06:40 | 06:40Operato da Malta Air,Operato da Malta Air,2026-06-18 23:00:00
FR 2261,Decollo,06:40,06:40,CATANIA06:40 | 06:40Operato da Malta Air,Operato da Malta Air,2026-06-18 23:00:00
FR 4993,Decollo,06:50,06:50,CEFALONIA06:50 | 06:50Operato da Malta Air,Operato da Malta Air,2026-06-18 23:00:00
FR 4650,Decollo,06:50,06:50,TRAPANI06:50 | 06:50,nan,2026-06-18 23:00:00
FR 6703,Decollo,07:00,07:00,SKIATHOS07:00 | 07:00,nan,2026-06-18 23:00:00
FR 3653,Decollo,07:10,07:10,BARI07:10 | 07:10Operato da Malta Air,Operato da Malta Air,2026-06-18 23:00:00
FR 076,Decollo,07:15,07:15,SEVILLA07:15 | 07:15,nan,2026-06-18 23:00:00
FR 820,Decollo,07:20,07:20,LISBON07:20 | 07:20,nan,2026-06-18 23:00:00
FR 2293,Decollo,07:20,07:20,PESCARA07:20 | 07:20,nan,2026-06-18 23:00:00
FR 3400,Decollo,07:30,07:30,SOFIA07:30 | 07:30Operato da BUZZ,Operato da BUZZ,2026-06-18 23:00:00
W4 3132,Decollo,07:30,07:30,BUCHAREST BANEASA07:30 | 07:30,nan,2026-06-18 23:00:00
FR 8121,Decollo,07:35,07:35,TIRANA07:35 | 07:35,nan,2026-06-18 23:00:00
FR 4706,Decollo,07:55,07:55,CAGLIARI07:55 | 07:55Operato da Malta Air,Operato da Malta Air,2026-06-18 23:00:00
W4 3672,Decollo,08:00,08:00,IASI08:00 | 08:00,nan,2026-06-18 23:00:00
FR 1417,Decollo,08:00,08:00,LAMEZIA08:00 | 08:00,nan,2026-06-18 23:00:00
W6 4352,Decollo,08:10,08:10,SOFIA08:10 | 08:10,nan,2026-06-18 23:00:00
FR 6149,Decollo,08:10,08:10,PALERMO08:10 | 08:10,nan,2026-06-18 23:00:00
FR 3396,Decollo,08:20,08:20,CROTONE08:20 | 08:20Operato da Malta Air,Operato da Malta Air,2026-06-18 23:00:00
FR 4523,Decollo,08:20,08:20,BRUXELLES CHARLEROI08:20 | 08:20,nan,2026-06-18 23:00:00
FR 847,Decollo,08:20,08:20,BARCELONA EL PRAT08:20 | 08:20Operato da Malta Air,Operato da Malta Air,2026-06-18 23:00:00
