timestamp,callsign,icao24,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese,sessione_notturna
2026-09-19 01:16:23,LSI220,300a5c,N/D,Sorvolo,N/D,5433,272.26,3.14,Italy,2026-09-18
2026-09-19 01:16:23,RYR84RP,4cae6b,RWY 16,Avvicinamento,Nord -> Sud,4556,178.71,1.58,Ireland,2026-09-18
2026-09-19 01:22:27,RYR5GG,4d2270,RWY 28,Atterraggio,Est -> Ovest,198,284.98,1.91,Malta,2026-09-18
2026-09-19 01:28:30,RYR2NJ,4ca700,RWY 28,Atterraggio,Est -> Ovest,198,284.8,1.92,Ireland,2026-09-18
2026-09-19 01:30:31,RYR265,4cadf2,RWY 28,Atterraggio,Est -> Ovest,198,285.15,1.86,Ireland,2026-09-18
2026-09-19 01:30:31,RYR1YJ,4ca739,RWY 28,Atterraggio,Est -> Ovest,198,285.08,1.83,Ireland,2026-09-18
2026-09-19 01:38:35,RYR2GQ,48c1a5,N/D,Avvicinamento,Rotta 70.0°,4770,69.98,6.43,Poland,2026-09-18
2026-09-19 01:48:42,RYR8512,4cae6d,RWY 28,Atterraggio,Est -> Ovest,190,285.42,1.86,Ireland,2026-09-18
2026-09-19 03:04:24,ENT7EX,489221,N/D,Sorvolo,N/D,11277,222.9,10.64,Poland,2026-09-18
2026-09-19 03:10:33,ICV28E,4d010c,N/D,Sorvolo,N/D,10825,260.68,14.76,N/D,2026-09-18
2026-09-19 03:33:02,AFR217A,39c420,N/D,Sorvolo,N/D,10363,289.55,7.97,France,2026-09-18
2026-09-19 04:05:46,DLH1327,3c6753,N/D,Sorvolo,N/D,11582,357.7,10.32,Germany,2026-09-18
2026-09-19 04:32:19,AFR673,394a0d,N/D,Sorvolo,N/D,10972,286.91,12.91,France,2026-09-18
2026-09-19 04:40:29,CFG289,3c7a46,N/D,Sorvolo,N/D,11582,357.16,10.63,Germany,2026-09-18
2026-09-19 04:54:48,RAM223B,020072,N/D,Sorvolo,N/D,37000,223.95,1.95,N/D,2026-09-18
2026-09-19 05:00:56,AEG432,5110c7,N/D,Sorvolo,N/D,20000,319.0,11.95,N/D,2026-09-18
2026-09-19 05:41:48,WMT6JU,4d20fb,N/D,Sorvolo,N/D,6789,80.56,13.08,Malta,2026-09-18
2026-09-19 05:45:50,MMO1241,501c39,RWY 28,Atterraggio,Est -> Ovest,182,284.72,1.8,Croatia,2026-09-18
2026-09-19 05:58:05,UNKNOWN,4caf29,RWY 10,Decollo,Ovest -> Est,220,105.52,1.39,Ireland,2026-09-18
