callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 413,D,THESSALONIKI,17:10,18:05,IMBARCO CHIUSO,2026-09-22 18:00:26
FR 4475,D,BRUXELLES CHARLEROI,17:15,17:52,DECOLLATO,2026-09-22 18:00:26
FR 3450,D,TANGIER,17:55,18:20,IMBARCO ULTIMA CHIAMATA,2026-09-22 18:00:26
FR 4714,D,RIGA,18:00,18:00,IMBARCO CHIUSO,2026-09-22 18:00:26
FR 820,D,LISBON,18:00,18:20,IMBARCO IN CORSO,2026-09-22 18:00:26
FR 3112,D,IASI,18:05,18:05,IMBARCO IN CORSO,2026-09-22 18:00:26
FR 5118,D,LAMEZIA,18:05,18:05,IMBARCO CHIUSO,2026-09-22 18:00:26
FR 5494,D,MADRID,18:20,18:20,Operativo,2026-09-22 18:00:26
FR 2287,D,BUCHAREST OTOPENI,18:25,18:25,IMBARCO IN CORSO,2026-09-22 18:00:26
FR 7324,D,MALTA,18:35,19:30,IN RITARDO,2026-09-22 18:00:26
FR 2892,D,CATANIA,18:35,18:35,IMBARCO IN CORSO,2026-09-22 18:00:26
FR 3217,D,MANCHESTER,18:55,19:25,IN RITARDO,2026-09-22 18:00:26
BZ 151,D,TEL AVIV,19:00,20:00,IN RITARDO,2026-09-22 18:00:26
FR 3665,D,NAPOLI,19:20,19:20,Operativo,2026-09-22 18:00:26
FR 2876,D,BRINDISI,19:45,19:45,Operativo,2026-09-22 18:00:26
FR 3535,D,KRAKOW,19:50,20:30,IN RITARDO,2026-09-22 18:00:26
FR 4706,D,CAGLIARI,19:50,19:50,OPERATO DA MALTA AIR,2026-09-22 18:00:26
FR 9890,D,LODZ,19:55,19:55,Operativo,2026-09-22 18:00:26
FR 3530,D,PRAGUE,20:00,20:00,Operativo,2026-09-22 18:00:26
D8 2941,D,HELSINKI,20:15,20:15,Operativo,2026-09-22 18:00:26
FR 3400,D,SOFIA,20:20,20:45,IN RITARDO,2026-09-22 18:00:26
FR 3440,D,LAMEZIA,20:20,20:20,OPERATO DA MALTA AIR,2026-09-22 18:00:26
FR 4969,D,PALERMO,20:20,20:20,Operativo,2026-09-22 18:00:26
FR 4631,D,VALENCIA,20:25,20:25,OPERATO DA MALTA AIR,2026-09-22 18:00:26
FR 2735,D,LONDON STANSTED,20:30,20:55,IN RITARDO,2026-09-22 18:00:26
W4 3470,D,TIRGU MURES,20:35,20:35,Operativo,2026-09-22 18:00:26
W6 1434,D,WARSAW,20:40,20:40,OPERATO DA WIZZAIR MALTA,2026-09-22 18:00:26
FR 4196,D,CORFU,20:40,20:40,Operativo,2026-09-22 18:00:26
FR 8349,D,TIRANA,20:45,21:30,IN RITARDO,2026-09-22 18:00:26
FR 4044,D,VARSAVIA MODLIN,20:50,21:10,IN RITARDO,2026-09-22 18:00:26
FR 4132,D,BARI,20:55,20:55,Operativo,2026-09-22 18:00:26
