flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
FR 7361,Decollo,20:30,21:01,VIENNA20:30 | 21:01Decollato,Decollato,2026-04-02 23:00:00
FR 4969,Decollo,20:50,21:50,PALERMO20:50 | 21:50Decollato,Decollato,2026-04-02 23:00:00
FR 8844,Decollo,21:10,21:10,WROCLAW - BRESLAVIA21:10 | 21:10Decollato,Decollato,2026-04-02 23:00:00
DY 1847,Decollo,21:15,21:15,OSLO21:15 | 21:15Decollato,Decollato,2026-04-02 23:00:00
FR 3893,Decollo,21:15,22:02,CAGLIARI21:15 | 22:02Decollato,Decollato,2026-04-02 23:00:00
FR 4523,Decollo,21:20,21:20,BRUXELLES CHARLEROI21:20 | 21:20Decollato,Decollato,2026-04-02 23:00:00
FR 859,Decollo,21:20,21:20,BRINDISI21:20 | 21:20Decollato,Decollato,2026-04-02 23:00:00
W4 3384,Decollo,21:25,21:25,CLUJ-NAPOCA21:25 | 21:25Decollato,Decollato,2026-04-02 23:00:00
FR 3312,Decollo,21:25,21:56,BERLIN21:25 | 21:56Decollato,Decollato,2026-04-02 23:00:00
W6 4774,Decollo,21:25,21:25,SKOPJE21:25 | 21:25Decollato,Decollato,2026-04-02 23:00:00
W4 5020,Decollo,21:45,21:45,TIRANA21:45 | 21:45Decollato,Decollato,2026-04-02 23:00:00
W4 3136,Decollo,21:45,22:20,BUCHAREST BANEASA21:45 | 22:20Decollato,Decollato,2026-04-02 23:00:00
W4 3932,Decollo,21:50,22:54,CHISINAU21:50 | 22:54Imbarco chiuso,Imbarco chiuso,2026-04-02 23:00:00
FR 2096,Decollo,21:50,23:00,LISBON21:50 | 23:00Imbarco chiuso,Imbarco chiuso,2026-04-02 23:00:00
FR 3164,Decollo,22:00,23:10,BUDAPEST22:00 | 23:10Imbarco chiuso,Imbarco chiuso,2026-04-02 23:00:00
FR 9372,Decollo,22:05,22:55,BRNO22:05 | 22:55Imbarco chiuso,Imbarco chiuso,2026-04-02 23:00:00
W6 4508,Decollo,22:10,21:10,VARNA22:10 | 21:10Decollato,Decollato,2026-04-02 23:00:00
FR 9196,Decollo,22:15,22:15,TRAPANI22:15 | 22:15Decollato,Decollato,2026-04-02 23:00:00
FR 8479,Decollo,22:20,22:38,TIRANA22:20 | 22:38Decollato,Decollato,2026-04-02 23:00:00
FR 2780,Decollo,22:25,22:25,PESCARA22:25 | 22:25Decollato,Decollato,2026-04-02 23:00:00
NP 224,Decollo,22:50,23:15,CAIRO22:50 | 23:15Imbarco chiuso,Imbarco chiuso,2026-04-02 23:00:00
FR 2992,Decollo,22:55,23:22,COPENHAGEN22:55 | 23:22Imbarco in corso,Imbarco in corso,2026-04-02 23:00:00
