callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 3200,D,CAGLIARI,10:45,11:35,DECOLLATO,2026-09-19 12:00:27
FR 259,D,BUCHAREST OTOPENI,10:55,12:51,IN RITARDO,2026-09-19 12:00:27
FR 4548,D,CHANIA-CRETA,11:30,11:53,DECOLLATO,2026-09-19 12:00:27
FR 6125,D,DUBLIN,11:35,12:30,IN RITARDO,2026-09-19 12:00:27
FR 5655,D,PALMA DE MALLORCA,11:40,11:40,DECOLLATO,2026-09-19 12:00:27
FR 3450,D,TANGIER,11:45,11:45,DECOLLATO,2026-09-19 12:00:27
AZ 7048,D,ISTANBUL S. GOKCEN,11:45,12:10,IMBARCO CHIUSO,2026-09-19 12:00:27
PC 1212,D,ISTANBUL S. GOKCEN,11:45,12:10,IMBARCO CHIUSO,2026-09-19 12:00:27
FR 3460,D,EINDHOVEN,12:00,12:00,IMBARCO ULTIMA CHIAMATA,2026-09-19 12:00:27
DY 1843,D,STAVANGER,12:10,12:10,IMBARCO CHIUSO,2026-09-19 12:00:27
FR 3210,D,SANTORINI / THIRA,12:25,13:50,IN RITARDO,2026-09-19 12:00:27
FR 9372,D,BRNO,12:30,12:30,OPERATO DA MALTA AIR,2026-09-19 12:00:27
VF 062,D,ISTANBUL S. GOKCEN,12:45,12:45,Operativo,2026-09-19 12:00:27
FR 3587,D,OSLO TORP,12:50,12:50,Operativo,2026-09-19 12:00:27
FR 4402,D,ZAKINTHOS,13:05,13:05,Operativo,2026-09-19 12:00:27
FR 3530,D,PRAGUE,13:05,13:25,IN RITARDO,2026-09-19 12:00:27
MT 3144,D,MARSA ALAM/SHARM EL SHEIKH,13:05,13:05,OPERATO DA TRADE AIR,2026-09-19 12:00:27
FR 847,D,BARCELONA EL PRAT,13:10,13:10,Operativo,2026-09-19 12:00:27
FR 6451,D,PALERMO,13:20,13:40,IN RITARDO,2026-09-19 12:00:27
FR 2872,D,VILNIUS,13:30,13:30,OPERATO DA BUZZ,2026-09-19 12:00:27
EK 2141,D,DUBAI,13:40,15:40,IN RITARDO,2026-09-19 12:00:27
FZ 1574,D,DUBAI,13:40,15:40,IN RITARDO,2026-09-19 12:00:27
FR 2876,D,BRINDISI,13:45,13:45,Operativo,2026-09-19 12:00:27
FR 3300,D,VITORIA,13:45,13:45,OPERATO DA MALTA AIR,2026-09-19 12:00:27
FR 8846,D,MARRAKECH,14:00,14:30,IN RITARDO,2026-09-19 12:00:27
FR 4698,D,TRAPANI,14:15,14:45,IN RITARDO,2026-09-19 12:00:27
SM 832,D,SHARM EL SHEIKH,14:25,14:25,Operativo,2026-09-19 12:00:27
FR 219,D,ALICANTE,14:40,14:40,Operativo,2026-09-19 12:00:27
FR 3673,D,LONDON STANSTED,14:55,14:55,Operativo,2026-09-19 12:00:27
FR 2698,D,ALGHERO,15:00,15:00,Operativo,2026-09-19 12:00:27
FR 5494,D,MADRID,15:05,15:05,OPERATO DA MALTA AIR,2026-09-19 12:00:27
FR 6257,D,KRAKOW,15:20,15:20,OPERATO DA BUZZ,2026-09-19 12:00:27
V7 1720,D,PANTELLERIA,15:25,15:25,Operativo,2026-09-19 12:00:27
FR 4037,D,DUBLIN,15:25,15:25,Operativo,2026-09-19 12:00:27
FR 6856,D,PORTO,15:30,15:30,Operativo,2026-09-19 12:00:27
FR 820,D,LISBON,15:35,16:20,IN RITARDO,2026-09-19 12:00:27
FR 6091,D,GRAN CANARIA,15:35,16:30,IN RITARDO,2026-09-19 12:00:27
FR 8821,D,BIARRITZ - BAYONA,15:40,15:40,Operativo,2026-09-19 12:00:27
FR 3480,D,CAGLIARI,15:45,15:45,OPERATO DA MALTA AIR,2026-09-19 12:00:27
W4 5018,D,TIRANA,15:45,15:45,OPERATO DA WIZZAIR HUNGARY,2026-09-19 12:00:27
FR 3867,D,POZNAN,15:45,16:40,IN RITARDO,2026-09-19 12:00:27
FR 3432,D,PARIS BEAUVAIS,15:50,15:50,Operativo,2026-09-19 12:00:27
FR 6846,D,LIVERPOOL,16:00,16:00,OPERATO DA MALTA AIR,2026-09-19 12:00:27
FR 5113,D,CROTONE,16:05,16:05,OPERATO DA MALTA AIR,2026-09-19 12:00:27
FR 4993,D,CEFALONIA,16:10,16:10,Operativo,2026-09-19 12:00:27
FR 8421,D,TIRANA,16:20,16:20,OPERATO DA BUZZ,2026-09-19 12:00:27
FR 410,D,LUXEMBOURG,16:30,16:30,Operativo,2026-09-19 12:00:27
FR 2289,D,PALERMO,16:35,16:35,OPERATO DA MALTA AIR,2026-09-19 12:00:27
FR 845,D,CLUJ-NAPOCA,16:35,16:35,Operativo,2026-09-19 12:00:27
FR 4188,D,LONDON STANSTED,16:35,16:35,Operativo,2026-09-19 12:00:27
FR 3392,D,HELSINKI,17:05,18:05,IN RITARDO,2026-09-19 12:00:27
FR 2878,D,STOCKHOLM,17:05,17:05,Operativo,2026-09-19 12:00:27
FR 3319,D,BARCELONA EL PRAT,17:10,17:10,Operativo,2026-09-19 12:00:27
FR 3653,D,BARI,17:15,17:15,OPERATO DA MALTA AIR,2026-09-19 12:00:27
FR 5102,D,BIRMINGHAM,17:15,17:15,Operativo,2026-09-19 12:00:27
AZ 7058,D,ISTANBUL S. GOKCEN,17:15,17:15,Operativo,2026-09-19 12:00:27
PC 1214,D,ISTANBUL S. GOKCEN,17:15,17:15,Operativo,2026-09-19 12:00:27
FR 4044,D,VARSAVIA MODLIN,17:35,17:35,OPERATO DA BUZZ,2026-09-19 12:00:27
FR 2992,D,COPENHAGEN,17:35,17:35,OPERATO DA MALTA AIR,2026-09-19 12:00:27
FR 2649,D,MALAGA,17:50,17:50,Operativo,2026-09-19 12:00:27
FR 2428,D,SARAJEVO,18:50,20:00,IN RITARDO,2026-09-19 12:00:27
FR 5531,D,COLOGNE,21:10,22:25,IN RITARDO Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-09-19 12:00:27
