numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,stato_destinazione,status,scan_timestamp
XZ 354,Decollo,16:00,16:00,TRIPOLI,Estero/Italia,CANCELLATO,2026-08-26 16:42:25
FR 219,Decollo,16:15,16:45,ALICANTE,Estero/Italia,IMBARCO CHIUSO,2026-08-26 16:42:25
FR 865,Decollo,16:15,16:15,BUCHAREST OTOPENI,Estero/Italia,DECOLLATO,2026-08-26 16:42:25
FR 4037,Decollo,16:15,16:46,DUBLIN,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 16:42:25
FR 5934,Decollo,16:25,16:25,DUBROVNIK,Estero/Italia,DECOLLATO,2026-08-26 16:42:25
FR 8355,Decollo,16:25,17:06,TIRANA,Estero/Italia,IMBARCO IN CORSO,2026-08-26 16:42:25
FR 5876,Decollo,16:30,16:30,PARIS BEAUVAIS,Estero/Italia,IMBARCO CHIUSO,2026-08-26 16:42:25
FR 5102,Decollo,16:30,16:50,BIRMINGHAM,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 16:42:25
FR 2876,Decollo,16:45,16:45,BRINDISI,Estero/Italia,IMBARCO CHIUSO,2026-08-26 16:42:25
FR 6149,Decollo,16:55,16:55,PALERMO,Estero/Italia,IMBARCO CHIUSO,2026-08-26 16:42:25
FR 4475,Decollo,16:55,16:55,BRUXELLES CHARLEROI,Estero/Italia,IMBARCO CHIUSO,2026-08-26 16:42:25
PC 1214,Decollo,17:15,17:15,ISTANBUL S. GOKCEN,Estero/Italia,IMBARCO IN CORSO,2026-08-26 16:42:25
AZ 7058,Decollo,17:15,17:15,ISTANBUL S. GOKCEN,Estero/Italia,IMBARCO IN CORSO,2026-08-26 16:42:25
FR 3649,Decollo,17:20,17:20,PAPHOS,Estero/Italia,IMBARCO IN CORSO,2026-08-26 16:42:25
FR 3413,Decollo,17:35,17:35,KATOWICE,Estero/Italia,OPERATO DA BUZZ,2026-08-26 16:42:25
FR 413,Decollo,17:45,17:45,THESSALONIKI,Estero/Italia,Operativo,2026-08-26 16:42:25
FR 3673,Decollo,17:50,17:50,LONDON STANSTED,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 16:42:25
FR 5494,Decollo,17:50,17:50,MADRID,Estero/Italia,Operativo,2026-08-26 16:42:25
FR 6175,Decollo,18:00,18:00,CATANIA,Estero/Italia,Operativo,2026-08-26 16:42:25
FR 3142,Decollo,18:05,18:26,BARCELONA EL PRAT,Estero/Italia,IN RITARDO,2026-08-26 16:42:25
FR 820,Decollo,18:10,19:25,LISBON,Estero/Italia,IN RITARDO,2026-08-26 16:42:25
FR 3460,Decollo,18:20,18:20,EINDHOVEN,Estero/Italia,Operativo,2026-08-26 16:42:25
FR 3545,Decollo,18:20,18:38,FEZ,Estero/Italia,IN RITARDO,2026-08-26 16:42:25
FR 3164,Decollo,18:25,19:10,BUDAPEST,Estero/Italia,IN RITARDO,2026-08-26 16:42:25
FR 3392,Decollo,18:25,18:25,HELSINKI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 16:42:25
FR 3655,Decollo,18:35,18:35,STOCKHOLM,Estero/Italia,Operativo,2026-08-26 16:42:25
FR 4658,Decollo,18:35,18:35,BARI,Estero/Italia,Operativo,2026-08-26 16:42:25
FR 4663,Decollo,18:40,18:40,VALENCIA,Estero/Italia,Operativo,2026-08-26 16:42:25
FR 3893,Decollo,19:05,19:05,CAGLIARI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 16:42:25
BZ 151,Decollo,19:10,21:10,TEL AVIV,Estero/Italia,IN RITARDO,2026-08-26 16:42:25
FR 8801,Decollo,19:15,19:15,IBIZA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 16:42:25
FR 7976,Decollo,19:20,19:20,KOS,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 16:42:25
FR 3398,Decollo,19:25,19:25,MALAGA,Estero/Italia,Operativo,2026-08-26 16:42:25
FR 4638,Decollo,19:50,20:45,PORTO,Estero/Italia,IN RITARDO,2026-08-26 16:42:25
FR 2892,Decollo,20:05,20:05,CATANIA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 16:42:25
FR 3665,Decollo,20:10,20:10,NAPOLI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 16:42:25
FR 3501,Decollo,20:10,20:10,PARIS BEAUVAIS,Estero/Italia,Operativo,2026-08-26 16:42:25
FR 859,Decollo,20:15,20:15,BRINDISI,Estero/Italia,Operativo,2026-08-26 16:42:25
FR 3504,Decollo,20:25,20:55,KRAKOW,Estero/Italia,IN RITARDO,2026-08-26 16:42:25
FR 3506,Decollo,20:25,20:25,ALICANTE,Estero/Italia,Operativo,2026-08-26 16:42:25
3F 248,Decollo,20:25,20:53,YEREVAN,Estero/Italia,OPERATO DA AVION EXPRESS,2026-08-26 16:42:25
W4 3608,Decollo,20:30,20:30,SUCEAVA,Estero/Italia,Operativo,2026-08-26 16:42:25
FR 4235,Decollo,20:35,20:35,VILNIUS,Estero/Italia,OPERATO DA BUZZ,2026-08-26 16:42:25
W6 1434,Decollo,20:40,20:40,WARSAW,Estero/Italia,Operativo,2026-08-26 16:42:25
FR 2254,Decollo,20:50,20:50,ALGHERO,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 16:42:25
FR 5092,Decollo,20:50,21:20,LAMEZIA,Estero/Italia,IN RITARDO,2026-08-26 16:42:25
FR 8349,Decollo,20:55,20:55,TIRANA,Estero/Italia,Operativo,2026-08-26 16:42:25
