callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 413,D,THESSALONIKI,17:45,17:45,DECOLLATO,2026-09-23 18:00:25
FR 5494,D,MADRID,17:50,17:50,DECOLLATO,2026-09-23 18:00:25
FR 3673,D,LONDON STANSTED,17:50,17:50,IMBARCO CHIUSO,2026-09-23 18:00:25
FR 3398,D,MALAGA,17:55,17:55,IMBARCO CHIUSO,2026-09-23 18:00:25
FR 6175,D,CATANIA,18:00,19:05,IN RITARDO,2026-09-23 18:00:25
FR 3142,D,BARCELONA EL PRAT,18:05,18:05,IMBARCO ULTIMA CHIAMATA,2026-09-23 18:00:25
FR 820,D,LISBON,18:10,18:10,IMBARCO ULTIMA CHIAMATA,2026-09-23 18:00:25
FR 3460,D,EINDHOVEN,18:20,18:40,IN RITARDO,2026-09-23 18:00:25
FR 3545,D,FEZ,18:20,18:20,IMBARCO IN CORSO,2026-09-23 18:00:25
BZ 155,D,TEL AVIV,18:25,18:25,Operativo,2026-09-23 18:00:25
FR 3392,D,HELSINKI,18:25,18:25,IMBARCO IN CORSO,2026-09-23 18:00:25
FR 3164,D,BUDAPEST,18:25,18:25,IMBARCO IN CORSO,2026-09-23 18:00:25
FR 4658,D,BARI,18:35,18:35,IMBARCO IN CORSO,2026-09-23 18:00:25
FR 3655,D,STOCKHOLM,18:35,18:55,IN RITARDO,2026-09-23 18:00:25
FR 4663,D,VALENCIA,18:40,18:40,OPERATO DA MALTA AIR,2026-09-23 18:00:25
BZ 151,D,TEL AVIV,19:00,20:50,IN RITARDO,2026-09-23 18:00:25
FR 3893,D,CAGLIARI,19:05,19:05,OPERATO DA MALTA AIR,2026-09-23 18:00:25
FR 8801,D,IBIZA,19:15,19:15,Operativo,2026-09-23 18:00:25
FR 7976,D,KOS,19:20,19:20,Operativo,2026-09-23 18:00:25
FR 4638,D,PORTO,19:50,19:50,Operativo,2026-09-23 18:00:25
