flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
FR 3893,Decollo,19:05,21:06,CAGLIARI19:05 | 21:06Decollato,Decollato,2026-06-24 23:00:00
FR 4638,Decollo,19:50,21:40,PORTO19:50 | 21:40Decollato,Decollato,2026-06-24 23:00:00
FR 859,Decollo,20:15,22:00,BRINDISI20:15 | 22:00Decollato,Decollato,2026-06-24 23:00:00
3F 248,Decollo,20:25,21:36,YEREVAN20:25 | 21:36Decollato,Decollato,2026-06-24 23:00:00
FR 3506,Decollo,20:25,21:10,ALICANTE20:25 | 21:10Decollato,Decollato,2026-06-24 23:00:00
W6 1434,Decollo,20:40,22:20,WARSAW20:40 | 22:20Decollato,Decollato,2026-06-24 23:00:00
FR 2254,Decollo,20:50,22:04,ALGHERO20:50 | 22:04Decollato,Decollato,2026-06-24 23:00:00
FR 5092,Decollo,20:50,21:30,LAMEZIA20:50 | 21:30Decollato,Decollato,2026-06-24 23:00:00
W4 3470,Decollo,21:00,21:00,TIRGU MURES21:00 | 21:00Decollato,Decollato,2026-06-24 23:00:00
FR 484,Decollo,21:20,22:30,DUSSELDORF - WEEZE21:20 | 22:30Decollato,Decollato,2026-06-24 23:00:00
FR 4969,Decollo,21:25,22:41,PALERMO21:25 | 22:41Decollato,Decollato,2026-06-24 23:00:00
FR 3219,Decollo,21:30,21:30,MANCHESTER21:30 | 21:30Decollato,Decollato,2026-06-24 23:00:00
FR 3341,Decollo,21:30,21:50,VARSAVIA MODLIN21:30 | 21:50Decollato,Decollato,2026-06-24 23:00:00
FR 7324,Decollo,21:35,22:37,MALTA21:35 | 22:37Decollato,Decollato,2026-06-24 23:00:00
W4 3136,Decollo,21:45,22:27,BUCHAREST BANEASA21:45 | 22:27Decollato,Decollato,2026-06-24 23:00:00
FR 4132,Decollo,21:45,21:45,BARI21:45 | 21:45Decollato,Decollato,2026-06-24 23:00:00
W4 5020,Decollo,21:45,22:43,TIRANA21:45 | 22:43Imbarco chiuso,Imbarco chiuso,2026-06-24 23:00:00
BZ 151,Decollo,21:55,22:50,TEL AVIV21:55 | 22:50Decollato,Decollato,2026-06-24 23:00:00
E5 545,Decollo,22:00,22:00,CAIRO22:00 | 22:00Decollato,Decollato,2026-06-24 23:00:00
W4 3830,Decollo,22:00,22:00,SIBIU22:00 | 22:00Decollato,Decollato,2026-06-24 23:00:00
FR 6501,Decollo,22:10,22:56,OLBIA22:10 | 22:56Decollato,Decollato,2026-06-24 23:00:00
FR 2992,Decollo,22:15,22:15,COPENHAGEN22:15 | 22:15Decollato,Decollato,2026-06-24 23:00:00
FR 5148,Decollo,22:20,22:43,ZADAR22:20 | 22:43Imbarco chiuso,Imbarco chiuso,2026-06-24 23:00:00
W4 3552,Decollo,22:20,22:37,TIMISOARA22:20 | 22:37Decollato,Decollato,2026-06-24 23:00:00
FR 7361,Decollo,22:25,23:15,VIENNA22:25 | 23:15Imbarco chiuso,Imbarco chiuso,2026-06-24 23:00:00
FR 2293,Decollo,22:25,22:50,PESCARA22:25 | 22:50Imbarco chiuso,Imbarco chiuso,2026-06-24 23:00:00
FR 9196,Decollo,22:35,23:08,TRAPANI22:35 | 23:08Imbarco ultima chiamata,Imbarco ultima chiamata,2026-06-24 23:00:00
FR 4188,Decollo,22:40,23:46,LONDON  STANSTED22:40 | 23:46In ritardo,In ritardo,2026-06-24 23:00:00
NP 222,Decollo,23:10,23:10,CAIRO23:10 | 23:10Imbarco ultima chiamata,Imbarco ultima chiamata,2026-06-24 23:00:00
W6 4124,Decollo,23:35,23:35,BELGRADE23:35 | 23:35Imbarco in corso,Imbarco in corso,2026-06-24 23:00:00
FR 6846,Decollo,23:40,23:40,LIVERPOOL23:40 | 23:40Operato da Malta Air,Operato da Malta Air,2026-06-24 23:00:00
FR 1703,Decollo,23:40,23:40,NOTTINGHAM EAST MIDLANDS23:40 | 23:40Imbarco in corso,Imbarco in corso,2026-06-24 23:00:00
NO 2474,Decollo,00:40,00:40,DAKAR00:40 | 00:40,nan,2026-06-24 23:00:00
FR 9065,Decollo,05:45,05:45,ALICANTE05:45 | 05:45,nan,2026-06-24 23:00:00
FR 3432,Decollo,05:45,05:45,PARIS BEAUVAIS05:45 | 05:45,nan,2026-06-24 23:00:00
FR 3528,Decollo,05:45,05:45,PRAGUE05:45 | 05:45,nan,2026-06-24 23:00:00
FR 2830,Decollo,05:50,05:50,TENERIFE05:50 | 05:50,nan,2026-06-24 23:00:00
FR 3200,Decollo,05:50,05:50,CAGLIARI05:50 | 05:50,nan,2026-06-24 23:00:00
FR 2261,Decollo,05:50,05:50,CATANIA05:50 | 05:50,nan,2026-06-24 23:00:00
FR 5655,Decollo,05:55,05:55,PALMA DE MALLORCA05:55 | 05:55,nan,2026-06-24 23:00:00
FR 8121,Decollo,06:00,06:00,TIRANA06:00 | 06:00,nan,2026-06-24 23:00:00
FR 3545,Decollo,06:05,06:05,FEZ06:05 | 06:05,nan,2026-06-24 23:00:00
FR 266,Decollo,06:05,06:05,FUERTEVENTURA06:05 | 06:05,nan,2026-06-24 23:00:00
FR 3400,Decollo,06:15,06:15,SOFIA06:15 | 06:15Operato da Malta Air,Operato da Malta Air,2026-06-24 23:00:00
FR 3653,Decollo,06:20,06:20,BARI06:20 | 06:20,nan,2026-06-24 23:00:00
FR 410,Decollo,06:20,06:20,LUXEMBOURG06:20 | 06:20,nan,2026-06-24 23:00:00
FR 2289,Decollo,06:20,06:20,PALERMO06:20 | 06:20,nan,2026-06-24 23:00:00
FR 6854,Decollo,06:25,06:25,HELSINKI06:25 | 06:25,nan,2026-06-24 23:00:00
FR 5148,Decollo,06:30,06:30,ZADAR06:30 | 06:30Operato da Malta Air,Operato da Malta Air,2026-06-24 23:00:00
FR 4993,Decollo,06:35,06:35,CEFALONIA06:35 | 06:35,nan,2026-06-24 23:00:00
FR 497,Decollo,06:35,06:35,VALENCIA06:35 | 06:35,nan,2026-06-24 23:00:00
FR 2878,Decollo,06:45,06:45,STOCKHOLM06:45 | 06:45,nan,2026-06-24 23:00:00
FR 2285,Decollo,07:10,07:10,NAPOLI07:10 | 07:10,nan,2026-06-24 23:00:00
FR 259,Decollo,07:20,07:20,BUCHAREST OTOPENI07:20 | 07:20,nan,2026-06-24 23:00:00
FR 1853,Decollo,07:25,07:25,MARSEILLE07:25 | 07:25Operato da Malta Air,Operato da Malta Air,2026-06-24 23:00:00
W4 3132,Decollo,07:30,07:30,BUCHAREST BANEASA07:30 | 07:30,nan,2026-06-24 23:00:00
FR 9890,Decollo,07:35,07:35,LODZ07:35 | 07:35,nan,2026-06-24 23:00:00
FR 3408,Decollo,07:55,07:55,KATOWICE07:55 | 07:55Operato da BUZZ,Operato da BUZZ,2026-06-24 23:00:00
