callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 2669,D,BERLIN,05:45,05:45,Operativo,2026-09-19 02:00:20
FR 2254,D,ALGHERO,05:45,05:45,Operativo,2026-09-19 02:00:20
FR 5139,D,FARO,05:50,05:50,Operativo,2026-09-19 02:00:20
FR 6178,D,FUERTEVENTURA,05:55,05:55,Operativo,2026-09-19 02:00:20
FR 3659,D,BRUXELLES CHARLEROI,05:55,06:25,IN RITARDO,2026-09-19 02:00:20
FR 8334,D,IBIZA,06:00,06:00,Operativo,2026-09-19 02:00:20
FR 3545,D,FEZ,06:00,06:00,Operativo,2026-09-19 02:00:20
FR 9196,D,TRAPANI,06:05,06:05,OPERATO DA MALTA AIR,2026-09-19 02:00:20
FR 1176,D,MENORCA,06:05,06:05,Operativo,2026-09-19 02:00:20
FR 3142,D,BARCELONA EL PRAT,06:10,06:10,Operativo,2026-09-19 02:00:20
MT 1160,D,LAMPEDUSA,06:15,06:15,OPERATO DA TRADE AIR,2026-09-19 02:00:20
FR 5120,D,MADRID,06:20,06:20,Operativo,2026-09-19 02:00:20
FR 2285,D,NAPOLI,06:20,06:20,Operativo,2026-09-19 02:00:20
FR 3528,D,PRAGUE,06:30,06:30,OPERATO DA MALTA AIR,2026-09-19 02:00:20
FR 3593,D,POZNAN,06:30,06:30,OPERATO DA MALTA AIR,2026-09-19 02:00:20
FR 8121,D,TIRANA,06:35,06:35,OPERATO DA MALTA AIR,2026-09-19 02:00:20
FR 1417,D,LAMEZIA,06:45,06:45,Operativo,2026-09-19 02:00:20
FR 2261,D,CATANIA,06:45,06:45,Operativo,2026-09-19 02:00:20
FR 3400,D,SOFIA,06:45,06:45,Operativo,2026-09-19 02:00:20
NO 6485,D,IBIZA,07:00,07:00,Operativo,2026-09-19 02:00:20
FR 1746,D,KNOCK,07:20,07:20,OPERATO DA MALTA AIR,2026-09-19 02:00:20
FR 1853,D,MARSEILLE,07:25,07:25,OPERATO DA MALTA AIR,2026-09-19 02:00:20
FR 4663,D,VALENCIA,07:25,07:25,Operativo,2026-09-19 02:00:20
W4 3132,D,BUCHAREST BANEASA,07:30,07:30,OPERATO DA WIZZAIR HUNGARY,2026-09-19 02:00:20
FR 1533,D,VIENNA,07:35,07:35,OPERATO DA LAUDA EUROPE,2026-09-19 02:00:20
FR 413,D,THESSALONIKI,07:50,07:50,OPERATO DA MALTA AIR,2026-09-19 02:00:20
FR 5980,D,TOULOUSE,07:55,07:55,OPERATO DA MALTA AIR,2026-09-19 02:00:20
W4 3672,D,IASI,08:00,08:00,OPERATO DA WIZZAIR HUNGARY,2026-09-19 02:00:20
DN 422,D,BACAU,08:05,08:05,Operativo,2026-09-19 02:00:20
FR 2107,D,BUDAPEST,08:10,08:10,OPERATO DA BUZZ,2026-09-19 02:00:20
FR 6149,D,PALERMO,08:10,08:10,Operativo,2026-09-19 02:00:20
W6 4352,D,SOFIA,08:10,08:10,OPERATO DA WIZZAIR MALTA,2026-09-19 02:00:20
FR 888,D,KRAKOW,08:10,08:10,Operativo,2026-09-19 02:00:20
FR 2864,D,BRINDISI,08:15,08:15,Operativo,2026-09-19 02:00:20
FR 3396,D,CROTONE,08:45,08:45,Operativo,2026-09-19 02:00:20
