callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 3273,D,AGADIR,11:25,12:30,IMBARCO CHIUSO,2026-09-13 12:00:21
PC 1212,D,ISTANBUL S. GOKCEN,11:45,12:07,IMBARCO CHIUSO,2026-09-13 12:00:21
AZ 7048,D,ISTANBUL S. GOKCEN,11:45,12:07,IMBARCO CHIUSO,2026-09-13 12:00:21
FR 2888,D,CATANIA,11:55,12:35,IN RITARDO,2026-09-13 12:00:21
FR 847,D,BARCELONA EL PRAT,11:55,11:55,IMBARCO CHIUSO,2026-09-13 12:00:21
FR 497,D,VALENCIA,12:00,12:00,IMBARCO CHIUSO,2026-09-13 12:00:21
FR 5102,D,BIRMINGHAM,12:05,12:05,IMBARCO CHIUSO,2026-09-13 12:00:21
E5 543,D,CAIRO,12:20,12:20,IMBARCO IN CORSO,2026-09-13 12:00:21
FR 845,D,CLUJ-NAPOCA,12:20,12:40,IN RITARDO,2026-09-13 12:00:21
FR 5980,D,TOULOUSE,12:30,13:55,IN RITARDO,2026-09-13 12:00:21
FR 2872,D,VILNIUS,12:35,12:35,IMBARCO IN CORSO,2026-09-13 12:00:21
FR 2697,D,LONDON STANSTED,12:45,12:45,Operativo,2026-09-13 12:00:21
VF 062,D,ISTANBUL S. GOKCEN,12:45,12:45,Operativo,2026-09-13 12:00:21
FR 1784,D,COPENHAGEN,12:50,12:50,Operativo,2026-09-13 12:00:21
FR 3593,D,POZNAN,13:00,13:00,Operativo,2026-09-13 12:00:21
D8 3751,D,COPENHAGEN,13:00,13:00,Operativo,2026-09-13 12:00:21
FR 2858,D,BRINDISI,13:15,13:15,Operativo,2026-09-13 12:00:21
FR 1319,D,ATHENS,13:15,13:15,OPERATO DA MALTA AIR,2026-09-13 12:00:21
G9 794,D,SHARJAH,13:20,13:20,Operativo,2026-09-13 12:00:21
FR 8801,D,IBIZA,13:20,13:55,IN RITARDO,2026-09-13 12:00:21
W4 3770,D,CRAIOVA,13:25,13:25,Operativo,2026-09-13 12:00:21
EK 2141,D,DUBAI,13:40,13:40,Operativo,2026-09-13 12:00:21
FZ 1574,D,DUBAI,13:40,13:40,Operativo,2026-09-13 12:00:21
FR 1176,D,MENORCA,13:55,13:55,OPERATO DA MALTA AIR,2026-09-13 12:00:21
NO 7226,D,RHODES/HERAKLION,14:10,14:10,Operativo,2026-09-13 12:00:21
FR 3112,D,IASI,14:10,14:10,OPERATO DA MALTA AIR,2026-09-13 12:00:21
FR 6513,D,OLBIA,14:20,14:20,Operativo,2026-09-13 12:00:21
FR 2289,D,PALERMO,14:30,14:30,OPERATO DA MALTA AIR,2026-09-13 12:00:21
FR 4001,D,LANZAROTE,14:40,14:40,OPERATO DA MALTA AIR,2026-09-13 12:00:21
FR 2669,D,BERLIN,14:45,14:45,OPERATO DA MALTA AIR,2026-09-13 12:00:21
FR 3645,D,EDINBURGH,14:55,14:55,OPERATO DA MALTA AIR,2026-09-13 12:00:21
A9 732,D,TBILISI,15:00,15:00,Operativo,2026-09-13 12:00:21
FR 2739,D,LONDON STANSTED,15:00,15:00,Operativo,2026-09-13 12:00:21
FR 219,D,ALICANTE,15:05,15:05,Operativo,2026-09-13 12:00:21
FR 5407,D,PRAGUE,15:10,15:10,Operativo,2026-09-13 12:00:21
FR 3413,D,KATOWICE,15:20,15:20,OPERATO DA BUZZ,2026-09-13 12:00:21
FR 3988,D,PREVEZA,15:25,15:25,Operativo,2026-09-13 12:00:21
FR 1853,D,MARSEILLE,15:30,15:30,OPERATO DA MALTA AIR,2026-09-13 12:00:21
W4 3772,D,CRAIOVA,15:30,15:30,Operativo,2026-09-13 12:00:21
FR 2864,D,BRINDISI,15:35,15:35,Operativo,2026-09-13 12:00:21
W4 5018,D,TIRANA,15:45,15:45,OPERATO DA WIZZAIR HUNGARY,2026-09-13 12:00:21
FR 3561,D,NAPOLI,15:50,15:50,Operativo,2026-09-13 12:00:21
D8 3881,D,BILLUND,16:00,16:00,Operativo,2026-09-13 12:00:21
FR 3559,D,BRISTOL,16:05,16:05,Operativo,2026-09-13 12:00:21
FR 3537,D,EINDHOVEN,16:05,16:05,Operativo,2026-09-13 12:00:21
FR 6175,D,CATANIA,16:10,16:10,OPERATO DA MALTA AIR,2026-09-13 12:00:21
FR 1703,D,NOTTINGHAM EAST MIDLANDS,16:15,16:15,OPERATO DA MALTA AIR,2026-09-13 12:00:21
FR 5113,D,CROTONE,16:20,16:20,Operativo,2026-09-13 12:00:21
FR 8349,D,TIRANA,16:20,16:20,OPERATO DA BUZZ,2026-09-13 12:00:21
XZ 2824,D,CATANIA,16:30,16:30,Operativo,2026-09-13 12:00:21
FR 484,D,DUSSELDORF - WEEZE,16:30,16:30,Operativo,2026-09-13 12:00:21
AP 3639,D,MARSA ALAM,16:50,16:50,Operativo,2026-09-13 12:00:21
FR 3319,D,BARCELONA EL PRAT,16:55,16:55,Operativo,2026-09-13 12:00:21
FR 6257,D,KRAKOW,17:10,17:10,OPERATO DA BUZZ,2026-09-13 12:00:21
AZ 7058,D,ISTANBUL S. GOKCEN,17:15,17:15,Operativo,2026-09-13 12:00:21
PC 1214,D,ISTANBUL S. GOKCEN,17:15,17:15,Operativo,2026-09-13 12:00:21
FR 3530,D,PRAGUE,17:20,17:20,Operativo,2026-09-13 12:00:21
FR 4845,D,DUBLIN,17:25,17:25,Operativo,2026-09-13 12:00:21
FR 3587,D,OSLO TORP,17:30,17:30,Operativo,2026-09-13 12:00:21
FR 3661,D,SOFIA,17:30,17:30,OPERATO DA BUZZ Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-09-13 12:00:21
