timestamp,callsign,icao24,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese,sessione_notturna
2026-09-21 23:01:12,RYR39BB,4ca4ee,RWY 28,Atterraggio,Est -> Ovest,190,284.8,1.87,Ireland,2026-09-21
2026-09-21 23:03:13,RYR6YM,48c12c,RWY 10,Avvicinamento,Ovest -> Est,708,115.91,5.76,Poland,2026-09-21
2026-09-21 23:03:13,RYR18XM,4cadf8,N/D,Sorvolo,N/D,11887,227.3,11.13,Ireland,2026-09-21
2026-09-21 23:09:19,EXS3AD,408356,N/D,Sorvolo,N/D,10980,312.48,11.26,United Kingdom,2026-09-21
2026-09-21 23:11:20,ICV9261,4d010c,N/D,Sorvolo,N/D,4975,100.99,11.71,Luxembourg,2026-09-21
2026-09-21 23:15:24,DHX752,8940ba,N/D,Sorvolo,N/D,5814,87.06,12.31,Bahrain,2026-09-21
2026-09-21 23:19:26,THY6AM,4bb28a,N/D,Sorvolo,N/D,6126,270.15,9.25,Turkey,2026-09-21
2026-09-21 23:19:26,WZZ6255,471fad,RWY 28,Atterraggio,Est -> Ovest,190,284.74,2.0,Hungary,2026-09-21
2026-09-21 23:25:29,RYR8SL,4d2208,RWY 28,Atterraggio,Est -> Ovest,182,284.8,1.92,Malta,2026-09-21
2026-09-21 23:25:29,EXS38HA,407180,N/D,Sorvolo,N/D,10972,321.6,12.32,United Kingdom,2026-09-21
2026-09-21 23:27:30,BCS943,451dbd,N/D,Sorvolo,N/D,3992,254.92,12.53,Bulgaria,2026-09-21
2026-09-21 23:29:31,RYR69NV,4caf34,RWY 28,Atterraggio,Est -> Ovest,182,284.93,1.87,Ireland,2026-09-21
2026-09-21 23:39:40,RYR42UP,4caf29,RWY 28,Atterraggio,Est -> Ovest,182,284.41,1.88,Ireland,2026-09-21
2026-09-21 23:45:43,RYR13HB,4cade6,RWY 28,Atterraggio,Est -> Ovest,182,284.23,2.02,Ireland,2026-09-21
2026-09-21 23:45:43,EWG2EG,4d2006,N/D,Sorvolo,N/D,10972,41.47,5.55,Malta,2026-09-21
2026-09-21 23:59:54,NIA322,0102b4,N/D,Avvicinamento,Rotta 232.2°,1463,232.17,7.11,Egypt,2026-09-21
2026-09-22 00:08:02,BCS4HG,3c1bab,N/D,Sorvolo,N/D,7368,76.22,13.81,Germany,2026-09-21
2026-09-22 00:10:03,EJU95JU,440128,N/D,Sorvolo,N/D,6179,259.24,8.16,Austria,2026-09-21
2026-09-22 00:10:03,RYR8LX,4ca245,RWY 28,Atterraggio,Est -> Ovest,182,284.78,1.95,Ireland,2026-09-21
2026-09-22 00:16:06,RYR7BE,4ca568,RWY 28,Atterraggio,Est -> Ovest,182,284.51,1.94,Ireland,2026-09-21
2026-09-22 00:18:07,RYR35ZQ,4cade5,RWY 28,Atterraggio,Est -> Ovest,182,284.67,1.96,Ireland,2026-09-21
2026-09-22 00:20:08,RYR1WF,4ca263,RWY 28,Atterraggio,Est -> Ovest,182,284.7,1.97,Ireland,2026-09-21
2026-09-22 00:22:09,BCS7015,440bca,N/D,Sorvolo,N/D,11582,315.86,8.31,Austria,2026-09-21
2026-09-22 00:24:10,RYR8HM,4d234b,RWY 28,Atterraggio,Est -> Ovest,182,284.31,1.92,Malta,2026-09-21
2026-09-22 00:28:12,TUA450,60182b,N/D,Sorvolo,N/D,6888,94.96,7.73,Turkmenistan,2026-09-21
2026-09-22 00:36:16,RYR43PX,4caea0,RWY 28,Atterraggio,Est -> Ovest,182,285.95,2.03,Ireland,2026-09-21
2026-09-22 00:38:17,RYR13PK,4d2270,RWY 28,Atterraggio,Est -> Ovest,182,284.8,1.93,Malta,2026-09-21
2026-09-22 00:38:17,RYR19SV,4ca9c1,N/D,Sorvolo,N/D,11277,226.29,12.49,Ireland,2026-09-21
2026-09-22 00:40:18,P4OWL,48434d,RWY 28,Atterraggio,Est -> Ovest,190,285.07,1.96,Kingdom of the Netherlands,2026-09-21
2026-09-22 00:44:20,RYR4787,4cadef,RWY 28,Atterraggio,Est -> Ovest,182,285.46,1.94,Ireland,2026-09-21
2026-09-22 00:44:20,ABR177,4caca2,N/D,Sorvolo,N/D,5890,303.85,3.94,Ireland,2026-09-21
2026-09-22 00:48:22,RYR84RP,4d2385,RWY 28,Atterraggio,Est -> Ovest,190,285.15,2.03,Malta,2026-09-21
2026-09-22 00:50:23,RYR49HY,4ca64e,RWY 28,Atterraggio,Est -> Ovest,190,284.78,2.04,Ireland,2026-09-21
2026-09-22 00:58:31,RYR29CD,4ca6aa,RWY 28,Atterraggio,Est -> Ovest,190,284.98,2.02,Ireland,2026-09-21
2026-09-22 01:00:32,RYR52TC,4d2269,RWY 28,Atterraggio,Est -> Ovest,182,284.4,2.03,Malta,2026-09-21
2026-09-22 01:04:34,RYR90RC,4d220c,RWY 28,Atterraggio,Est -> Ovest,190,284.59,2.04,Malta,2026-09-21
2026-09-22 01:08:36,RUK25MG,407cb4,RWY 28,Atterraggio,Est -> Ovest,190,284.91,2.11,United Kingdom,2026-09-21
2026-09-22 01:14:39,RYR252,48c238,RWY 28,Atterraggio,Est -> Ovest,182,285.15,2.04,Poland,2026-09-21
2026-09-22 01:16:40,RYR6MJ,4ca2ab,RWY 28,Atterraggio,Est -> Ovest,190,284.32,2.05,Ireland,2026-09-21
2026-09-22 01:18:41,RYR5DN,4d2350,RWY 28,Atterraggio,Est -> Ovest,182,284.88,2.06,Malta,2026-09-21
2026-09-22 01:22:44,RYR465X,4cadfe,RWY 28,Atterraggio,Est -> Ovest,190,284.6,2.13,Ireland,2026-09-21
2026-09-22 02:01:37,RYR200F,4d2518,N/D,Sorvolo,N/D,37000,226.05,12.06,N/D,2026-09-21
2026-09-22 02:48:35,RYR2UJ,4d2237,RWY 28,Atterraggio,Est -> Ovest,205,284.8,2.47,Malta,2026-09-21
2026-09-22 03:33:32,SRR6402,45cf24,N/D,Avvicinamento,Rotta 159.7°,3040,159.66,0.74,Denmark,2026-09-21
2026-09-22 05:09:30,AEG432,5110c8,N/D,Sorvolo,N/D,6096,317.02,10.73,Estonia,2026-09-21
2026-09-22 05:09:30,SRR6498,45cf21,RWY 28,Atterraggio,Est -> Ovest,198,285.22,2.04,Denmark,2026-09-21
2026-09-22 05:27:50,WMT5GC,4d2022,N/D,Sorvolo,N/D,6934,78.42,11.74,Malta,2026-09-21
2026-09-22 05:48:13,UNKNOWN,4cae6b,RWY 10,Decollo,Ovest -> Est,274,103.62,1.9,Ireland,2026-09-21
