callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 2892,D,PALERMO,20:05,22:45,IMBARCO CHIUSO,2026-09-26 21:53:40
DY 1849,D,BERGEN,20:05,21:27,DECOLLATO,2026-09-26 21:53:40
FR 4631,D,VALENCIA,20:45,22:50,IN RITARDO,2026-09-26 21:53:40
FR 2735,D,LONDON STANSTED,20:50,21:50,IMBARCO CHIUSO,2026-09-26 21:53:40
W6 1434,D,WARSAW,21:10,22:07,IMBARCO ULTIMA CHIAMATA,2026-09-26 21:53:40
FR 484,D,DUSSELDORF - WEEZE,21:20,22:05,IMBARCO IN CORSO,2026-09-26 21:53:40
FR 4969,D,PALERMO,21:20,21:20,IMBARCO CHIUSO,2026-09-26 21:53:40
FR 5934,D,DUBROVNIK,21:25,21:25,DECOLLATO,2026-09-26 21:53:40
FR 3440,D,LAMEZIA,21:25,21:46,DECOLLATO,2026-09-26 21:53:40
FR 4650,D,TRAPANI,21:30,21:59,IMBARCO ULTIMA CHIAMATA,2026-09-26 21:53:40
FR 4132,D,BARI,21:35,21:35,DECOLLATO,2026-09-26 21:53:40
FR 6501,D,OLBIA,21:35,21:35,DECOLLATO,2026-09-26 21:53:40
W4 5020,D,TIRANA,21:45,21:45,IMBARCO ULTIMA CHIAMATA,2026-09-26 21:53:40
W4 3136,D,BUCHAREST BANEASA,21:45,21:45,IMBARCO CHIUSO,2026-09-26 21:53:40
W4 3932,D,CHISINAU,21:50,21:50,IMBARCO CHIUSO,2026-09-26 21:53:40
W6 4508,D,VARNA,22:10,22:10,IMBARCO IN CORSO,2026-09-26 21:53:40
FR 6991,D,RABAT,22:10,22:10,IMBARCO ULTIMA CHIAMATA,2026-09-26 21:53:40
FR 3280,D,GDANSK - DANZICA,22:20,22:20,IMBARCO IN CORSO,2026-09-26 21:53:40
G9 696,D,SHARJAH,22:50,22:50,Operativo,2026-09-26 21:53:40
FR 8844,D,WROCLAW - BRESLAVIA,22:55,22:55,OPERATO DA BUZZ,2026-09-26 21:53:40
FR 5999,D,ZAGREB,23:05,23:05,OPERATO DA LAUDA EUROPE,2026-09-26 21:53:40
FR 3408,D,KATOWICE,23:10,23:10,OPERATO DA BUZZ,2026-09-26 21:53:40
FR 3535,D,KRAKOW,23:15,23:15,OPERATO DA BUZZ,2026-09-26 21:53:40
W6 4124,D,BELGRADE,23:35,23:35,Operativo,2026-09-26 21:53:40
FR 6086,D,KALAMATA,05:45,05:45,Operativo,2026-09-26 21:53:40
FR 2830,D,TENERIFE,05:50,05:50,Operativo,2026-09-26 21:53:40
FR 2293,D,PESCARA,05:55,05:55,OPERATO DA MALTA AIR,2026-09-26 21:53:40
FR 8511,D,BENI MELLAL,05:55,05:55,Operativo,2026-09-26 21:53:40
FR 2254,D,ALGHERO,05:55,05:55,Operativo,2026-09-26 21:53:40
FR 3200,D,CAGLIARI,06:00,06:00,OPERATO DA MALTA AIR,2026-09-26 21:53:40
