timestamp,sessione_notturna,callsign,icao24,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese
2026-09-10 23:15:42,2026-09-10,RYR8383,4d251d,N/D,Sorvolo,N/D,2407,152.89,17.02,Malta
2026-09-10 23:15:42,2026-09-10,RYR45MZ,4cade3,N/D,Transito,N/D,3901,49.44,24.94,Ireland
2026-09-10 23:15:42,2026-09-10,WMT2402,4d20f3,N/D,Sorvolo,N/D,4853,255.1,14.86,Malta
2026-09-10 23:17:28,2026-09-10,RYR15HE,48c22e,N/D,Avvicinamento,Rotta 155.8°,3017,155.83,7.0,Poland
2026-09-10 23:17:28,2026-09-10,WMT2402,4d20f3,N/D,Transito,N/D,4030,254.83,23.09,Malta
2026-09-10 23:17:43,2026-09-10,RYR15HE,48c22e,N/D,Avvicinamento,Rotta 155.8°,3017,155.83,7.13,Poland
2026-09-10 23:17:43,2026-09-10,WMT2402,4d20f3,N/D,Transito,N/D,4023,254.83,23.21,Malta
2026-09-10 23:19:29,2026-09-10,RYR15HE,48c22e,N/D,Transito,N/D,2735,171.16,20.68,Poland
2026-09-10 23:19:29,2026-09-10,RYR3388,4cad0f,N/D,Transito,N/D,7612,93.92,20.2,Ireland
2026-09-10 23:19:44,2026-09-10,RYR3388,4cad0f,N/D,Sorvolo,N/D,7840,93.88,15.62,Ireland
2026-09-10 23:21:30,2026-09-10,RYR74UN,4d23fa,N/D,Sorvolo,N/D,3931,126.41,15.75,Malta
2026-09-10 23:21:30,2026-09-10,RYR3388,4cad0f,N/D,Sorvolo,N/D,8450,94.07,7.56,Ireland
2026-09-10 23:21:45,2026-09-10,RYR74UN,4d23fa,N/D,Sorvolo,N/D,3924,126.41,15.58,Malta
2026-09-10 23:21:45,2026-09-10,RYR3388,4cad0f,N/D,Sorvolo,N/D,8458,94.07,7.77,Ireland
2026-09-10 23:23:31,2026-09-10,RYR74UN,4d23fa,N/D,Avvicinamento,Rotta 145.2°,3078,145.2,1.15,Malta
2026-09-10 23:23:31,2026-09-10,UNKNOWN,4d2493,RWY 10,Decollo,Ovest -> Est,251,104.91,1.03,Malta
2026-09-10 23:23:31,2026-09-10,BAW544K,4081bd,N/D,Transito,N/D,9563,152.57,24.35,United Kingdom
2026-09-10 23:23:46,2026-09-10,RYR74UN,4d23fa,N/D,Avvicinamento,Rotta 157.1°,3009,157.05,3.84,Malta
2026-09-10 23:23:46,2026-09-10,WMT9SG,4d2493,RWY 10,Decollo,Ovest -> Est,495,104.04,2.56,Malta
2026-09-10 23:23:46,2026-09-10,BAW544K,4081bd,N/D,Transito,N/D,9471,159.55,25.7,United Kingdom
2026-09-10 23:25:32,2026-09-10,BCS4243,452084,N/D,Transito,N/D,6073,223.97,21.21,Bulgaria
2026-09-10 23:25:32,2026-09-10,RYR74UN,4d23fa,N/D,Sorvolo,N/D,2865,156.83,16.2,Malta
2026-09-10 23:25:32,2026-09-10,WMT9SG,4d2493,N/D,Avvicinamento,Rotta 227.4°,1554,227.37,9.05,Malta
2026-09-10 23:25:32,2026-09-10,UNKNOWN,4d2245,RWY 10,Decollo,Ovest -> Est,266,104.29,1.58,Malta
2026-09-10 23:25:47,2026-09-10,BCS4243,452084,N/D,Sorvolo,N/D,5615,223.97,20.0,Bulgaria
2026-09-10 23:25:47,2026-09-10,RYR74UN,4d23fa,N/D,Sorvolo,N/D,2796,171.41,19.95,Malta
2026-09-10 23:25:47,2026-09-10,WMT9SG,4d2493,N/D,Sorvolo,N/D,2087,172.66,11.55,Malta
2026-09-10 23:25:47,2026-09-10,RYR538B,4d2245,RWY 10,Decollo,Ovest -> Est,716,104.91,4.27,Malta
2026-09-10 23:27:33,2026-09-10,AIC2018,8015cd,N/D,Sorvolo,N/D,10660,127.41,11.97,India
2026-09-10 23:27:33,2026-09-10,RYR2UW,4ca8d4,N/D,Sorvolo,N/D,3878,112.76,19.32,Ireland
2026-09-10 23:27:33,2026-09-10,WMT9SG,4d2493,N/D,Sorvolo,N/D,3322,63.95,18.5,Malta
2026-09-10 23:27:33,2026-09-10,RYR538B,4d2245,N/D,Avvicinamento,Rotta 232.4°,1333,232.4,9.76,Malta
2026-09-10 23:27:48,2026-09-10,AIC2018,8015cd,N/D,Sorvolo,N/D,10668,127.5,9.35,India
2026-09-10 23:27:48,2026-09-10,RYR2UW,4ca8d4,N/D,Sorvolo,N/D,3802,113.02,17.66,Ireland
2026-09-10 23:27:48,2026-09-10,WMT9SG,4d2493,N/D,Sorvolo,N/D,3390,64.01,19.3,Malta
2026-09-10 23:27:48,2026-09-10,RYR538B,4d2245,N/D,Sorvolo,N/D,1485,232.25,10.44,Malta
2026-09-10 23:29:34,2026-09-10,AIC2018,8015cd,N/D,Sorvolo,N/D,10660,127.68,18.35,India
2026-09-10 23:29:34,2026-09-10,RYR15HE,48c22e,N/D,Transito,N/D,1699,330.85,26.25,Poland
2026-09-10 23:29:34,2026-09-10,RYR2UW,4ca8d4,N/D,Avvicinamento,Rotta 121.2°,3345,121.16,2.75,Ireland
2026-09-10 23:29:49,2026-09-10,AIC2018,8015cd,N/D,Transito,N/D,10668,127.7,23.03,India
2026-09-10 23:29:49,2026-09-10,RYR15HE,48c22e,N/D,Transito,N/D,1569,328.9,24.38,Poland
2026-09-10 23:29:49,2026-09-10,RYR2UW,4ca8d4,N/D,Avvicinamento,Rotta 130.1°,3352,130.11,0.48,Ireland
2026-09-10 23:31:35,2026-09-10,RYR15HE,48c22e,N/D,Sorvolo,N/D,998,284.33,16.58,Poland
2026-09-10 23:31:35,2026-09-10,RYR2UW,4ca8d4,N/D,Sorvolo,N/D,2773,156.2,12.65,Ireland
2026-09-10 23:31:50,2026-09-10,RYR15HE,48c22e,N/D,Sorvolo,N/D,891,285.09,14.58,Poland
