timestamp,sessione_notturna,callsign,icao24,modello_aereo,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,a_terra,paese
2026-08-27 21:38:33,2026-08-27,WMT927,471f5d,N/D,RWY 28,Atterraggio,Est -> Ovest,213,285.15,1.98,False,Hungary
2026-08-27 21:38:33,2026-08-27,RYR52MH,4ca569,N/D,RWY 28,Atterraggio,Est -> Ovest,205,285.15,1.85,False,Ireland
