callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 1417,D,LAMEZIA,11:15,11:51,DECOLLATO,2026-09-17 12:00:23
FR 1784,D,COPENHAGEN,11:35,12:44,IN RITARDO,2026-09-17 12:00:23
FR 4658,D,BARI,11:35,13:55,IN RITARDO,2026-09-17 12:00:23
FR 4650,D,TRAPANI,11:35,14:00,IN RITARDO,2026-09-17 12:00:23
AZ 7048,D,ISTANBUL S. GOKCEN,11:45,11:45,IMBARCO CHIUSO,2026-09-17 12:00:23
PC 1212,D,ISTANBUL S. GOKCEN,11:45,11:45,IMBARCO CHIUSO,2026-09-17 12:00:23
FR 7324,D,MALTA,11:45,12:07,IMBARCO ULTIMA CHIAMATA,2026-09-17 12:00:23
FR 6257,D,KRAKOW,11:55,11:55,IMBARCO CHIUSO,2026-09-17 12:00:23
FR 2872,D,VILNIUS,12:05,12:05,IMBARCO ULTIMA CHIAMATA,2026-09-17 12:00:23
FR 845,D,CLUJ-NAPOCA,12:05,12:50,IN RITARDO,2026-09-17 12:00:23
FR 3450,D,TANGIER,12:15,12:15,IMBARCO CHIUSO,2026-09-17 12:00:23
V7 2211,D,NANTES,12:35,12:35,OPERATO DA CARPATAIR,2026-09-17 12:00:23
VF 062,D,ISTANBUL S. GOKCEN,12:45,12:45,Operativo,2026-09-17 12:00:23
FR 2669,D,BERLIN,12:45,14:05,IN RITARDO,2026-09-17 12:00:23
FR 5139,D,FARO,12:55,12:55,OPERATO DA MALTA AIR,2026-09-17 12:00:23
D8 3751,D,COPENHAGEN,12:55,12:55,Operativo,2026-09-17 12:00:23
FR 3142,D,BARCELONA EL PRAT,12:55,12:55,Operativo,2026-09-17 12:00:23
FR 3217,D,MANCHESTER,13:05,13:05,OPERATO DA MALTA AIR,2026-09-17 12:00:23
FR 6125,D,DUBLIN,13:20,13:20,OPERATO DA MALTA AIR,2026-09-17 12:00:23
FR 2864,D,BRINDISI,13:25,13:25,OPERATO DA MALTA AIR,2026-09-17 12:00:23
W4 3772,D,CRAIOVA,13:25,14:13,IN RITARDO,2026-09-17 12:00:23
FR 2697,D,LONDON STANSTED,13:25,13:44,IN RITARDO,2026-09-17 12:00:23
FR 5531,D,COLOGNE,13:30,13:30,Operativo,2026-09-17 12:00:23
FZ 1574,D,DUBAI,13:40,13:40,Operativo,2026-09-17 12:00:23
EK 2141,D,DUBAI,13:40,13:40,Operativo,2026-09-17 12:00:23
FR 4001,D,LANZAROTE,13:50,13:50,OPERATO DA MALTA AIR,2026-09-17 12:00:23
FR 2289,D,PALERMO,14:10,14:10,Operativo,2026-09-17 12:00:23
SM 832,D,SHARM EL SHEIKH,14:25,14:25,Operativo,2026-09-17 12:00:23
FR 2254,D,ALGHERO,14:25,14:25,Operativo,2026-09-17 12:00:23
FR 6513,D,OLBIA,14:35,14:35,OPERATO DA MALTA AIR,2026-09-17 12:00:23
FR 219,D,ALICANTE,14:50,15:15,IN RITARDO,2026-09-17 12:00:23
FR 3460,D,EINDHOVEN,14:55,14:55,Operativo,2026-09-17 12:00:23
FR 3480,D,CAGLIARI,14:55,16:00,IN RITARDO,2026-09-17 12:00:23
FR 6703,D,SKIATHOS,15:35,16:10,IN RITARDO,2026-09-17 12:00:23
FR 3396,D,CROTONE,15:35,16:10,IN RITARDO,2026-09-17 12:00:23
FR 1903,D,VARSAVIA MODLIN,15:40,16:00,IN RITARDO,2026-09-17 12:00:23
FR 3530,D,PRAGUE,15:45,16:05,IN RITARDO,2026-09-17 12:00:23
FR 3319,D,BARCELONA EL PRAT,15:45,15:45,Operativo,2026-09-17 12:00:23
W4 5018,D,TIRANA,15:45,15:45,OPERATO DA WIZZAIR HUNGARY,2026-09-17 12:00:23
FR 3561,D,NAPOLI,15:50,15:50,Operativo,2026-09-17 12:00:23
FR 1176,D,MENORCA,15:50,15:50,OPERATO DA MALTA AIR,2026-09-17 12:00:23
FR 865,D,BUCHAREST OTOPENI,16:00,16:00,Operativo,2026-09-17 12:00:23
FR 5102,D,BIRMINGHAM,16:05,16:05,Operativo,2026-09-17 12:00:23
FR 4042,D,PORTO,16:25,16:45,IN RITARDO,2026-09-17 12:00:23
FR 6149,D,PALERMO,16:40,18:05,IN RITARDO,2026-09-17 12:00:23
FR 8800,D,IBIZA,16:55,17:40,IN RITARDO,2026-09-17 12:00:23
FR 4663,D,VALENCIA,17:05,17:05,Operativo,2026-09-17 12:00:23
FR 5108,D,LOURDES,17:05,17:05,Operativo,2026-09-17 12:00:23
FR 4475,D,BRUXELLES CHARLEROI,17:15,17:15,Operativo,2026-09-17 12:00:23
PC 1214,D,ISTANBUL S. GOKCEN,17:15,17:15,Operativo,2026-09-17 12:00:23
FR 3559,D,BRISTOL,17:15,17:15,Operativo,2026-09-17 12:00:23
AZ 7058,D,ISTANBUL S. GOKCEN,17:15,17:15,Operativo,2026-09-17 12:00:23
FR 3587,D,OSLO TORP,17:20,17:20,Operativo,2026-09-17 12:00:23
FR 4667,D,BARI,17:25,17:25,Operativo,2026-09-17 12:00:23
FR 7976,D,KOS,17:45,17:45,Operativo,2026-09-17 12:00:23
FR 8421,D,TIRANA,17:55,17:55,OPERATO DA BUZZ,2026-09-17 12:00:23
FR 3402,D,MARRAKECH,17:55,17:55,Operativo,2026-09-17 12:00:23
