timestamp,callsign,icao24,pista,fase_volo,direzione,quota_ft,rotta_deg,distanza_km,paese,sessione_notturna
2026-09-25 23:01:13,RYR13HB,48c1a4,RWY 28,Atterraggio,Est -> Ovest,167,284.59,1.86,Poland,2026-09-25
2026-09-25 23:01:13,RYR9AZ,4d2385,RWY 28,Atterraggio,Est -> Ovest,167,284.96,1.96,Malta,2026-09-25
2026-09-25 23:03:14,WZZ6255,471fa3,RWY 28,Atterraggio,Est -> Ovest,175,284.74,1.88,Hungary,2026-09-25
2026-09-25 23:05:15,CHZ4996,4d24c0,N/D,Sorvolo,N/D,10363,283.67,6.6,Malta,2026-09-25
2026-09-25 23:07:16,RYR1KW,4caf28,N/D,Avvicinamento,Rotta 209.9°,1173,209.92,7.6,Ireland,2026-09-25
2026-09-25 23:09:17,KAL928,71c537,N/D,Sorvolo,N/D,6065,103.23,10.58,Republic of Korea,2026-09-25
2026-09-25 23:09:17,RYR899T,4d22bb,N/D,Avvicinamento,Rotta 233.8°,1546,233.76,8.89,Malta,2026-09-25
2026-09-25 23:15:20,SRR6401,45cf24,RWY 34,Avvicinamento,Sud -> Nord,4640,351.79,6.01,Denmark,2026-09-25
2026-09-25 23:17:21,BCS947,451dad,N/D,Sorvolo,N/D,5623,260.33,8.13,Bulgaria,2026-09-25
2026-09-25 23:21:23,RYR7CE,4ca704,RWY 28,Atterraggio,Est -> Ovest,167,284.7,1.87,Ireland,2026-09-25
2026-09-25 23:21:23,THY6AM,4bb285,RWY 28,Avvicinamento,Est -> Ovest,4076,259.54,8.44,Turkey,2026-09-25
2026-09-25 23:23:24,RYR36VA,4d226f,N/D,Sorvolo,N/D,6073,118.53,9.23,Malta,2026-09-25
2026-09-25 23:23:24,RYR50UT,4d234c,N/D,Avvicinamento,Rotta 131.4°,762,131.4,6.42,Malta,2026-09-25
2026-09-25 23:25:25,RYR63AB,4ca811,RWY 16,Avvicinamento,Nord -> Sud,990,189.72,7.66,Ireland,2026-09-25
2026-09-25 23:27:27,RYR4BN,4cae64,N/D,Avvicinamento,Rotta 214.4°,937,214.44,8.34,Ireland,2026-09-25
2026-09-25 23:31:31,DHX752,8940cf,N/D,Sorvolo,N/D,5295,105.52,11.07,Bahrain,2026-09-25
2026-09-25 23:33:32,RYR2DL,48c2a6,RWY 10,Avvicinamento,Ovest -> Est,708,106.32,5.32,Poland,2026-09-25
2026-09-25 23:41:41,RYR7HH,48c1a6,RWY 10,Decollo,Ovest -> Est,662,104.61,4.14,Poland,2026-09-25
2026-09-25 23:53:47,RYR86JJ,4ca6fb,RWY 28,Atterraggio,Est -> Ovest,167,284.04,1.85,Ireland,2026-09-25
2026-09-25 23:53:47,RYR8ZZ,4ca64e,RWY 28,Atterraggio,Est -> Ovest,167,285.15,1.84,Ireland,2026-09-25
2026-09-25 23:53:47,BAW544K,407536,N/D,Sorvolo,N/D,9448,148.2,10.06,United Kingdom,2026-09-25
2026-09-25 23:55:48,RYR85CT,4cadfe,RWY 10,Avvicinamento,Ovest -> Est,754,106.85,5.31,Ireland,2026-09-25
2026-09-25 23:55:48,PTN95L,3cf8be,N/D,Sorvolo,N/D,9753,317.47,5.05,Germany,2026-09-25
2026-09-26 00:01:54,BCS853,3c68cb,N/D,Sorvolo,N/D,6446,87.23,13.25,Germany,2026-09-25
2026-09-26 00:05:56,MASBA,424c9d,RWY 28,Atterraggio,Est -> Ovest,167,284.96,1.84,United Kingdom,2026-09-25
2026-09-26 00:07:57,RYR56VF,4cada3,RWY 28,Atterraggio,Est -> Ovest,167,285.05,1.88,Ireland,2026-09-25
2026-09-26 00:09:58,WMT4XC,4d20be,RWY 28,Atterraggio,Est -> Ovest,167,284.8,1.89,Malta,2026-09-25
2026-09-26 00:12:00,RYR9408,4d2279,N/D,Avvicinamento,Rotta 159.6°,929,159.57,7.54,Malta,2026-09-25
2026-09-26 00:16:02,MFX803,507c7c,N/D,Sorvolo,N/D,11277,128.77,14.79,Uzbekistan,2026-09-25
2026-09-26 00:16:02,MAC456Y,02019d,RWY 16,Avvicinamento,Nord -> Sud,1150,166.84,8.98,Morocco,2026-09-25
2026-09-26 00:22:07,BCS137,440bbe,N/D,Sorvolo,N/D,6271,79.32,6.22,Austria,2026-09-25
2026-09-26 00:26:09,RYR91SU,4cadc3,RWY 28,Atterraggio,Est -> Ovest,167,284.31,1.84,Ireland,2026-09-25
2026-09-26 00:26:09,RYR91EJ,4cadf5,RWY 28,Atterraggio,Est -> Ovest,167,284.67,1.9,Ireland,2026-09-25
2026-09-26 00:32:12,ABR177,4caca2,N/D,Sorvolo,N/D,5806,311.14,8.88,Ireland,2026-09-25
