callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 9239,D,LUBLIN,10:15,12:45,IN RITARDO,2026-09-26 12:00:46
FR 5108,D,LOURDES,10:30,11:35,DECOLLATO,2026-09-26 12:00:46
FR 6125,D,DUBLIN,11:35,11:53,DECOLLATO,2026-09-26 12:00:46
FR 5655,D,PALMA DE MALLORCA,11:40,11:40,DECOLLATO,2026-09-26 12:00:46
PC 1212,D,ISTANBUL S. GOKCEN,11:45,11:45,DECOLLATO,2026-09-26 12:00:46
FR 3450,D,TANGIER,11:45,11:45,IMBARCO CHIUSO,2026-09-26 12:00:46
AZ 7048,D,ISTANBUL S. GOKCEN,11:45,11:45,DECOLLATO,2026-09-26 12:00:46
FR 3460,D,EINDHOVEN,12:00,12:00,IMBARCO CHIUSO,2026-09-26 12:00:46
DY 1843,D,STAVANGER,12:10,12:10,IMBARCO CHIUSO,2026-09-26 12:00:46
FR 3210,D,SANTORINI / THIRA,12:25,12:25,IMBARCO IN CORSO,2026-09-26 12:00:46
FR 9372,D,BRNO,12:30,13:05,IN RITARDO,2026-09-26 12:00:46
VF 062,D,ISTANBUL S. GOKCEN,12:45,12:45,Operativo,2026-09-26 12:00:46
FR 3587,D,OSLO TORP,12:50,12:50,IMBARCO IN CORSO,2026-09-26 12:00:46
FR 4402,D,ZAKINTHOS,13:05,13:40,IN RITARDO,2026-09-26 12:00:46
FR 3530,D,PRAGUE,13:05,13:44,IN RITARDO,2026-09-26 12:00:46
MT 3144,D,MARSA ALAM/SHARM EL SHEIKH,13:05,13:05,Operativo,2026-09-26 12:00:46
FR 847,D,BARCELONA EL PRAT,13:10,13:10,OPERATO DA MALTA AIR,2026-09-26 12:00:46
FR 6451,D,PALERMO,13:20,13:49,IN RITARDO,2026-09-26 12:00:46
FR 2872,D,VILNIUS,13:30,13:30,OPERATO DA BUZZ,2026-09-26 12:00:46
EK 2141,D,DUBAI,13:40,13:40,Operativo,2026-09-26 12:00:46
FZ 1574,D,DUBAI,13:40,13:40,Operativo,2026-09-26 12:00:46
FR 2876,D,BRINDISI,13:45,13:45,Operativo,2026-09-26 12:00:46
FR 3300,D,VITORIA,13:45,14:28,IN RITARDO,2026-09-26 12:00:46
FR 8846,D,MARRAKECH,14:00,14:00,Operativo,2026-09-26 12:00:46
FR 4698,D,TRAPANI,14:15,14:15,OPERATO DA MALTA AIR,2026-09-26 12:00:46
FR 219,D,ALICANTE,14:40,14:40,Operativo,2026-09-26 12:00:46
FR 3673,D,LONDON STANSTED,14:55,14:55,OPERATO DA MALTA AIR,2026-09-26 12:00:46
