callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 4663,D,VALENCIA,17:05,19:15,IN RITARDO,2026-09-24 18:00:25
FR 5108,D,LOURDES,17:05,17:45,DECOLLATO,2026-09-24 18:00:25
PC 1214,D,ISTANBUL S. GOKCEN,17:15,17:41,DECOLLATO,2026-09-24 18:00:25
AZ 7058,D,ISTANBUL S. GOKCEN,17:15,17:41,DECOLLATO,2026-09-24 18:00:25
FR 3559,D,BRISTOL,17:15,17:34,DECOLLATO,2026-09-24 18:00:25
FR 3587,D,OSLO TORP,17:20,18:09,IMBARCO ULTIMA CHIAMATA,2026-09-24 18:00:25
FR 4667,D,BARI,17:25,18:25,IMBARCO ULTIMA CHIAMATA,2026-09-24 18:00:25
FR 7976,D,KOS,17:45,17:45,DECOLLATO,2026-09-24 18:00:25
FR 3402,D,MARRAKECH,17:55,18:31,IN RITARDO,2026-09-24 18:00:25
FR 8421,D,TIRANA,17:55,17:55,IMBARCO ULTIMA CHIAMATA,2026-09-24 18:00:25
FR 2735,D,LONDON STANSTED,18:00,18:00,IMBARCO CHIUSO,2026-09-24 18:00:25
FR 2876,D,BRINDISI,18:10,18:10,IMBARCO CHIUSO,2026-09-24 18:00:25
XZ 2223,D,FOGGIA,18:10,18:10,IMBARCO CHIUSO,2026-09-24 18:00:25
FR 3440,D,LAMEZIA,18:15,18:57,IN RITARDO,2026-09-24 18:00:25
FR 3593,D,POZNAN,18:20,18:20,IMBARCO ULTIMA CHIAMATA,2026-09-24 18:00:25
FR 8511,D,BENI MELLAL,18:20,18:20,Operativo,2026-09-24 18:00:25
FR 6175,D,CATANIA,18:40,19:40,IN RITARDO,2026-09-24 18:00:25
FR 3210,D,SANTORINI / THIRA,18:45,19:10,IN RITARDO,2026-09-24 18:00:25
FR 4698,D,TRAPANI,19:00,19:00,Operativo,2026-09-24 18:00:25
FR 3280,D,GDANSK - DANZICA,19:00,19:00,OPERATO DA MALTA AIR,2026-09-24 18:00:25
FR 4037,D,DUBLIN,19:20,19:20,Operativo,2026-09-24 18:00:25
BZ 151,D,TEL AVIV,19:25,22:20,Operativo,2026-09-24 18:00:25
FR 3535,D,KRAKOW,19:25,19:25,Operativo,2026-09-24 18:00:25
FR 8801,D,IBIZA,19:30,19:55,IN RITARDO,2026-09-24 18:00:25
FR 5120,D,MADRID,19:30,20:20,IN RITARDO,2026-09-24 18:00:25
FR 413,D,THESSALONIKI,19:55,20:55,IN RITARDO,2026-09-24 18:00:25
FR 3300,D,VITORIA,20:00,20:00,Operativo,2026-09-24 18:00:25
D8 2941,D,HELSINKI,20:15,20:15,Operativo,2026-09-24 18:00:25
FR 3501,D,PARIS BEAUVAIS,20:25,20:25,OPERATO DA MALTA AIR,2026-09-24 18:00:25
FR 7361,D,VIENNA,20:30,20:30,OPERATO DA LAUDA EUROPE,2026-09-24 18:00:25
W4 3470,D,TIRGU MURES,20:35,20:35,Operativo,2026-09-24 18:00:25
FR 2739,D,LONDON STANSTED,20:35,20:35,Operativo,2026-09-24 18:00:25
W6 1434,D,WARSAW,20:40,21:15,OPERATO DA WIZZAIR MALTA,2026-09-24 18:00:25
FR 3219,D,MANCHESTER,20:45,20:45,Operativo,2026-09-24 18:00:25
FR 4969,D,PALERMO,20:50,20:50,Operativo,2026-09-24 18:00:25
FR 3665,D,NAPOLI,21:05,21:30,IN RITARDO,2026-09-24 18:00:25
FR 8844,D,WROCLAW - BRESLAVIA,21:10,21:10,OPERATO DA MALTA AIR,2026-09-24 18:00:25
DY 1847,D,OSLO,21:15,21:15,Operativo,2026-09-24 18:00:25
FR 3893,D,CAGLIARI,21:15,21:15,OPERATO DA MALTA AIR,2026-09-24 18:00:25
FR 4523,D,BRUXELLES CHARLEROI,21:20,21:20,OPERATO DA MALTA AIR,2026-09-24 18:00:25
FR 859,D,BRINDISI,21:20,21:20,Operativo,2026-09-24 18:00:25
W6 4774,D,SKOPJE,21:25,21:25,Operativo,2026-09-24 18:00:25
NP 224,D,CAIRO,21:30,21:30,Operativo,2026-09-24 18:00:25
W4 3136,D,BUCHAREST BANEASA,21:45,21:45,Operativo,2026-09-24 18:00:25
W4 5020,D,TIRANA,21:45,21:45,Operativo,2026-09-24 18:00:25
FR 2096,D,LISBON,21:50,21:50,Operativo,2026-09-24 18:00:25
W4 3932,D,CHISINAU,21:50,22:40,OPERATO DA WIZZAIR HUNGARY,2026-09-24 18:00:25
FR 3164,D,BUDAPEST,22:00,22:00,OPERATO DA BUZZ,2026-09-24 18:00:25
W4 3382,D,CLUJ-NAPOCA,22:00,22:00,OPERATO DA WIZZAIR HUNGARY,2026-09-24 18:00:25
FR 9372,D,BRNO,22:05,23:00,IN RITARDO,2026-09-24 18:00:25
W6 4508,D,VARNA,22:10,22:10,Operativo,2026-09-24 18:00:25
FR 9196,D,TRAPANI,22:15,22:15,OPERATO DA MALTA AIR,2026-09-24 18:00:25
FR 8479,D,TIRANA,22:20,23:50,IN RITARDO,2026-09-24 18:00:25
G9 696,D,SHARJAH,22:40,22:40,Operativo,2026-09-24 18:00:25
FR 2992,D,COPENHAGEN,22:55,22:55,Operativo,2026-09-24 18:00:25
FR 3413,D,KATOWICE,23:25,23:25,OPERATO DA BUZZ,2026-09-24 18:00:25
W6 4124,D,BELGRADE,23:35,23:35,Operativo,2026-09-24 18:00:25
FR 3593,D,POZNAN,05:45,05:45,Operativo,2026-09-24 18:00:25
FR 2285,D,NAPOLI,05:45,05:45,OPERATO DA MALTA AIR,2026-09-24 18:00:25
FR 2697,D,LONDON STANSTED,05:45,05:45,OPERATO DA MALTA AIR Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-09-24 18:00:25
