flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
FR 6304,Decollo,20:15,21:05,BARCELONA EL PRAT20:15 | 21:05Decollato,Decollato,2026-01-25 23:00:00
W6 1434,Decollo,21:00,21:31,WARSAW21:00 | 21:31Decollato,Decollato,2026-01-25 23:00:00
FR 8479,Decollo,21:10,21:30,TIRANA21:10 | 21:30Decollato,Decollato,2026-01-25 23:00:00
FR 4877,Decollo,21:15,21:45,CAGLIARI21:15 | 21:45Decollato,Decollato,2026-01-25 23:00:00
FR 4845,Decollo,21:20,21:20,DUBLIN21:20 | 21:20Decollato,Decollato,2026-01-25 23:00:00
W4 3552,Decollo,21:30,21:30,TIMISOARA21:30 | 21:30Decollato,Decollato,2026-01-25 23:00:00
FR 4650,Decollo,21:30,21:30,TRAPANI21:30 | 21:30Decollato,Decollato,2026-01-25 23:00:00
FR 3273,Decollo,21:30,21:30,AGADIR21:30 | 21:30Decollato,Decollato,2026-01-25 23:00:00
W4 3136,Decollo,21:35,21:35,BUCHAREST OTOPENI21:35 | 21:35Decollato,Decollato,2026-01-25 23:00:00
FR 3408,Decollo,21:40,21:40,KATOWICE21:40 | 21:40Decollato,Decollato,2026-01-25 23:00:00
FR 5999,Decollo,21:45,21:45,ZAGREB21:45 | 21:45Decollato,Decollato,2026-01-25 23:00:00
W4 3932,Decollo,21:55,23:00,CHISINAU21:55 | 23:00Imbarco chiuso,Imbarco chiuso,2026-01-25 23:00:00
FR 3585,Decollo,21:55,21:55,BUDAPEST21:55 | 21:55Decollato,Decollato,2026-01-25 23:00:00
FR 2780,Decollo,22:05,22:05,PESCARA22:05 | 22:05Decollato,Decollato,2026-01-25 23:00:00
W4 3608,Decollo,22:05,22:05,SUCEAVA22:05 | 22:05Decollato,Decollato,2026-01-25 23:00:00
FR 3867,Decollo,22:10,23:00,POZNAN22:10 | 23:00Imbarco chiuso,Imbarco chiuso,2026-01-25 23:00:00
W4 5020,Decollo,22:25,22:25,TIRANA22:25 | 22:25Decollato,Decollato,2026-01-25 23:00:00
FR 4728,Decollo,22:25,22:25,VALENCIA22:25 | 22:25Decollato,Decollato,2026-01-25 23:00:00
FR 1853,Decollo,22:25,23:00,MARSEILLE22:25 | 23:00Imbarco chiuso,Imbarco chiuso,2026-01-25 23:00:00
FR 4191,Decollo,22:30,22:30,LONDON  STANSTED22:30 | 22:30Decollato,Decollato,2026-01-25 23:00:00
W4 3772,Decollo,22:35,22:35,CRAIOVA22:35 | 22:35Decollato,Decollato,2026-01-25 23:00:00
FZ 1572,Decollo,23:00,23:00,DUBAI23:00 | 23:00Imbarco in corso,Imbarco in corso,2026-01-25 23:00:00
EK 2415,Decollo,23:00,23:00,DUBAI23:00 | 23:00Imbarco in corso,Imbarco in corso,2026-01-25 23:00:00
FR 6257,Decollo,23:10,23:10,KRAKOW23:10 | 23:10Imbarco ultima chiamata,Imbarco ultima chiamata,2026-01-25 23:00:00
FR 076,Decollo,05:45,05:45,SEVILLA05:45 | 05:45,nan,2026-01-25 23:00:00
FR 859,Decollo,05:45,05:45,BRINDISI05:45 | 05:45Operato da Malta Air,Operato da Malta Air,2026-01-25 23:00:00
FR 2285,Decollo,05:50,05:50,NAPOLI05:50 | 05:50,nan,2026-01-25 23:00:00
FR 845,Decollo,05:55,05:55,CLUJ-NAPOCA05:55 | 05:55,nan,2026-01-25 23:00:00
FR 2697,Decollo,05:55,05:55,LONDON  STANSTED05:55 | 05:55,nan,2026-01-25 23:00:00
FR 3659,Decollo,06:00,06:00,BRUXELLES CHARLEROI06:00 | 06:00,nan,2026-01-25 23:00:00
FR 9239,Decollo,06:00,06:00,LUBLIN06:00 | 06:00Operato da Malta Air,Operato da Malta Air,2026-01-25 23:00:00
FR 2669,Decollo,06:05,06:05,BERLIN06:05 | 06:05Operato da Malta Air,Operato da Malta Air,2026-01-25 23:00:00
FR 3402,Decollo,06:05,06:05,MARRAKECH06:05 | 06:05Operato da Malta Air,Operato da Malta Air,2026-01-25 23:00:00
FR 5980,Decollo,06:05,06:05,TOULOUSE06:05 | 06:05,nan,2026-01-25 23:00:00
FR 4786,Decollo,06:10,06:10,SALERNO06:10 | 06:10Operato da BUZZ,Operato da BUZZ,2026-01-25 23:00:00
FR 3200,Decollo,06:40,06:40,CAGLIARI06:40 | 06:40,nan,2026-01-25 23:00:00
FR 4311,Decollo,06:50,06:50,ROVANIEMI06:50 | 06:50,nan,2026-01-25 23:00:00
FR 3300,Decollo,07:05,07:05,VITORIA07:05 | 07:05,nan,2026-01-25 23:00:00
FR 3450,Decollo,07:05,07:05,TANGIER07:05 | 07:05Operato da BUZZ,Operato da BUZZ,2026-01-25 23:00:00
FR 5120,Decollo,07:25,07:25,MADRID07:25 | 07:25,nan,2026-01-25 23:00:00
FR 8349,Decollo,07:40,07:40,TIRANA07:40 | 07:40Operato da Malta Air,Operato da Malta Air,2026-01-25 23:00:00
FR 3530,Decollo,07:55,07:55,PRAGUE07:55 | 07:55Operato da BUZZ,Operato da BUZZ,2026-01-25 23:00:00
FR 6451,Decollo,07:55,07:55,PALERMO07:55 | 07:55Operato da Malta Air,Operato da Malta Air,2026-01-25 23:00:00
W4 3672,Decollo,07:55,07:55,IASI07:55 | 07:55,nan,2026-01-25 23:00:00
FR 4667,Decollo,08:00,08:00,BARI08:00 | 08:00Operato da Malta Air,Operato da Malta Air,2026-01-25 23:00:00
W4 3382,Decollo,08:05,08:05,CLUJ-NAPOCA08:05 | 08:05,nan,2026-01-25 23:00:00
FR 2107,Decollo,08:05,08:05,BUDAPEST08:05 | 08:05Operato da BUZZ,Operato da BUZZ,2026-01-25 23:00:00
FR 6175,Decollo,08:05,08:05,CATANIA08:05 | 08:05Operato da Malta Air,Operato da Malta Air,2026-01-25 23:00:00
W4 3132,Decollo,08:10,08:10,BUCHAREST BANEASA08:10 | 08:10,nan,2026-01-25 23:00:00
FR 888,Decollo,08:15,08:15,KRAKOW08:15 | 08:15Operato da BUZZ,Operato da BUZZ,2026-01-25 23:00:00
W6 1432,Decollo,08:25,08:25,WARSAW08:25 | 08:25,nan,2026-01-25 23:00:00
FR 847,Decollo,08:25,08:25,BARCELONA EL PRAT08:25 | 08:25,nan,2026-01-25 23:00:00
FR 2735,Decollo,08:30,08:30,LONDON  STANSTED08:30 | 08:30,nan,2026-01-25 23:00:00
W6 4124,Decollo,08:35,08:35,BELGRADE08:35 | 08:35,nan,2026-01-25 23:00:00
FR 1784,Decollo,09:00,09:00,COPENHAGEN09:00 | 09:00,nan,2026-01-25 23:00:00
FR 2878,Decollo,09:10,09:10,STOCKHOLM09:10 | 09:10,nan,2026-01-25 23:00:00
FR 3112,Decollo,09:55,09:55,IASI09:55 | 09:55Operato da Malta Air,Operato da Malta Air,2026-01-25 23:00:00
FR 2428,Decollo,10:00,10:00,SARAJEVO10:00 | 10:00,nan,2026-01-25 23:00:00
FR 5102,Decollo,10:20,10:20,BIRMINGHAM10:20 | 10:20Operato da BUZZ,Operato da BUZZ,2026-01-25 23:00:00
FR 3561,Decollo,10:25,10:25,NAPOLI10:25 | 10:25,nan,2026-01-25 23:00:00
