flight_num,type,sched_time,actual_time,origin_dest,status,scan_timestamp
FR 4845,Decollo,21:25,21:25,DUBLIN21:25 | 21:25Decollato,Decollato,2026-03-12 23:00:00
W4 3136,Decollo,21:35,21:35,BUCHAREST OTOPENI21:35 | 21:35Decollato,Decollato,2026-03-12 23:00:00
G9 696,Decollo,21:40,21:40,SHARJAH21:40 | 21:40Cancellato,Cancellato,2026-03-12 23:00:00
FR 2990,Decollo,21:45,21:45,COPENHAGEN21:45 | 21:45Decollato,Decollato,2026-03-12 23:00:00
FR 5999,Decollo,22:15,22:15,ZAGREB22:15 | 22:15Decollato,Decollato,2026-03-12 23:00:00
FR 5102,Decollo,22:20,22:46,BIRMINGHAM22:20 | 22:46Decollato,Decollato,2026-03-12 23:00:00
W4 5020,Decollo,22:25,22:45,TIRANA22:25 | 22:45Imbarco chiuso,Imbarco chiuso,2026-03-12 23:00:00
FR 3142,Decollo,22:35,22:35,BARCELONA EL PRAT22:35 | 22:35Decollato,Decollato,2026-03-12 23:00:00
FR 2858,Decollo,05:45,05:45,BRINDISI05:45 | 05:45Operato da Malta Air,Operato da Malta Air,2026-03-12 23:00:00
FR 497,Decollo,05:50,05:50,VALENCIA05:50 | 05:50,nan,2026-03-12 23:00:00
FR 2830,Decollo,05:50,05:50,TENERIFE05:50 | 05:50,nan,2026-03-12 23:00:00
FR 845,Decollo,05:55,05:55,CLUJ-NAPOCA05:55 | 05:55,nan,2026-03-12 23:00:00
FR 3645,Decollo,06:00,06:00,EDINBURGH06:00 | 06:00,nan,2026-03-12 23:00:00
FR 259,Decollo,06:00,06:00,BUCHAREST OTOPENI06:00 | 06:00,nan,2026-03-12 23:00:00
FR 1784,Decollo,06:05,06:05,COPENHAGEN06:05 | 06:05Operato da Malta Air,Operato da Malta Air,2026-03-12 23:00:00
FR 2091,Decollo,06:15,06:15,ATHENS06:15 | 06:15,nan,2026-03-12 23:00:00
FR 5120,Decollo,06:20,06:20,MADRID06:20 | 06:20Operato da BUZZ,Operato da BUZZ,2026-03-12 23:00:00
FR 5980,Decollo,06:30,06:30,TOULOUSE06:30 | 06:30Operato da Malta Air,Operato da Malta Air,2026-03-12 23:00:00
FR 3392,Decollo,06:35,06:35,HELSINKI06:35 | 06:35Operato da Malta Air,Operato da Malta Air,2026-03-12 23:00:00
FR 4714,Decollo,06:40,06:40,RIGA06:40 | 06:40,nan,2026-03-12 23:00:00
FR 266,Decollo,07:00,07:00,FUERTEVENTURA07:00 | 07:00,nan,2026-03-12 23:00:00
FR 6257,Decollo,07:00,07:00,KRAKOW07:00 | 07:00Operato da Malta Air,Operato da Malta Air,2026-03-12 23:00:00
FR 2735,Decollo,07:00,07:00,LONDON  STANSTED07:00 | 07:00,nan,2026-03-12 23:00:00
FR 2669,Decollo,07:20,07:20,BERLIN07:20 | 07:20,nan,2026-03-12 23:00:00
FR 8867,Decollo,07:25,07:25,SOFIA07:25 | 07:25Operato da BUZZ,Operato da BUZZ,2026-03-12 23:00:00
FR 4475,Decollo,07:35,07:35,BRUXELLES CHARLEROI07:35 | 07:35Operato da Malta Air,Operato da Malta Air,2026-03-12 23:00:00
FR 8193,Decollo,07:35,07:35,VIENNA07:35 | 07:35Operato da Lauda Europe,Operato da Lauda Europe,2026-03-12 23:00:00
FR 8349,Decollo,07:40,07:40,TIRANA07:40 | 07:40,nan,2026-03-12 23:00:00
FR 2649,Decollo,07:45,07:45,MALAGA07:45 | 07:45,nan,2026-03-12 23:00:00
FR 3893,Decollo,07:50,07:50,CAGLIARI07:50 | 07:50,nan,2026-03-12 23:00:00
FR 5092,Decollo,07:55,07:55,LAMEZIA07:55 | 07:55,nan,2026-03-12 23:00:00
FR 4111,Decollo,08:00,08:00,NAPOLI08:00 | 08:00Operato da Malta Air,Operato da Malta Air,2026-03-12 23:00:00
