numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,stato_destinazione,status,scan_timestamp
FR 2107,Decollo,08:30,11:20,BUDAPEST,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 10:58:24
W6 1432,Decollo,08:40,12:45,WARSAW,Estero/Italia,IN RITARDO,2026-08-26 10:58:24
FR 2697,Decollo,09:15,10:38,LONDON STANSTED,Estero/Italia,DECOLLATO,2026-08-26 10:58:24
FR 4845,Decollo,10:10,10:46,DUBLIN,Estero/Italia,DECOLLATO,2026-08-26 10:58:24
FR 5999,Decollo,10:40,10:40,ZAGREB,Estero/Italia,DECOLLATO,2026-08-26 10:58:24
FR 5120,Decollo,10:50,10:50,MADRID,Estero/Italia,DECOLLATO,2026-08-26 10:58:24
FR 5669,Decollo,10:50,10:50,LEMNOS,Estero/Italia,DECOLLATO,2026-08-26 10:58:24
FR 497,Decollo,10:55,10:55,VALENCIA,Estero/Italia,IMBARCO CHIUSO,2026-08-26 10:58:24
FR 4980,Decollo,11:00,11:00,CORFU,Estero/Italia,IMBARCO CHIUSO,2026-08-26 10:58:24
FR 2649,Decollo,11:10,11:10,MALAGA,Estero/Italia,IMBARCO CHIUSO,2026-08-26 10:58:24
FR 3217,Decollo,11:20,11:20,MANCHESTER,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 10:58:24
FR 4548,Decollo,11:25,11:25,CHANIA-CRETA,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 10:58:24
FR 3210,Decollo,11:35,12:10,SANTORINI / THIRA,Estero/Italia,IN RITARDO,2026-08-26 10:58:24
FR 2864,Decollo,12:00,12:36,BRINDISI,Estero/Italia,IN RITARDO,2026-08-26 10:58:24
FR 3561,Decollo,12:05,12:05,NAPOLI,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 4523,Decollo,12:20,12:45,BRUXELLES CHARLEROI,Estero/Italia,IN RITARDO,2026-08-26 10:58:24
E5 543,Decollo,12:20,12:20,CAIRO,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 1319,Decollo,12:25,12:25,ATHENS,Estero/Italia,Operativo,2026-08-26 10:58:24
VF 062,Decollo,12:45,12:45,ISTANBUL S. GOKCEN,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 8800,Decollo,12:50,12:50,IBIZA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 10:58:24
FR 1853,Decollo,12:50,12:50,MARSEILLE,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 3480,Decollo,13:00,13:00,CAGLIARI,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 10:58:24
FR 3587,Decollo,13:05,13:05,OSLO TORP,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 10:58:24
G9 794,Decollo,13:20,13:20,SHARJAH,Estero/Italia,Operativo,2026-08-26 10:58:24
3O 458,Decollo,13:35,13:35,CASABLANCA,Estero/Italia,Operativo,2026-08-26 10:58:24
EK 2141,Decollo,13:40,13:40,DUBAI,Estero/Italia,Operativo,2026-08-26 10:58:24
F3 820,Decollo,13:40,13:40,JEDDAH,Estero/Italia,Operativo,2026-08-26 10:58:24
FZ 1574,Decollo,13:40,13:40,DUBAI,Estero/Italia,Operativo,2026-08-26 10:58:24
DY 1843,Decollo,13:45,13:45,STAVANGER,Estero/Italia,Operativo,2026-08-26 10:58:24
DY 1849,Decollo,13:45,14:02,BERGEN,Estero/Italia,IN RITARDO,2026-08-26 10:58:24
FR 3867,Decollo,13:50,13:50,POZNAN,Estero/Italia,Operativo,2026-08-26 10:58:24
V7 1316,Decollo,14:00,14:00,OLBIA,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 2739,Decollo,14:10,14:10,LONDON STANSTED,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 5139,Decollo,14:15,14:15,FARO,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 3450,Decollo,14:25,14:25,TANGIER,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 2289,Decollo,14:30,14:30,PALERMO,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 10:58:24
FR 1903,Decollo,14:30,14:55,VARSAVIA MODLIN,Estero/Italia,IN RITARDO,2026-08-26 10:58:24
FR 3645,Decollo,14:30,14:30,EDINBURGH,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 10:58:24
FR 3112,Decollo,14:45,14:45,IASI,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 9095,Decollo,14:55,14:55,GDANSK - DANZICA,Estero/Italia,OPERATO DA BUZZ,2026-08-26 10:58:24
FR 3530,Decollo,14:55,14:55,PRAGUE,Estero/Italia,AIR EXPLORE,2026-08-26 10:58:24
ED 8177,Decollo,15:00,15:00,KOSICE,Estero/Italia,Operativo,2026-08-26 10:58:24
W4 3772,Decollo,15:20,15:20,CRAIOVA,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 5531,Decollo,15:30,15:30,COLOGNE,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 10:58:24
FR 5655,Decollo,15:35,15:35,PALMA DE MALLORCA,Estero/Italia,OPERATO DA LAUDA EUROPE,2026-08-26 10:58:24
FR 2428,Decollo,15:40,15:40,SARAJEVO,Estero/Italia,Operativo,2026-08-26 10:58:24
W4 5018,Decollo,15:45,15:45,TIRANA,Estero/Italia,OPERATO DA WIZZAIR HUNGARY,2026-08-26 10:58:24
FR 6354,Decollo,15:45,15:45,BARCELONA EL PRAT,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 10:58:24
FR 1417,Decollo,15:55,15:55,LAMEZIA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 10:58:24
XZ 354,Decollo,16:00,16:00,TRIPOLI,Estero/Italia,CANCELLATO,2026-08-26 10:58:24
FR 1176,Decollo,16:00,16:00,MENORCA,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 5113,Decollo,16:05,16:05,CROTONE,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 219,Decollo,16:15,16:15,ALICANTE,Estero/Italia,OPERATO DA MALTA AIR,2026-08-26 10:58:24
FR 865,Decollo,16:15,16:15,BUCHAREST OTOPENI,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 4037,Decollo,16:15,16:15,DUBLIN,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 5934,Decollo,16:25,16:25,DUBROVNIK,Estero/Italia,OPERATO DA BUZZ,2026-08-26 10:58:24
FR 8355,Decollo,16:25,16:25,TIRANA,Estero/Italia,OPERATO DA BUZZ,2026-08-26 10:58:24
FR 5876,Decollo,16:30,16:30,PARIS BEAUVAIS,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 5102,Decollo,16:30,16:30,BIRMINGHAM,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 2876,Decollo,16:45,16:45,BRINDISI,Estero/Italia,Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-08-26 10:58:24
FR 2107,Atterraggio,08:30,11:20,BUDAPEST,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 10:58:24
W6 1432,Atterraggio,08:40,12:45,WARSAW,Estero/Italia,IN RITARDO,2026-08-26 10:58:24
FR 2697,Atterraggio,09:15,10:38,LONDON STANSTED,Estero/Italia,DECOLLATO,2026-08-26 10:58:24
FR 4845,Atterraggio,10:10,10:46,DUBLIN,Estero/Italia,DECOLLATO,2026-08-26 10:58:24
FR 5999,Atterraggio,10:40,10:40,ZAGREB,Estero/Italia,DECOLLATO,2026-08-26 10:58:24
FR 5120,Atterraggio,10:50,10:50,MADRID,Estero/Italia,DECOLLATO,2026-08-26 10:58:24
FR 5669,Atterraggio,10:50,10:50,LEMNOS,Estero/Italia,DECOLLATO,2026-08-26 10:58:24
FR 497,Atterraggio,10:55,10:55,VALENCIA,Estero/Italia,IMBARCO CHIUSO,2026-08-26 10:58:24
FR 4980,Atterraggio,11:00,11:00,CORFU,Estero/Italia,IMBARCO CHIUSO,2026-08-26 10:58:24
FR 2649,Atterraggio,11:10,11:10,MALAGA,Estero/Italia,IMBARCO CHIUSO,2026-08-26 10:58:24
FR 3217,Atterraggio,11:20,11:20,MANCHESTER,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 10:58:24
FR 4548,Atterraggio,11:25,11:25,CHANIA-CRETA,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-26 10:58:24
FR 3210,Atterraggio,11:35,12:10,SANTORINI / THIRA,Estero/Italia,IN RITARDO,2026-08-26 10:58:24
FR 2864,Atterraggio,12:00,12:36,BRINDISI,Estero/Italia,IN RITARDO,2026-08-26 10:58:24
FR 3561,Atterraggio,12:05,12:05,NAPOLI,Estero/Italia,Operativo,2026-08-26 10:58:24
FR 4523,Atterraggio,12:20,12:45,BRUXELLES CHARLEROI,Estero/Italia,IN RITARDO,2026-08-26 10:58:24
E5 543,Atterraggio,12:20,12:20,CAIRO,Estero/Italia,Operativo,2026-08-26 10:58:24
