callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,stato_destinazione,scan_timestamp
W6 1432,D,WARSAW,08:40,14:00,IN RITARDO,Estero/Italia,2026-08-28 12:00:19
FR 4037,D,DUBLIN,10:25,11:30,IMBARCO CHIUSO,Estero/Italia,2026-08-28 12:00:19
FR 3217,D,MANCHESTER,10:45,11:43,DECOLLATO,Estero/Italia,2026-08-28 12:00:19
FR 497,D,VALENCIA,11:05,12:20,IMBARCO ULTIMA CHIAMATA,Estero/Italia,2026-08-28 12:00:19
FR 3645,D,EDINBURGH,11:15,12:19,IMBARCO IN CORSO,Estero/Italia,2026-08-28 12:00:19
XC 9428,D,ANKARA,11:30,11:47,DECOLLATO,Estero/Italia,2026-08-28 12:00:19
AZ 7048,D,ISTANBUL S. GOKCEN,11:45,11:45,DECOLLATO,Estero/Italia,2026-08-28 12:00:19
PC 1212,D,ISTANBUL S. GOKCEN,11:45,11:45,DECOLLATO,Estero/Italia,2026-08-28 12:00:19
FR 2254,D,ALGHERO,11:55,11:55,DECOLLATO,Estero/Italia,2026-08-28 12:00:19
FR 4786,D,SALERNO,12:00,12:00,IMBARCO CHIUSO,Estero/Italia,2026-08-28 12:00:19
FR 2649,D,MALAGA,12:00,12:00,IMBARCO IN CORSO,Estero/Italia,2026-08-28 12:00:19
FR 4042,D,PORTO,12:20,12:20,IMBARCO ULTIMA CHIAMATA,Estero/Italia,2026-08-28 12:00:19
E5 543,D,CAIRO,12:20,12:20,IMBARCO CHIUSO,Estero/Italia,2026-08-28 12:00:19
FR 9429,D,DUBLIN,12:25,13:25,IN RITARDO,Estero/Italia,2026-08-28 12:00:19
FR 4196,D,CORFU,12:40,12:40,Operativo,Estero/Italia,2026-08-28 12:00:19
VF 062,D,ISTANBUL S. GOKCEN,12:45,12:45,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 4400,D,HERAKLION,12:55,12:55,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 4201,D,RHODES,12:55,12:55,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 5531,D,COLOGNE,13:15,13:36,IN RITARDO,Estero/Italia,2026-08-28 12:00:19
FR 2289,D,PALERMO,13:20,13:20,Operativo,Estero/Italia,2026-08-28 12:00:19
G9 794,D,SHARJAH,13:20,14:30,IN RITARDO,Estero/Italia,2026-08-28 12:00:19
FR 3142,D,BARCELONA EL PRAT,13:25,13:25,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 12:00:19
FR 3440,D,LAMEZIA,13:30,13:30,Operativo,Estero/Italia,2026-08-28 12:00:19
F3 820,D,JEDDAH,13:40,13:40,Operativo,Estero/Italia,2026-08-28 12:00:19
EK 2141,D,DUBAI,13:40,13:40,Operativo,Estero/Italia,2026-08-28 12:00:19
FZ 1574,D,DUBAI,13:40,13:40,Operativo,Estero/Italia,2026-08-28 12:00:19
V7 1316,D,OLBIA,13:50,13:50,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 5999,D,ZAGREB,14:00,14:00,OPERATO DA LAUDA EUROPE,Estero/Italia,2026-08-28 12:00:19
FR 2876,D,BRINDISI,14:10,14:45,IN RITARDO,Estero/Italia,2026-08-28 12:00:19
FR 7976,D,KOS,14:15,14:15,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 12:00:19
FR 8800,D,IBIZA,14:15,14:15,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 4111,D,NAPOLI,14:15,14:15,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 3200,D,CAGLIARI,14:40,14:40,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 12:00:19
FR 4698,D,TRAPANI,14:55,14:55,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 3659,D,BRUXELLES CHARLEROI,14:55,14:55,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 12:00:19
A9 732,D,TBILISI,14:55,14:55,Operativo,Estero/Italia,2026-08-28 12:00:19
W4 3772,D,CRAIOVA,14:55,15:25,IN RITARDO,Estero/Italia,2026-08-28 12:00:19
MT 1240,D,PORTO SANTO,15:00,15:00,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 1903,D,VARSAVIA MODLIN,15:05,15:05,OPERATO DA BUZZ,Estero/Italia,2026-08-28 12:00:19
FR 2888,D,CATANIA,15:05,15:05,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 12:00:19
FR 5120,D,MADRID,15:20,15:20,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 12:00:19
J9 012,D,KUWAIT,15:25,15:25,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 6501,D,OLBIA,15:35,15:35,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 12:00:19
FR 3673,D,LONDON STANSTED,15:40,15:40,OPERATO DA BUZZ,Estero/Italia,2026-08-28 12:00:19
FR 7361,D,VIENNA,15:40,15:40,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 6086,D,KALAMATA,15:40,15:40,Operativo,Estero/Italia,2026-08-28 12:00:19
W4 5018,D,TIRANA,15:45,15:45,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 219,D,ALICANTE,15:55,15:55,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 3988,D,PREVEZA,15:55,15:55,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 5148,D,ZADAR,15:55,15:55,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 6125,D,DUBLIN,16:05,16:05,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 2858,D,BRINDISI,16:10,16:10,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 5113,D,CROTONE,16:20,16:20,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 845,D,CLUJ-NAPOCA,16:25,16:25,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 12:00:19
FR 266,D,FUERTEVENTURA,16:25,16:25,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 12:00:19
FR 5655,D,PALMA DE MALLORCA,16:30,16:30,OPERATO DA LAUDA EUROPE,Estero/Italia,2026-08-28 12:00:19
FR 8349,D,TIRANA,16:30,16:30,OPERATO DA BUZZ,Estero/Italia,2026-08-28 12:00:19
XZ 2824,D,CATANIA,16:30,16:30,Operativo,Estero/Italia,2026-08-28 12:00:19
FR 4774,D,THESSALONIKI,16:35,16:35,OPERATO DA MALTA AIR,Estero/Italia,2026-08-28 12:00:19
FR 4475,D,BRUXELLES CHARLEROI,17:00,17:00,OPERATO DA MALTA,Estero/Italia,2026-08-28 12:00:19
3F 248,D,YEREVAN,20:25,21:30,IN RITARDO,Estero/Italia,2026-08-28 12:00:19
FR 8355,D,TIRANA,23:10,23:35,IN RITARDO Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,Estero/Italia,2026-08-28 12:00:19
