numero_volo,tipo,orario_schedulato,orario_effettivo,aeroporto_destinazione,stato_destinazione,status,scan_timestamp
FR 3432,Decollo,05:45,05:45,PARIS BEAUVAIS,Estero/Italia,DECOLLATO,2026-08-27 05:59:59
FR 3528,Decollo,05:45,05:45,PRAGUE,Estero/Italia,DECOLLATO,2026-08-27 05:59:59
FR 9065,Decollo,05:45,05:45,ALICANTE,Estero/Italia,DECOLLATO,2026-08-27 05:59:59
FR 3200,Decollo,05:50,05:50,CAGLIARI,Estero/Italia,DECOLLATO,2026-08-27 05:59:59
FR 2830,Decollo,05:50,05:50,TENERIFE,Estero/Italia,DECOLLATO,2026-08-27 05:59:59
FR 2261,Decollo,05:50,05:50,CATANIA,Estero/Italia,DECOLLATO,2026-08-27 05:59:59
FR 5655,Decollo,05:55,05:55,PALMA DE MALLORCA,Estero/Italia,IMBARCO CHIUSO,2026-08-27 05:59:59
FR 8121,Decollo,06:00,06:00,TIRANA,Estero/Italia,DECOLLATO,2026-08-27 05:59:59
FR 266,Decollo,06:05,06:05,FUERTEVENTURA,Estero/Italia,IMBARCO CHIUSO,2026-08-27 05:59:59
FR 3545,Decollo,06:05,06:05,FEZ,Estero/Italia,IMBARCO CHIUSO,2026-08-27 05:59:59
FR 3400,Decollo,06:15,06:15,SOFIA,Estero/Italia,IMBARCO CHIUSO,2026-08-27 05:59:59
FR 410,Decollo,06:20,06:20,LUXEMBOURG,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-27 05:59:59
FR 3653,Decollo,06:20,06:20,BARI,Estero/Italia,IMBARCO CHIUSO,2026-08-27 05:59:59
FR 2289,Decollo,06:20,06:20,PALERMO,Estero/Italia,IMBARCO CHIUSO,2026-08-27 05:59:59
FR 6854,Decollo,06:25,06:25,HELSINKI,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-27 05:59:59
FR 5148,Decollo,06:30,06:30,ZADAR,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-27 05:59:59
FR 4993,Decollo,06:35,06:35,CEFALONIA,Estero/Italia,IMBARCO ULTIMA CHIAMATA,2026-08-27 05:59:59
FR 497,Decollo,06:35,06:35,VALENCIA,Estero/Italia,IMBARCO IN CORSO,2026-08-27 05:59:59
FR 2878,Decollo,06:45,06:45,STOCKHOLM,Estero/Italia,IMBARCO IN CORSO,2026-08-27 05:59:59
FR 2285,Decollo,07:10,07:10,NAPOLI,Estero/Italia,Operativo,2026-08-27 05:59:59
FR 259,Decollo,07:20,07:20,BUCHAREST OTOPENI,Estero/Italia,Operativo,2026-08-27 05:59:59
FR 1853,Decollo,07:25,07:25,MARSEILLE,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 05:59:59
W4 3132,Decollo,07:30,07:30,BUCHAREST OTOPENI,Estero/Italia,OPERATO DA WIZZAIR HUNGARY,2026-08-27 05:59:59
FR 9890,Decollo,07:35,07:35,LODZ,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 05:59:59
FR 3962,Decollo,07:55,07:55,MARRAKECH,Estero/Italia,Operativo,2026-08-27 05:59:59
W4 3552,Decollo,07:55,07:55,TIMISOARA,Estero/Italia,Operativo,2026-08-27 05:59:59
FR 3408,Decollo,07:55,07:55,KATOWICE,Estero/Italia,OPERATO DA BUZZ,2026-08-27 05:59:59
FR 2107,Decollo,08:00,08:00,BUDAPEST,Estero/Italia,OPERATO DA BUZZ,2026-08-27 05:59:59
W4 3672,Decollo,08:00,08:00,IASI,Estero/Italia,Operativo,2026-08-27 05:59:59
FR 1746,Decollo,08:00,08:00,KNOCK,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 05:59:59
FR 5092,Decollo,08:05,08:05,LAMEZIA,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 05:59:59
FR 847,Decollo,08:05,08:05,BARCELONA EL PRAT,Estero/Italia,Operativo,2026-08-27 05:59:59
DN 422,Decollo,08:05,08:05,BACAU,Estero/Italia,CANCELLATO,2026-08-27 05:59:59
W6 4352,Decollo,08:10,08:10,SOFIA,Estero/Italia,OPERATO DA WIZZAIR MALTA,2026-08-27 05:59:59
FR 6451,Decollo,08:25,08:25,PALERMO,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 05:59:59
FR 1533,Decollo,08:30,08:30,VIENNA,Estero/Italia,OPERATO DA LAUDA EUROPE,2026-08-27 05:59:59
FR 3341,Decollo,08:30,08:30,VARSAVIA MODLIN,Estero/Italia,OPERATO DA BUZZ,2026-08-27 05:59:59
W4 7691,Decollo,08:40,09:40,ORADEA,Estero/Italia,IN RITARDO,2026-08-27 05:59:59
W6 1432,Decollo,08:40,08:40,WARSAW,Estero/Italia,OPERATO DA WIZZAIR MALTA,2026-08-27 05:59:59
FR 2858,Decollo,09:00,09:00,BRINDISI,Estero/Italia,Operativo,2026-08-27 05:59:59
FR 2990,Decollo,09:20,09:20,COPENHAGEN,Estero/Italia,Operativo,2026-08-27 05:59:59
FR 3657,Decollo,09:25,09:25,EDINBURGH,Estero/Italia,Operativo,2026-08-27 05:59:59
FR 3673,Decollo,09:25,09:25,LONDON STANSTED,Estero/Italia,Operativo,2026-08-27 05:59:59
FR 461,Decollo,09:40,09:40,NEWCASTLE,Estero/Italia,Operativo,2026-08-27 05:59:59
FR 888,Decollo,09:40,09:40,KRAKOW,Estero/Italia,OPERATO DA MALTA AIR,2026-08-27 05:59:59
D8 3881,Decollo,09:40,09:40,BILLUND,Estero/Italia,Operativo,2026-08-27 05:59:59
