callsign_volo,tipo_movimento,destinazione_origine,orario_schedulato,orario_effettivo,stato_volo,scan_timestamp
FR 6304,D,BARCELONA EL PRAT,21:10,22:57,IMBARCO CHIUSO,2026-09-25 23:00:50
NP 222,D,CAIRO,21:30,23:15,IN RITARDO,2026-09-25 23:00:50
FR 5700,D,PALMA DE MALLORCA,21:55,22:55,DECOLLATO,2026-09-25 23:00:50
FR 3506,D,ALICANTE,22:15,22:53,DECOLLATO,2026-09-25 23:00:50
FR 9408,D,FEZ,22:20,23:20,IMBARCO ULTIMA CHIAMATA,2026-09-25 23:00:50
FR 4188,D,LONDON STANSTED,22:40,23:05,IMBARCO CHIUSO,2026-09-25 23:00:50
W4 3136,D,BUCHAREST BANEASA,22:40,22:40,DECOLLATO,2026-09-25 23:00:50
FR 3657,D,EDINBURGH,22:45,23:13,IMBARCO IN CORSO,2026-09-25 23:00:50
FR 2990,D,COPENHAGEN,22:55,23:12,IMBARCO ULTIMA CHIAMATA,2026-09-25 23:00:50
W4 5020,D,TIRANA,23:00,00:49,IN RITARDO,2026-09-25 23:00:50
FR 3535,D,KRAKOW,23:00,23:25,IMBARCO IN CORSO,2026-09-25 23:00:50
FR 8355,D,TIRANA,23:10,23:35,IMBARCO IN C,2026-09-25 23:00:50
3O 456,D,CASABLANCA,23:30,23:30,IMBARCO ULTIMA CHIAMATA,2026-09-25 23:00:50
FR 3408,D,KATOWICE,23:35,23:35,IMBARCO IN CORSO,2026-09-25 23:00:50
W6 4124,D,BELGRADE,23:40,23:40,Operativo,2026-09-25 23:00:50
FR 2254,D,ALGHERO,05:45,05:45,Operativo,2026-09-25 23:00:50
FR 2669,D,BERLIN,05:45,05:45,Operativo,2026-09-25 23:00:50
FR 5139,D,FARO,05:50,05:50,Operativo,2026-09-25 23:00:50
FR 3659,D,BRUXELLES CHARLEROI,05:55,05:55,Operativo,2026-09-25 23:00:50
FR 6178,D,FUERTEVENTURA,05:55,05:55,OPERATO DA MALTA AIR,2026-09-25 23:00:50
FR 3545,D,FEZ,06:00,06:00,OPERATO DA MALTA AIR,2026-09-25 23:00:50
FR 8334,D,IBIZA,06:00,06:00,Operativo,2026-09-25 23:00:50
FR 9196,D,TRAPANI,06:05,06:05,Operativo,2026-09-25 23:00:50
FR 1176,D,MENORCA,06:05,06:05,OPERATO DA MALTA AIR,2026-09-25 23:00:50
FR 3142,D,BARCELONA EL PRAT,06:10,06:10,OPERATO DA MALTA AIR,2026-09-25 23:00:50
MT 1160,D,LAMPEDUSA,06:15,06:15,Operativo,2026-09-25 23:00:50
FR 2285,D,NAPOLI,06:20,06:20,Operativo,2026-09-25 23:00:50
FR 5120,D,MADRID,06:20,06:20,Operativo,2026-09-25 23:00:50
FR 3593,D,POZNAN,06:30,06:30,OPERATO DA MALTA AIR,2026-09-25 23:00:50
FR 3528,D,PRAGUE,06:30,06:30,Operativo,2026-09-25 23:00:50
FR 8121,D,TIRANA,06:35,06:35,Operativo,2026-09-25 23:00:50
FR 1417,D,LAMEZIA,06:45,06:45,Operativo,2026-09-25 23:00:50
FR 2261,D,CATANIA,06:45,06:45,Operativo,2026-09-25 23:00:50
FR 3400,D,SOFIA,06:45,06:45,OPERATO DA MALTA AIR,2026-09-25 23:00:50
FR 1746,D,KNOCK,07:20,07:20,Operativo,2026-09-25 23:00:50
FR 4663,D,VALENCIA,07:25,07:25,OPERATO DA MALTA AIR,2026-09-25 23:00:50
FR 1853,D,MARSEILLE,07:25,07:25,OPERATO DA MALTA AIR,2026-09-25 23:00:50
W4 3132,D,BUCHAREST BANEASA,07:30,07:30,Operativo,2026-09-25 23:00:50
FR 1533,D,VIENNA,07:35,07:35,OPERATO DA LAUDA EUROPE,2026-09-25 23:00:50
FR 413,D,THESSALONIKI,07:50,07:50,OPERATO DA MALTA AIR,2026-09-25 23:00:50
FR 5980,D,TOULOUSE,07:55,07:55,OPERATO DA MALTA AIR,2026-09-25 23:00:50
W4 3672,D,IASI,08:00,08:00,CANCELLATO,2026-09-25 23:00:50
DN 422,D,BACAU,08:05,08:05,Operativo,2026-09-25 23:00:50
FR 2107,D,BUDAPEST,08:10,08:10,OPERATO DA BUZZ,2026-09-25 23:00:50
FR 888,D,KRAKOW,08:10,08:10,Operativo,2026-09-25 23:00:50
W6 4352,D,SOFIA,08:10,08:10,OPERATO DA WIZZAIR MALTA,2026-09-25 23:00:50
FR 6149,D,PALERMO,08:10,08:10,OPERATO DA MALTA AIR,2026-09-25 23:00:50
FR 2864,D,BRINDISI,08:15,08:15,Operativo,2026-09-25 23:00:50
W6 1432,D,WARSAW,08:40,08:40,OPERATO DA WIZZAIR MALTA,2026-09-25 23:00:50
FR 3396,D,CROTONE,08:45,08:45,OPERATO DA MALTA AIR,2026-09-25 23:00:50
FR 3645,D,EDINBURGH,08:55,08:55,Operativo,2026-09-25 23:00:50
FR 1784,D,COPENHAGEN,09:05,09:05,Operativo,2026-09-25 23:00:50
FR 4042,D,PORTO,09:05,09:05,Operativo,2026-09-25 23:00:50
FR 2739,D,LONDON STANSTED,09:10,09:10,OPERATO DA MALTA AIR,2026-09-25 23:00:50
FR 4667,D,BARI,09:30,09:30,OPERATO DA MALTA AIR,2026-09-25 23:00:50
FR 076,D,SEVILLA,09:40,09:40,Operativo,2026-09-25 23:00:50
FR 7324,D,MALTA,09:50,09:50,Operativo,2026-09-25 23:00:50
FR 2888,D,CATANIA,10:00,10:00,Operativo,2026-09-25 23:00:50
FR 4201,D,RHODES,10:10,10:10,Operativo,2026-09-25 23:00:50
FR 9239,D,LUBLIN,10:15,10:15,OPERATO DA MALTA AIR Assistenza Milan Bergamo Airport SEDE LEGALE Via Orio al Serio 49/,2026-09-25 23:00:50
FR 6304,A,BARCELONA EL PRAT,21:10,22:57,IMBARCO CHIUSO,2026-09-25 23:00:50
NP 222,A,CAIRO,21:30,23:15,IMBARCO IN CORSO,2026-09-25 23:00:50
FR 5700,A,PALMA DE MALLORCA,21:55,22:55,DECOLLATO,2026-09-25 23:00:50
FR 3506,A,ALICANTE,22:15,22:53,DECOLLATO,2026-09-25 23:00:50
FR 9408,A,FEZ,22:20,23:20,IMBARCO ULTIMA CHIAMATA,2026-09-25 23:00:50
FR 4188,A,LONDON STANSTED,22:40,23:05,IMBARCO CHIUSO,2026-09-25 23:00:50
W4 3136,A,BUCHAREST BANEASA,22:40,22:40,DECOLLATO,2026-09-25 23:00:50
FR 3657,A,EDINBURGH,22:45,23:13,IMBARCO IN CORSO,2026-09-25 23:00:50
FR 2990,A,COPENHAGEN,22:55,23:12,IMBARCO CHIUSO,2026-09-25 23:00:50
W4 5020,A,TIRANA,23:00,00:49,IN RITARDO,2026-09-25 23:00:50
FR 3535,A,KRAKOW,23:00,23:25,IMBARCO IN CORSO,2026-09-25 23:00:50
FR 8355,A,TIRANA,23:10,23:35,IMBARCO IN C,2026-09-25 23:00:50
3O 456,A,CASABLANCA,23:30,23:30,IMBARCO ULTIMA CHIAMATA,2026-09-25 23:00:50
FR 3408,A,KATOWICE,23:35,23:35,IMBARCO IN CORSO,2026-09-25 23:00:50
W6 4124,A,BELGRADE,23:40,23:40,Operativo,2026-09-25 23:00:50
FR 2254,A,ALGHERO,05:45,05:45,Operativo,2026-09-25 23:00:50
FR 2669,A,BERLIN,05:45,05:45,Operativo,2026-09-25 23:00:50
FR 5139,A,FARO,05:50,05:50,Operativo,2026-09-25 23:00:50
